frame,sx,sy,ex,ey
0,235,78,416,304
1,236,82,419,305
2,236,82,417,305
3,236,82,418,306
4,237,83,418,306
5,237,82,418,307
6,236,80,418,307
7,236,81,418,308
8,236,77,418,307
9,236,75,419,306
10,237,76,419,307
11,237,76,421,306
12,236,77,422,307
13,238,75,423,306
14,239,75,422,306
15,239,74,423,306
16,238,74,423,306
17,240,75,424,307
18,240,79,424,307
19,241,79,425,306
20,241,80,425,306
21,242,78,425,306
22,241,80,425,307
23,241,80,426,309
24,243,81,423,310
25,243,80,423,312
26,242,79,423,312
27,243,78,425,311
28,244,79,424,310
29,244,80,424,308
30,243,79,424,307
31,242,80,425,308
32,242,78,424,309
33,242,79,425,310
34,242,81,423,311
35,240,78,419,313
36,239,74,420,312
37,240,72,421,313
38,236,75,420,309
39,235,75,421,309
40,235,75,421,309
41,235,74,418,308
42,233,77,417,308
43,233,79,417,311
44,234,79,416,311
45,235,79,416,314
46,236,78,415,316
47,236,77,416,317
48,236,78,416,318
49,235,78,416,314
50,236,81,416,311
51,235,82,418,310
52,236,82,418,309
53,236,81,418,309
54,236,82,418,309
55,236,82,417,309
56,237,82,417,312
57,237,81,416,314
58,235,78,417,314
59,235,77,415,313
60,234,77,416,311
61,234,76,416,310
62,233,76,416,310
63,233,77,416,310
64,233,77,415,310
65,233,76,415,311
66,234,75,414,310
67,233,75,415,310
68,233,77,415,308
69,234,77,412,307
70,235,78,413,307
71,235,80,412,307
72,236,80,413,308
73,235,81,413,308
74,235,80,412,309
75,235,79,413,310
76,235,80,414,311
77,236,80,415,311
78,235,79,416,311
79,234,80,417,311
80,236,84,419,312
81,232,84,419,312
82,234,83,420,311
83,233,85,421,311
84,236,86,422,311
85,236,87,424,311
86,237,84,426,313
87,237,86,425,312
88,239,83,425,312
89,240,84,424,312
90,240,84,425,312
91,242,85,427,312
92,243,83,427,311
93,243,82,425,310
94,244,82,428,310
95,240,80,430,310
96,239,83,431,308
97,241,83,432,309
98,243,82,431,307
99,243,87,431,307
100,246,82,432,307
101,247,85,432,308
102,251,83,430,307
103,254,84,430,306
104,255,86,430,306
105,254,89,432,307
106,253,89,432,307
107,252,87,431,306
108,253,87,432,307
109,252,88,432,308
110,252,88,432,308
111,252,87,431,308
112,254,90,431,307
113,255,90,429,308
114,254,90,430,308
115,254,89,430,309
116,246,89,433,312
117,247,88,431,313
118,245,89,431,312
119,244,88,434,310
120,242,87,431,312
121,241,87,429,313
122,239,87,428,315
123,240,89,428,316
124,241,83,431,318
125,240,86,431,318
126,241,88,428,319
127,242,87,426,319
128,244,89,424,320
129,241,90,425,319
130,245,91,423,319
131,242,90,422,319
132,242,87,421,320
133,243,87,422,319
134,244,88,424,319
135,240,89,424,319
136,238,89,422,320
137,238,88,420,319
138,238,92,418,318
139,236,94,419,318
140,234,90,418,317
141,232,86,415,315
142,234,83,413,311
143,234,80,411,308
144,234,77,412,308
145,234,74,411,308
146,234,76,413,306
147,232,76,411,304
148,232,75,411,303
149,231,74,410,303
150,233,70,410,302
151,233,70,409,302
152,235,69,411,302
153,235,70,412,301
154,235,70,412,302
155,235,70,413,301
156,236,71,413,301
157,234,71,412,301
158,233,72,411,301
159,232,70,410,302
160,230,70,411,301
161,230,70,412,302
162,232,69,411,303
163,229,72,411,304
164,228,77,410,304
165,228,75,409,304
166,227,76,408,305
167,229,77,408,306
168,231,76,410,306
169,230,78,412,305
170,230,83,414,305
171,231,83,414,305
172,232,84,414,306
173,233,84,415,306
174,233,85,415,307
175,233,87,414,307
176,232,88,413,307
177,233,88,413,309
178,233,88,415,310
179,233,89,417,311
180,232,90,417,311
181,231,89,415,314
182,231,89,418,314
183,231,87,417,315
184,230,87,417,318
185,231,88,418,319
186,233,90,418,318
187,233,91,419,318
188,231,91,418,318
189,235,91,418,319
190,238,91,420,319
191,237,91,422,320
192,235,92,421,321
193,235,90,421,320
194,236,89,421,320
195,236,88,420,320
196,237,88,419,320
197,237,86,416,320
198,239,85,418,320
199,239,86,421,319
200,238,85,421,319
201,239,86,420,319
202,239,85,420,319
203,238,87,417,319
204,238,89,417,319
205,237,90,415,320
206,237,90,414,320
207,237,88,413,320
208,237,88,412,319
209,237,87,412,320
210,237,87,413,320
211,237,89,414,319
212,238,89,415,319
213,239,89,415,319
214,240,90,414,319
215,240,90,417,319
216,241,88,419,320
217,243,86,420,320
218,243,85,423,320
219,242,87,425,321
220,241,88,423,319
221,242,86,424,319
222,241,88,424,319
223,241,88,424,318
224,242,87,424,318
225,243,88,424,318
226,242,90,425,318
227,240,91,425,317
228,240,92,425,319
229,241,92,425,319
230,243,94,426,318
231,243,91,426,318
232,243,89,428,318
233,242,90,428,315
234,243,85,429,316
235,245,83,430,315
236,246,83,430,315
237,245,83,430,315
238,244,83,429,312
239,242,82,430,313
240,243,80,431,313
241,245,79,431,312
242,244,82,430,312
243,244,79,429,311
244,245,79,429,311
245,244,80,431,311
246,243,81,431,310
247,244,80,429,309
248,244,79,430,307
249,243,79,429,307
250,243,80,429,308
251,242,79,430,309
252,244,80,429,307
253,243,78,428,307
254,243,80,428,307
255,244,80,428,307
256,243,81,427,307
257,242,80,426,307
258,242,81,426,307
259,241,80,425,306
260,241,81,425,306
261,241,81,425,306
262,241,81,424,306
263,240,80,424,306
264,240,79,426,306
265,241,80,426,306
266,241,78,426,307
267,242,79,428,307
268,244,80,428,307
269,245,78,428,307
270,247,77,429,307
271,246,77,427,306
272,246,80,429,306
273,244,83,429,306
274,243,84,429,306
275,242,86,427,304
276,242,87,429,305
277,243,87,430,305
278,244,86,430,305
279,244,87,432,305
280,245,88,433,305
281,246,87,433,305
282,245,87,434,305
283,246,87,433,305
284,246,86,433,306
285,252,86,428,304
286,245,85,433,306
287,252,87,429,304
288,254,86,430,306
289,254,86,430,306
290,253,87,431,307
291,253,88,431,306
292,253,87,431,307
293,254,87,431,308
294,254,87,430,309
295,254,86,430,309
296,253,85,430,310
297,254,84,430,310
298,254,84,430,310
299,247,84,432,312
300,244,84,432,312
301,244,85,432,312
302,244,86,432,311
