frame,sx,sy,ex,ey
0,233,56,417,294
1,232,55,417,292
2,231,54,416,292
3,231,53,416,291
4,230,53,415,290
5,230,53,415,290
6,230,52,415,290
7,230,51,415,289
8,229,50,415,288
9,228,50,414,287
10,229,50,414,287
11,227,50,415,289
12,229,51,415,288
13,229,51,416,288
14,229,51,415,288
15,229,52,415,287
16,230,52,414,288
17,230,51,415,287
18,230,50,414,288
19,230,51,414,287
20,230,51,414,288
21,229,51,415,288
22,229,51,415,287
23,228,51,414,288
24,228,52,413,286
25,228,52,413,288
26,229,52,414,285
27,230,53,414,284
28,229,54,414,283
29,229,56,413,283
30,231,57,414,282
31,230,57,414,282
32,230,57,415,284
33,230,58,415,284
34,229,57,415,285
35,229,56,415,286
36,228,58,414,289
37,228,59,414,288
38,229,58,414,288
39,229,58,414,289
40,229,56,413,289
41,227,56,413,291
42,228,56,416,291
43,228,59,415,291
44,231,56,416,293
45,230,59,415,293
46,231,63,415,292
47,232,63,416,293
48,234,64,417,295
49,234,63,417,294
50,232,63,417,294
51,233,64,417,292
52,234,64,417,293
53,235,65,417,293
54,234,65,417,291
55,234,67,416,292
56,233,67,415,292
57,232,67,416,291
58,232,66,416,291
59,231,65,416,293
60,232,63,416,298
61,232,62,415,300
62,231,63,415,299
63,230,64,415,299
64,232,65,415,298
65,233,65,415,297
66,232,65,416,295
67,232,65,416,295
68,232,64,416,295
69,231,63,416,296
70,232,63,417,295
71,232,63,417,298
72,232,64,416,298
73,230,64,416,298
74,232,62,416,298
75,231,63,415,299
76,232,63,415,299
77,231,63,415,299
78,231,63,415,299
79,230,64,413,299
80,228,62,413,300
81,228,63,411,301
82,229,62,412,299
83,229,65,412,300
84,228,65,413,300
85,229,66,412,300
86,228,67,412,299
87,225,66,412,298
88,225,64,411,300
89,224,63,410,300
90,224,64,411,300
91,223,63,411,300
92,220,60,408,300
93,218,60,406,301
94,216,59,405,301
95,217,60,404,300
96,217,61,402,299
97,218,60,403,299
98,217,60,403,300
99,217,60,403,300
100,217,60,403,300
101,217,60,402,300
102,217,60,403,300
103,217,60,403,300
104,216,60,403,301
105,215,60,403,301
106,216,59,404,301
107,215,60,404,300
108,217,60,403,299
109,217,59,403,298
110,217,59,402,298
111,216,59,401,297
112,216,59,401,297
113,216,59,400,297
114,216,59,400,297
115,216,59,399,297
116,215,58,398,298
117,213,58,398,299
118,214,59,398,302
119,213,59,398,302
120,214,56,399,302
121,215,57,399,301
122,214,56,398,301
123,215,56,399,300
124,214,57,397,299
125,214,54,398,299
126,213,53,401,299
127,211,52,400,297
128,214,53,399,295
129,210,48,400,295
130,209,49,401,292
131,212,48,404,291
132,215,46,405,291
133,216,47,409,288
134,220,46,408,287
135,220,46,408,285
136,221,44,406,284
137,223,46,406,281
138,225,46,407,282
139,225,45,407,281
140,225,45,408,287
141,226,46,411,289
142,226,47,413,288
143,225,48,412,282
144,226,47,415,281
145,229,47,417,282
146,228,47,417,282
147,228,48,418,281
148,227,48,417,282
149,226,48,418,284
150,226,48,417,286
151,225,46,415,289
152,226,44,414,292
153,226,45,414,292
154,224,44,414,291
155,224,44,414,290
156,227,45,415,289
157,226,45,417,294
158,226,46,416,294
159,226,43,416,292
160,226,43,417,293
