frame,sx,sy,ex,ey
0,252,99,442,372
1,251,98,441,373
2,251,98,441,372
3,251,98,440,372
4,250,98,440,372
5,250,97,440,372
6,251,98,440,372
7,250,97,440,372
8,250,97,440,373
9,251,97,439,373
10,250,97,439,373
11,252,96,439,373
12,251,95,439,374
13,250,95,439,374
14,250,96,438,374
15,248,96,437,373
16,247,97,437,373
17,237,96,435,372
18,237,96,436,373
19,236,96,435,373
20,246,96,438,372
21,249,96,439,371
22,249,97,441,369
23,255,98,445,365
24,265,99,449,365
25,271,101,454,365
26,273,100,457,365
27,279,100,462,366
28,283,100,467,367
29,283,101,472,364
30,288,100,475,361
31,292,102,480,361
32,297,102,483,364
33,298,102,483,362
34,300,101,483,363
35,299,100,483,363
36,301,99,484,362
37,301,98,483,361
38,300,97,481,361
39,301,95,482,361
40,296,91,478,360
41,292,92,475,358
42,287,91,473,359
43,284,93,467,358
44,282,92,466,358
45,274,90,460,360
46,271,89,457,361
47,265,86,454,362
48,264,90,450,363
49,261,90,447,363
50,257,88,444,365
51,251,90,443,364
52,248,92,441,365
53,244,92,440,366
54,236,93,439,368
55,235,91,437,368
56,232,90,436,369
57,232,89,432,369
58,228,91,429,370
59,230,93,424,371
60,227,94,418,374
61,226,91,415,377
62,219,93,412,376
63,216,96,409,378
64,209,95,407,383
65,206,94,402,388
66,206,96,397,390
67,200,96,396,393
68,196,97,393,397
69,190,96,388,400
70,187,97,385,399
71,181,96,383,403
72,182,98,382,404
73,181,98,383,405
74,180,97,383,403
75,182,97,382,401
76,183,95,384,401
77,186,93,386,401
78,193,95,390,400
79,198,96,395,396
80,198,97,398,391
81,199,95,404,393
82,204,93,405,390
83,213,95,409,387
84,216,94,409,387
85,219,94,412,385
86,222,92,414,381
87,222,93,417,378
88,227,91,422,377
89,231,94,425,376
90,231,93,426,376
91,234,92,431,377
92,233,92,432,375
93,235,91,436,376
94,238,87,436,375
95,240,87,435,374
96,248,92,441,376
97,251,91,440,376
98,255,92,444,376
99,255,93,444,375
100,260,94,452,375
101,267,94,459,374
102,276,93,468,369
103,280,88,480,366
104,288,88,484,366
105,294,89,491,366
106,300,85,496,363
107,310,86,501,363
108,314,91,500,364
109,320,85,500,360
110,316,90,502,360
111,318,105,494,355
112,317,94,502,355
113,321,87,499,353
114,319,84,500,352
115,320,87,491,352
116,316,86,490,353
117,316,94,485,350
118,308,92,483,352
119,297,79,480,350
120,299,76,481,345
121,292,70,482,344
122,289,67,481,346
123,290,70,481,345
124,288,69,481,345
125,285,70,480,344
126,282,70,479,343
127,277,70,476,345
128,273,71,471,345
129,270,72,468,346
130,266,76,465,346
131,260,79,458,350
132,253,78,456,353
133,249,76,456,354
134,248,81,452,355
135,247,80,447,356
136,249,81,445,355
137,252,83,443,352
138,248,82,441,352
139,250,82,440,353
140,250,82,439,355
141,249,81,440,357
142,246,81,439,358
143,244,81,439,360
144,246,83,439,360
145,247,83,440,362
146,249,83,442,362
147,249,85,444,362
148,249,86,445,361
149,250,87,447,363
150,250,88,448,365
151,253,88,450,367
152,257,88,450,369
153,260,89,451,371
154,259,91,453,372
155,262,94,455,374
156,266,96,457,376
157,265,96,460,375
158,269,95,460,375
159,269,94,460,378
160,271,95,462,376
161,269,94,462,380
162,268,94,463,380
163,269,94,463,379
164,269,94,461,378
165,270,94,460,376
166,270,95,461,375
167,270,95,460,374
168,266,95,458,372
169,265,94,455,374
170,263,93,453,371
171,259,90,451,369
172,255,92,449,365
173,249,93,448,365
174,241,92,443,364
175,239,89,441,364
176,234,89,440,365
177,233,88,435,365
178,231,88,428,366
179,229,86,423,365
180,225,87,420,365
181,222,87,417,365
182,219,86,416,364
183,216,84,413,364
184,212,82,411,365
185,210,83,411,366
186,208,82,409,367
187,207,81,408,368
188,206,81,407,369
189,206,82,407,369
190,206,82,407,368
191,207,82,407,366
192,208,81,408,371
193,207,81,408,369
194,208,82,409,368
195,209,82,409,368
196,211,84,411,367
197,213,84,412,367
198,216,85,413,365
199,217,86,414,366
200,220,87,417,365
201,223,87,419,365
202,225,87,419,366
203,226,89,421,368
204,230,89,424,372
205,232,89,427,370
206,233,91,432,370
207,234,91,435,368
208,235,91,439,367
209,235,91,440,367
210,244,92,440,369
211,247,92,445,369
212,255,93,447,369
213,258,93,450,373
214,263,94,452,375
215,266,92,454,377
216,267,96,456,374
217,267,95,459,375
218,269,96,461,374
219,275,99,467,371
220,282,100,470,372
221,286,102,474,376
222,289,104,479,374
223,293,107,480,376
224,295,106,486,377
225,303,106,494,378
226,308,107,500,380
227,314,109,508,381
228,323,112,512,381
229,327,115,514,384
230,332,120,519,383
231,337,125,524,383
232,336,126,531,381
233,339,125,534,384
234,342,127,537,381
235,349,125,541,392
236,354,127,542,395
237,352,128,542,395
238,352,128,543,397
239,350,129,544,396
240,347,124,543,400
241,348,124,542,402
242,345,123,540,398
243,343,119,539,394
244,340,119,537,392
245,339,120,537,387
246,336,120,532,388
247,337,121,531,389
248,335,119,527,390
249,329,117,524,393
250,325,119,520,385
251,322,118,516,381
252,316,115,514,380
253,315,113,509,379
254,314,110,508,382
255,315,111,505,380
256,303,110,507,385
257,304,111,505,385
258,303,110,501,385
259,301,109,500,387
260,301,105,497,388
261,298,104,494,386
262,297,104,489,382
263,291,103,485,377
264,290,104,480,376
265,286,102,479,377
266,284,101,478,375
267,283,101,476,374
268,283,100,475,375
269,279,98,473,374
270,277,97,470,372
271,276,98,470,372
272,274,95,465,375
273,269,94,461,374
274,267,94,458,375
275,262,95,457,374
276,265,96,453,374
277,266,95,451,373
278,260,95,449,374
279,258,94,447,374
280,254,93,446,374
281,251,93,443,374
282,248,93,441,375
283,247,94,441,375
284,246,94,441,376
285,244,93,440,375
286,244,93,439,375
287,245,92,439,376
288,243,93,440,375
289,240,94,440,374
290,241,93,440,374
291,239,93,438,374
292,238,93,438,374
293,239,92,437,374
294,238,92,437,374
295,237,92,436,373
296,236,92,436,372
297,234,91,435,372
298,234,91,435,371
299,233,92,434,372
300,233,92,430,373
301,234,91,429,374
302,234,92,427,373
303,234,92,427,372
304,233,93,427,373
305,233,93,426,374
306,231,93,425,372
307,231,93,424,373
308,230,94,423,372
309,230,94,422,371
310,229,93,421,370
311,226,92,419,370
312,226,93,419,370
313,227,91,418,370
314,223,90,416,371
315,219,89,414,372
316,218,89,414,371
317,218,88,414,372
318,216,88,412,371
319,217,88,414,368
320,219,88,415,369
321,224,88,416,368
322,227,91,420,369
323,231,91,421,371
324,236,93,428,371
325,238,95,438,370
326,242,93,443,367
327,249,92,444,367
328,260,92,449,373
329,266,91,452,372
330,264,92,453,373
331,264,92,456,373
332,267,93,459,374
333,267,94,460,373
334,271,94,461,374
335,271,94,463,374
336,275,94,465,375
337,274,93,466,375
338,273,92,466,376
339,274,93,466,375
340,274,93,466,375
341,276,93,465,375
342,274,94,464,375
343,271,93,462,375
344,270,94,461,376
345,268,94,461,375
346,266,95,460,375
347,265,94,458,375
348,266,94,455,376
349,264,95,455,375
350,264,95,453,374
351,261,95,448,376
352,253,94,445,375
353,248,95,441,374
354,245,93,441,375
355,238,95,438,373
356,235,94,433,373
357,234,95,428,372
358,235,95,425,372
359,232,95,423,371
360,229,92,422,372
361,228,93,419,372
362,225,94,418,372
363,224,94,417,371
364,222,94,416,372
365,219,94,414,374
366,217,94,414,374
367,216,93,411,374
368,214,93,410,375
369,214,92,410,375
370,214,92,411,376
371,211,90,411,376
372,212,91,411,375
373,212,90,411,376
374,214,90,411,375
375,216,90,412,373
376,216,90,412,374
377,218,91,414,372
378,219,90,415,373
379,222,89,417,372
380,226,88,418,372
381,226,89,419,371
382,229,91,421,370
383,233,91,424,369
384,234,91,427,370
385,234,91,431,368
386,235,91,433,366
387,237,91,436,367
388,239,92,437,368
389,238,92,439,369
390,239,91,440,370
391,243,92,440,371
392,246,93,441,370
393,246,93,442,370
394,247,94,444,371
395,247,93,444,371
396,252,92,445,373
397,252,91,446,374
398,252,92,447,374
399,252,92,448,375
400,253,92,449,376
401,253,94,450,377
402,256,95,450,376
403,256,94,450,377
404,257,94,450,377
405,259,93,450,378
406,259,93,451,379
407,261,95,452,379
408,262,98,452,380
409,261,98,453,379
410,262,100,455,382
411,262,102,455,384
412,262,101,456,384
413,262,101,458,384
414,262,102,460,384
415,262,102,460,383
416,262,100,459,383
417,261,100,458,381
418,260,99,458,381
419,261,99,456,382
420,264,100,455,381
421,264,97,453,379
422,262,96,452,376
423,260,95,452,375
424,257,94,450,373
425,255,94,449,372
426,253,94,445,371
