frame,sx,sy,ex,ey
0,282,59,483,299
1,280,59,480,299
2,280,59,481,300
3,281,59,476,301
4,281,59,478,301
5,282,60,481,300
6,281,60,481,301
7,281,61,479,302
8,281,61,480,304
9,280,60,482,306
10,280,60,480,308
11,279,60,480,309
12,279,59,484,309
13,280,58,483,310
14,281,58,481,311
15,281,59,484,309
16,282,59,485,309
17,282,59,484,310
18,282,58,484,309
19,283,58,483,309
20,283,58,481,308
21,283,59,480,307
22,284,59,481,306
23,284,58,482,306
24,286,59,482,305
25,285,59,484,305
26,284,59,484,305
27,285,59,483,304
28,285,59,484,304
29,285,59,485,303
30,284,59,487,303
31,285,61,488,301
32,285,62,488,301
33,285,62,488,301
34,285,61,488,301
35,284,63,487,301
36,285,63,484,301
37,285,62,485,302
38,284,62,484,303
39,284,62,485,302
40,285,63,485,302
41,285,62,485,302
42,285,61,484,302
43,286,62,486,301
44,286,62,485,301
45,286,62,486,301
46,286,64,486,300
47,284,63,484,300
48,285,65,482,299
49,285,66,485,300
50,283,65,485,300
51,283,64,484,300
52,283,64,485,301
53,284,63,484,301
54,284,64,485,300
55,285,64,486,300
56,286,63,489,301
57,285,63,488,301
58,285,64,487,301
59,285,64,490,301
60,287,65,486,300
61,285,66,486,301
62,286,67,486,300
63,285,67,485,301
64,284,63,484,301
65,284,63,484,301
66,284,63,483,301
67,287,63,484,301
68,287,64,487,301
69,288,65,485,301
70,289,64,485,301
71,289,64,484,301
72,289,61,484,301
73,288,61,485,301
74,288,62,487,301
75,290,61,488,301
76,290,62,487,301
77,289,62,490,300
78,289,61,490,300
79,288,60,493,301
80,288,59,494,302
81,289,60,494,301
82,290,59,495,300
83,291,64,494,298
84,294,65,494,295
85,297,68,497,295
86,300,62,495,291
87,307,48,499,290
88,304,42,499,287
89,306,42,501,286
90,317,48,504,283
91,313,46,500,282
92,313,45,500,280
93,317,51,503,280
94,315,54,503,279
95,312,52,503,280
96,319,54,505,279
97,317,51,506,279
98,316,51,508,280
99,316,49,508,281
100,315,50,508,280
101,316,52,509,280
102,316,52,508,281
103,317,54,508,282
104,318,53,508,282
105,320,51,508,282
106,321,51,509,282
107,321,50,508,281
108,319,52,507,281
109,321,57,508,279
110,320,58,505,279
111,318,61,501,278
112,315,55,503,277
113,315,54,502,276
114,316,54,501,275
115,318,55,501,274
116,318,55,500,273
117,318,54,499,273
118,317,52,499,273
119,319,52,499,273
120,318,48,499,272
121,318,49,499,272
122,318,51,497,273
123,318,52,496,272
124,318,53,496,273
125,318,55,496,273
126,317,55,496,273
127,317,55,497,273
128,317,55,498,273
129,317,55,498,272
130,316,55,498,273
131,316,54,497,274
132,314,50,498,273
133,314,52,497,272
134,314,52,496,271
135,314,52,496,272
136,314,52,496,271
137,312,52,493,272
138,311,51,493,271
139,312,50,492,271
140,311,47,493,271
141,312,48,493,271
142,312,47,493,270
143,311,48,493,271
144,312,47,493,271
145,313,48,494,271
146,313,50,494,272
147,313,50,494,272
148,312,49,493,271
149,313,49,494,272
150,312,46,495,272
151,312,48,496,271
152,311,47,498,270
153,309,47,497,270
154,307,45,497,269
155,308,41,495,269
156,306,40,498,268
157,306,41,495,268
158,304,41,496,266
159,305,43,499,266
160,305,44,498,266
161,305,44,499,267
162,307,45,500,267
163,307,46,499,267
164,307,46,498,268
165,307,46,496,268
166,307,44,496,269
167,305,43,497,269
168,306,41,497,270
169,306,40,496,271
170,305,38,496,270
171,303,39,497,270
172,300,38,494,267
173,300,37,493,267
174,300,38,494,266
175,299,38,490,266
176,298,39,491,266
177,297,42,491,266
178,296,42,489,266
179,294,42,490,265
180,296,44,494,266
181,297,42,496,264
182,299,47,495,265
183,296,48,487,263
184,294,48,487,264
185,296,50,483,263
186,293,46,484,262
187,293,47,487,262
188,294,48,485,262
189,291,49,482,262
190,290,49,479,261
191,288,52,479,261
192,287,42,476,261
193,287,43,470,264
194,286,36,473,261
195,285,39,475,260
196,283,43,472,265
197,282,42,474,265
198,281,41,472,264
199,281,43,471,264
200,281,42,471,264
201,281,42,473,263
202,280,42,471,264
203,281,41,470,264
204,285,42,470,264
205,289,41,479,261
206,290,44,481,261
207,293,46,481,261
208,291,47,481,260
209,292,47,482,258
210,292,50,484,259
211,291,49,485,259
212,292,48,486,260
213,293,46,485,261
214,293,45,487,260
215,292,44,487,261
216,293,44,490,262
217,295,45,492,262
218,293,45,489,261
219,293,47,490,261
220,292,49,490,261
221,293,45,489,262
222,294,48,489,262
223,294,47,490,264
224,294,50,488,263
225,295,47,488,264
226,295,45,492,268
227,295,50,490,268
228,295,46,493,269
229,293,47,491,267
230,291,42,493,269
231,293,39,494,271
232,292,43,497,272
233,295,46,495,273
234,295,47,493,274
235,294,48,494,275
236,293,47,489,275
237,294,44,493,276
238,295,43,496,279
239,293,44,492,281
240,293,42,494,283
241,295,45,488,283
242,296,46,492,284
243,294,48,492,287
244,295,51,495,290
245,297,55,496,293
246,296,52,496,299
247,296,52,497,302
248,300,57,496,305
249,302,63,491,311
250,305,67,495,316
251,305,67,499,321
252,304,72,500,327
253,303,74,504,327
254,303,72,506,328
255,303,71,506,329
256,303,73,507,328
257,304,73,505,327
258,305,70,500,325
259,305,66,502,322
260,304,63,500,320
261,305,64,499,313
262,302,60,496,307
263,301,55,495,306
264,301,51,496,301
265,299,47,494,298
266,299,41,498,292
267,297,40,492,289
268,297,38,491,287
269,296,39,493,285
270,294,34,495,284
271,295,34,495,282
272,298,35,497,282
273,297,32,498,283
274,298,34,498,284
275,297,33,499,284
276,300,40,497,287
277,301,42,492,287
278,300,45,496,288
279,302,45,496,293
280,301,44,497,298
281,302,50,502,301
282,301,52,505,305
283,302,59,500,305
284,303,61,503,309
285,305,62,503,312
286,304,62,504,317
287,306,63,502,317
288,306,64,504,319
289,307,66,504,318
290,308,65,506,319
291,306,65,504,317
292,305,62,505,314
293,302,62,504,310
294,302,61,504,308
295,304,60,506,307
296,304,57,504,306
297,307,56,504,305
298,307,54,502,301
299,309,52,503,299
300,309,47,500,298
301,309,46,499,295
302,307,47,497,292
303,306,44,497,292
304,306,40,493,289
305,308,40,495,286
306,308,40,498,284
307,304,39,502,284
308,308,43,499,278
309,308,38,494,276
310,312,40,496,271
311,313,42,497,267
312,313,38,500,266
313,298,31,492,265
314,298,26,496,267
315,292,25,492,269
316,297,29,487,264
317,300,35,489,260
318,296,40,477,261
319,294,36,473,259
320,295,35,474,261
321,293,35,472,263
322,290,33,474,265
323,292,32,473,265
324,292,32,473,265
325,292,33,475,268
326,296,33,477,267
327,296,35,479,267
328,292,38,477,269
329,291,40,476,272
330,290,44,471,273
331,292,45,475,277
332,287,45,470,274
333,285,47,467,279
334,282,51,460,281
335,281,52,457,281
336,278,52,454,283
337,280,50,454,282
338,280,49,460,280
339,282,47,462,280
340,285,48,463,277
341,284,43,476,275
342,283,40,481,271
343,292,44,472,267
344,294,42,479,266
345,293,37,476,268
346,292,35,476,268
347,292,35,476,267
348,295,33,478,268
349,297,34,476,269
350,294,34,475,269
351,295,34,476,269
352,298,33,479,269
353,298,35,477,265
354,288,34,478,270
355,286,32,475,267
356,288,35,473,266
357,289,37,472,266
358,290,37,473,265
359,292,39,476,269
360,301,38,482,264
361,300,38,481,265
362,298,38,481,265
363,298,38,480,265
364,298,38,480,265
365,298,41,476,266
366,298,44,476,267
367,300,49,473,268
368,305,53,477,267
369,306,53,485,270
370,307,53,480,270
371,308,54,486,268
372,311,54,489,273
373,314,55,491,278
374,313,55,490,279
375,314,57,494,278
376,316,56,498,276
377,312,56,496,282
378,314,54,494,282
379,312,55,492,281
380,313,55,490,280
381,314,56,491,283
382,313,57,493,284
383,315,58,490,283
384,313,58,491,283
385,314,56,492,283
386,314,58,492,285
387,314,57,492,284
388,314,57,491,285
389,315,58,489,283
390,315,57,486,281
391,313,56,493,281
392,314,54,494,278
393,313,52,491,278
394,311,50,491,275
395,312,52,497,269
396,312,50,497,267
397,308,39,501,265
398,293,27,497,269
399,290,27,491,263
400,298,36,479,257
401,295,42,474,258
402,287,35,463,252
403,285,34,467,254
404,284,34,456,258
405,278,33,449,259
406,267,29,437,258
407,261,23,434,261
408,256,29,433,262
409,253,31,432,263
410,255,33,429,263
411,256,36,427,269
412,256,35,426,269
413,255,41,429,270
414,259,40,435,270
415,261,41,436,271
416,263,43,438,273
417,265,45,442,275
418,269,44,448,278
419,272,45,449,285
420,276,50,448,286
421,278,52,452,291
422,279,53,455,291
423,281,53,454,290
424,282,54,456,291
425,283,54,457,290
426,283,52,456,290
427,283,53,457,289
428,282,53,456,287
429,282,58,453,285
430,277,60,455,282
431,274,60,454,282
432,275,62,461,283
433,274,60,464,283
434,275,62,458,282
435,274,61,457,282
436,273,63,452,282
437,271,63,448,282
438,269,63,448,282
439,268,62,450,283
440,268,66,451,282
441,267,66,451,283
442,268,65,448,283
443,270,66,451,285
444,271,66,450,286
445,271,65,446,287
446,272,65,445,288
447,271,65,446,288
448,270,64,448,286
449,273,61,446,283
450,273,58,449,280
451,277,55,452,277
452,276,50,454,275
453,277,54,455,269
454,276,52,458,267
455,277,47,454,264
456,278,48,454,261
457,276,47,455,262
458,276,47,455,263
459,276,46,452,265
460,275,44,457,266
461,277,40,452,270
462,276,45,451,269
463,276,43,455,271
464,276,45,455,273
465,276,42,455,273
466,277,43,454,274
467,277,41,450,273
468,279,41,461,278
469,277,48,463,278
470,271,46,460,278
471,267,50,458,280
472,265,56,455,284
473,265,62,454,283
474,264,63,452,286
475,264,62,455,289
476,262,63,452,291
477,261,63,452,295
478,260,60,446,298
479,259,60,446,299
480,261,62,445,302
481,260,61,445,302
482,261,62,446,303
483,260,61,445,304
484,260,61,445,305
485,260,61,446,303
486,258,61,443,302
487,257,61,441,301
488,257,63,436,299
489,256,64,436,296
490,253,63,433,295
491,247,58,431,292
492,249,57,428,289
493,249,60,427,284
494,249,60,426,283
495,248,58,430,280
496,255,62,431,279
497,256,60,434,278
498,256,56,434,276
499,256,56,432,276
500,261,49,430,275
501,256,52,432,273
502,258,54,435,270
503,257,54,436,270
504,260,54,443,271
505,260,50,446,270
506,261,50,447,270
507,262,51,447,270
508,264,47,447,266
509,266,51,449,265
510,267,54,451,266
511,269,53,453,267
512,270,53,451,266
513,268,54,454,267
514,268,54,452,265
515,267,55,452,265
516,270,47,452,262
517,270,47,455,260
