frame,sx,sy,ex,ey
0,322,82,481,295
1,320,83,482,298
2,320,84,480,300
3,319,84,480,301
4,318,84,481,302
5,319,85,481,301
6,318,86,480,300
7,319,86,481,298
8,319,86,480,298
9,318,86,477,297
10,318,85,475,298
11,315,83,475,299
12,317,81,476,298
13,316,81,477,297
14,316,81,477,297
15,318,80,477,298
16,321,80,479,300
17,321,79,481,298
18,321,79,482,298
19,321,81,484,296
20,321,81,486,298
21,319,80,485,299
22,318,80,484,299
23,316,80,481,300
24,315,82,480,296
25,313,81,478,296
26,312,81,475,296
27,312,82,474,297
28,312,81,473,297
29,312,82,473,298
30,311,81,474,297
31,313,81,474,294
32,315,81,478,295
33,314,81,479,295
34,315,80,481,295
35,315,80,481,298
36,317,80,481,299
37,317,81,482,300
38,317,82,482,299
39,317,82,482,300
40,316,83,480,300
41,316,83,481,299
42,317,81,481,300
43,317,81,482,301
44,318,81,483,303
45,319,81,483,304
46,319,81,485,305
47,321,81,485,307
48,321,82,484,306
49,322,82,489,308
50,323,85,494,306
51,327,84,496,306
52,333,86,497,306
53,338,92,501,304
54,341,92,507,305
55,345,88,504,307
56,354,81,507,305
57,361,79,510,306
58,368,79,511,304
59,366,76,510,298
60,365,80,510,298
61,363,75,510,298
62,362,80,509,292
63,365,87,510,299
64,366,85,511,297
65,365,83,512,295
66,366,91,512,300
67,369,90,516,303
68,366,92,516,299
69,363,88,519,301
70,365,89,521,306
71,363,96,520,312
72,365,89,523,315
73,364,91,523,316
74,365,97,525,316
75,364,96,525,320
76,361,98,525,322
77,359,97,524,323
78,360,97,523,321
79,359,96,520,320
80,356,95,519,319
81,353,94,519,320
82,355,92,521,322
83,355,88,519,322
84,353,88,518,322
85,351,88,515,319
86,354,85,515,319
87,349,90,513,315
88,350,88,507,314
89,347,86,507,314
90,345,84,501,311
91,344,83,502,310
92,339,80,500,310
93,336,82,499,308
94,334,80,494,310
95,328,85,489,309
96,325,85,488,309
97,324,85,488,308
98,324,85,487,309
99,323,85,485,309
100,322,85,483,310
101,322,83,488,310
102,321,84,488,311
103,320,84,487,312
104,319,82,485,314
105,318,84,484,313
106,319,85,485,314
107,319,86,485,314
108,320,86,485,315
109,321,87,487,312
110,322,88,487,314
111,321,87,490,315
112,322,88,491,315
113,323,89,490,314
114,323,90,492,314
115,324,90,492,314
116,324,90,494,314
117,324,90,493,314
118,326,90,489,313
119,330,85,490,314
120,333,86,493,315
121,336,87,495,314
122,339,86,494,312
123,341,86,494,312
124,341,87,498,312
125,343,86,499,311
126,343,87,499,309
127,345,86,501,309
128,347,85,502,307
129,347,87,502,307
130,348,89,504,308
131,345,90,507,309
132,350,90,508,311
133,350,89,509,311
134,356,93,515,313
135,357,95,518,316
136,359,90,522,318
137,359,89,521,319
138,362,89,519,320
139,361,88,518,320
140,359,86,519,321
141,359,88,520,321
142,360,89,520,323
143,359,91,521,326
144,359,91,519,327
145,359,93,514,327
146,355,93,514,328
147,353,93,519,329
148,353,94,518,330
149,351,94,517,332
150,348,96,517,330
151,347,95,515,329
152,349,96,513,329
153,349,96,510,328
154,347,95,507,327
155,348,94,506,328
156,350,93,506,329
157,344,94,506,328
158,342,92,504,329
159,342,91,503,328
160,337,93,502,328
161,336,93,503,328
162,334,93,499,327
163,333,95,497,326
164,332,94,495,326
165,332,94,496,326
166,332,94,494,325
167,330,94,494,325
168,329,92,493,325
169,324,92,492,324
170,323,93,491,324
171,324,94,491,322
172,324,93,491,322
173,324,94,491,322
174,325,93,491,322
175,326,93,491,323
176,325,94,490,323
177,325,94,490,322
178,324,94,490,322
179,324,95,490,322
180,325,94,491,321
181,324,95,490,321
182,324,97,489,321
183,323,95,490,322
184,323,95,490,321
185,323,95,490,323
186,323,95,490,323
187,323,95,491,322
188,324,95,490,323
189,325,95,491,322
190,325,95,491,320
191,330,95,492,323
192,330,94,492,325
193,331,94,492,326
194,332,94,494,326
195,332,94,493,325
196,335,94,496,325
197,335,94,498,324
198,335,95,499,325
199,333,93,501,325
200,334,93,500,325
201,336,92,501,326
202,339,91,502,326
203,340,91,504,325
204,342,91,503,325
205,342,91,504,323
206,344,90,504,322
207,343,91,506,321
208,344,92,506,321
209,348,92,508,320
210,347,91,509,320
211,348,88,507,320
212,350,88,506,320
213,350,88,505,320
214,350,90,505,320
215,350,88,505,320
216,351,88,506,319
217,349,88,509,320
