frame,sx,sy,ex,ey
0,299,103,492,356
1,296,102,489,357
2,297,103,489,357
3,297,102,488,359
4,297,100,489,363
5,298,101,492,361
6,301,100,498,362
7,301,100,500,363
8,301,100,503,366
9,303,104,508,366
10,308,104,512,374
11,308,106,514,375
12,308,107,514,376
13,307,107,515,377
14,307,107,514,377
15,306,105,512,376
16,306,106,512,371
17,305,104,512,369
18,305,104,512,368
19,306,103,509,368
20,305,100,508,368
21,307,101,505,364
22,311,101,510,367
23,312,101,513,364
24,312,98,515,361
25,315,98,518,360
26,315,98,517,358
27,318,99,517,357
28,319,100,518,357
29,319,100,518,357
30,320,100,518,358
31,318,99,518,357
32,318,98,516,358
33,320,98,515,358
34,319,98,515,358
35,320,100,514,357
36,317,101,515,358
37,317,103,513,356
38,318,103,515,359
39,317,104,517,363
40,319,106,516,364
41,321,109,518,364
42,324,110,519,366
43,326,108,523,367
44,329,112,524,370
45,333,115,526,371
46,334,119,529,372
47,334,119,529,377
48,335,118,530,383
49,334,119,531,384
50,334,119,529,387
51,335,120,529,388
52,333,119,527,382
53,330,118,525,380
54,326,118,526,378
55,327,120,524,380
56,326,119,522,382
57,323,118,522,378
58,320,116,521,377
59,317,114,519,378
60,315,114,517,378
61,315,115,516,372
62,316,114,516,369
63,316,113,513,368
64,315,112,512,368
65,314,112,512,368
66,313,112,513,368
67,314,111,514,369
68,313,109,517,369
69,314,109,517,369
70,314,110,516,367
71,315,110,515,365
72,316,112,515,366
73,314,112,517,367
74,313,114,516,366
75,311,112,514,368
76,309,113,512,369
77,306,113,513,368
78,304,111,511,363
79,302,110,508,361
80,299,108,506,361
81,295,108,504,362
82,293,109,499,360
83,290,110,496,363
84,286,107,492,364
85,284,105,491,364
86,282,105,489,363
87,281,104,488,361
88,281,105,487,361
89,279,106,486,361
90,279,105,486,361
91,278,105,485,362
92,278,104,484,362
93,278,104,484,361
94,279,103,485,362
95,279,102,484,361
96,280,102,485,360
97,281,101,485,360
98,282,102,485,359
99,283,102,486,361
100,286,103,487,362
101,288,105,489,362
102,292,110,489,363
103,294,114,493,367
104,297,116,497,368
105,299,116,501,366
106,298,114,502,366
107,299,110,504,366
108,297,109,503,366
109,297,110,503,364
110,296,109,501,363
111,295,110,499,363
112,295,110,494,361
113,294,110,491,360
114,294,110,489,360
115,295,114,490,361
116,296,117,491,365
117,296,117,492,365
118,297,117,494,366
119,297,116,496,363
120,300,112,498,363
121,299,111,500,362
122,299,110,501,360
123,298,111,501,360
124,298,111,501,360
125,298,111,501,360
126,298,111,501,359
127,297,113,500,360
128,298,113,501,362
129,299,114,501,363
130,299,112,502,364
131,299,112,501,362
132,300,111,499,359
133,302,108,502,362
134,302,105,503,362
135,302,106,503,361
136,302,104,507,361
137,302,105,508,360
138,304,105,506,359
139,305,105,510,360
140,306,104,511,360
141,308,104,515,361
142,307,106,514,364
143,309,107,514,364
144,312,109,514,363
145,314,110,517,364
146,315,108,518,365
147,317,110,519,364
148,318,109,519,365
149,323,108,522,367
150,329,109,527,369
151,335,112,530,366
152,340,114,534,371
153,353,116,544,372
154,359,116,554,371
155,368,117,554,374
156,372,115,554,373
157,374,115,553,373
158,371,114,555,372
159,366,114,555,366
160,363,115,557,360
161,362,116,557,354
162,365,115,555,351
163,364,115,554,350
164,366,114,554,350
165,365,114,555,350
166,366,113,555,349
167,364,111,552,348
168,363,112,555,349
169,364,112,554,348
170,364,113,554,349
171,363,115,556,351
172,364,115,556,353
173,365,115,558,353
174,366,115,558,352
175,367,115,559,355
176,368,115,559,354
177,368,117,559,357
178,369,116,560,359
179,371,117,562,356
180,371,118,563,355
181,372,118,562,357
182,372,118,559,364
183,374,117,558,370
184,374,118,557,370
185,372,118,556,364
186,369,117,555,361
187,369,116,556,360
188,368,117,555,359
189,368,117,556,359
190,366,116,556,359
191,364,116,557,360
192,368,116,555,359
193,367,116,553,359
194,367,116,552,360
195,369,117,552,359
196,368,117,552,360
197,370,118,551,362
198,368,119,551,365
199,368,118,550,368
200,368,118,550,368
201,367,118,550,368
202,367,119,550,369
203,368,120,549,368
204,366,120,550,369
205,363,119,549,370
206,362,119,549,369
207,362,119,549,367
208,362,115,550,366
209,361,116,548,366
210,357,115,548,368
211,357,117,548,369
212,358,121,548,371
213,354,122,547,372
214,350,120,545,373
215,347,119,542,374
216,350,118,541,374
217,349,119,541,372
218,348,118,538,369
219,348,116,538,368
220,350,116,537,366
221,349,114,537,366
222,347,111,534,364
223,346,112,533,364
224,343,111,530,365
225,334,108,528,364
226,330,108,523,361
227,319,106,519,356
228,307,103,514,351
229,308,100,509,352
230,301,98,502,357
231,297,98,494,356
232,290,99,487,355
233,283,96,482,355
234,282,94,476,355
235,280,96,474,353
236,277,97,472,353
237,275,99,468,353
238,273,98,466,352
239,270,98,465,353
240,267,98,461,353
241,267,97,460,355
242,268,97,459,354
243,267,96,459,354
244,266,97,459,351
245,266,97,461,349
246,263,97,461,347
247,268,98,464,345
248,270,102,465,344
249,270,101,464,343
250,272,102,464,342
251,272,102,466,344
252,273,103,467,343
253,272,102,468,345
254,271,103,469,346
255,271,102,469,348
256,270,104,466,348
257,270,104,464,349
258,267,104,464,350
259,263,103,465,351
260,257,103,461,354
261,254,103,459,354
262,249,100,455,363
263,245,100,452,367
264,243,100,451,368
265,243,97,445,368
266,240,98,442,367
267,230,104,440,361
268,229,103,437,359
269,222,101,433,359
270,219,99,431,357
271,212,98,427,359
272,208,95,423,362
273,205,98,423,365
274,202,101,420,364
275,195,102,418,358
276,191,102,414,358
277,189,102,414,360
278,188,102,412,364
279,185,105,412,367
280,185,107,411,366
281,183,109,411,367
282,182,109,412,368
283,183,108,411,369
284,182,107,411,369
285,184,106,410,370
286,186,104,410,368
287,191,104,411,364
288,193,103,412,362
289,197,101,414,359
290,198,102,416,357
291,201,101,420,355
292,205,101,422,355
293,207,101,423,358
294,208,102,425,359
295,212,101,430,359
296,215,102,437,358
297,222,104,441,359
298,231,107,446,358
299,233,111,452,353
300,240,111,454,361
301,247,112,460,365
302,251,117,463,369
303,250,121,466,366
304,256,124,473,371
305,262,126,477,374
306,272,125,480,376
307,276,121,479,376
308,279,119,480,371
309,281,116,481,370
310,284,116,485,373
311,285,114,486,375
312,289,111,485,375
313,290,113,488,372
314,290,110,491,371
315,295,108,495,371
316,297,106,502,370
317,301,104,508,370
318,304,101,506,365
319,307,102,512,359
320,311,101,514,358
321,321,101,515,366
322,322,100,521,366
323,326,101,523,364
324,332,103,526,360
325,340,104,533,358
326,344,105,534,354
327,344,106,534,355
328,348,108,539,355
329,349,110,538,354
330,350,111,540,355
331,352,111,541,354
332,351,112,541,354
333,350,112,540,353
334,350,111,542,352
335,350,112,543,351
336,351,110,542,351
337,351,111,542,349
338,351,111,541,349
339,352,111,541,348
340,354,112,541,347
341,352,112,541,347
342,352,112,541,348
343,351,112,540,348
344,350,112,540,348
345,350,112,539,350
346,349,112,540,349
347,348,113,540,351
348,346,112,540,351
349,347,111,540,352
350,348,111,541,351
351,347,111,541,350
352,348,111,541,351
353,350,112,541,351
354,348,114,541,352
355,348,114,540,354
356,347,116,543,355
357,347,116,544,356
358,346,115,543,355
359,346,114,541,354
360,350,112,539,354
361,348,111,539,351
362,346,111,537,350
363,346,112,538,350
364,343,111,534,348
365,340,110,535,349
366,341,110,532,350
367,340,109,532,349
368,338,109,531,347
369,339,108,529,345
370,337,104,525,344
371,332,103,524,342
372,325,100,525,341
373,322,99,521,342
374,323,101,514,343
375,321,101,511,347
376,321,100,511,348
377,319,98,510,349
378,318,97,510,350
379,318,98,509,349
380,317,99,507,349
381,313,95,505,347
382,313,96,504,346
383,311,96,502,345
384,309,97,503,342
385,310,95,504,343
386,311,96,504,344
387,311,97,507,345
388,311,98,508,344
389,312,99,508,345
390,311,101,508,355
391,313,101,508,358
392,314,102,509,359
393,316,105,510,359
394,317,106,510,361
395,319,108,512,361
396,319,107,512,363
397,323,108,514,363
398,323,109,515,362
399,326,109,516,361
400,327,110,517,361
401,327,111,518,361
402,326,112,519,360
403,326,112,520,359
404,326,112,520,358
405,326,113,519,359
406,326,112,519,360
407,324,110,520,361
408,322,111,519,361
409,321,112,518,359
410,320,113,518,358
411,321,113,517,358
412,321,113,515,357
413,320,113,514,357
414,319,112,513,358
415,319,113,513,358
416,318,112,514,358
417,317,112,515,358
418,317,112,516,359
419,316,112,515,360
420,318,113,515,359
421,317,112,515,359
422,318,112,515,359
423,319,112,516,359
424,320,112,517,359
425,320,112,518,360
426,321,113,518,360
427,321,112,519,360
428,321,112,519,359
429,319,112,518,359
430,319,112,517,359
431,318,113,515,359
432,319,114,514,358
433,318,114,513,358
434,317,114,513,358
435,317,114,513,358
436,316,114,512,357
437,315,113,512,357
438,314,112,511,356
