frame,sx,sy,ex,ey
0,240,116,410,360
1,240,116,410,361
2,240,115,410,360
3,241,115,410,360
4,241,115,411,359
5,241,116,410,359
6,241,116,410,359
7,243,117,411,360
8,244,117,414,362
9,245,118,414,361
10,245,118,414,362
11,245,117,414,363
12,244,116,414,363
13,244,117,413,363
14,244,117,413,362
15,244,118,413,362
16,244,118,412,361
17,244,118,412,360
18,244,118,412,359
19,243,118,412,359
20,242,118,412,358
21,241,117,412,357
22,241,116,411,355
23,240,116,411,355
24,241,116,411,355
25,240,116,411,355
26,241,115,410,354
27,241,115,410,354
28,240,115,410,353
29,240,114,410,354
30,239,114,409,354
31,238,114,409,353
32,238,113,408,353
33,237,114,407,353
34,236,115,407,353
35,235,115,406,353
36,234,116,406,354
37,234,116,406,354
38,233,117,405,354
39,233,118,404,355
40,233,119,405,355
41,233,119,405,354
42,234,120,405,357
43,236,121,407,359
44,239,126,410,359
45,240,126,415,365
46,243,128,420,368
47,246,131,425,376
48,247,141,428,375
49,248,146,436,377
50,251,148,443,381
51,255,148,446,383
52,257,145,449,382
53,260,142,450,381
54,260,140,449,379
55,260,143,444,376
56,260,142,442,374
57,258,140,441,373
58,254,133,439,372
59,251,130,436,371
60,249,128,434,369
61,250,125,429,368
62,249,125,426,368
63,248,125,425,367
64,247,127,424,369
65,247,128,422,372
66,247,130,422,374
67,245,134,420,374
68,244,133,420,374
69,243,132,419,375
70,245,128,418,377
71,244,127,418,377
72,244,128,418,375
73,243,126,417,373
74,243,127,416,374
75,241,128,414,373
76,240,128,413,373
77,240,128,413,372
78,239,128,411,371
79,239,128,411,371
80,238,128,411,371
81,237,127,410,371
82,236,127,410,371
83,236,127,410,371
84,237,130,409,371
85,236,130,408,371
86,236,130,408,371
87,236,130,408,371
88,235,130,408,370
89,235,129,408,370
90,235,129,408,370
91,235,129,407,369
92,235,128,408,369
93,235,128,408,369
94,235,128,408,368
95,236,127,409,369
96,237,127,410,370
97,238,126,411,370
98,239,126,411,370
99,240,126,412,370
100,239,127,412,370
101,239,126,412,370
102,239,126,412,369
103,239,126,413,368
104,239,126,412,367
105,240,125,412,366
106,240,126,412,365
107,239,125,412,366
108,240,125,412,366
109,240,125,412,366
110,240,125,412,366
111,240,125,412,366
112,241,124,412,366
113,241,124,412,364
114,240,123,412,363
115,240,124,412,364
116,241,123,412,364
117,240,123,412,364
118,239,123,411,363
119,239,123,411,363
120,239,123,411,363
121,240,123,411,362
122,241,121,412,361
123,241,120,412,362
124,241,121,412,360
125,242,121,413,360
126,241,121,413,361
127,241,121,413,361
128,242,121,413,361
129,242,121,414,361
130,242,121,413,362
131,242,121,413,364
132,243,121,412,364
133,243,122,412,363
134,243,122,412,363
135,243,121,413,363
136,243,120,413,364
137,243,121,413,363
138,243,120,412,363
139,245,118,414,363
140,247,120,420,362
141,250,119,425,365
142,252,120,430,363
143,260,120,435,363
144,264,122,439,365
145,268,122,443,365
146,276,124,445,364
147,279,123,449,364
148,282,123,449,364
149,284,124,450,366
150,286,126,452,365
151,289,128,454,367
152,291,128,455,369
153,293,130,456,370
154,295,131,459,371
155,296,134,462,378
156,298,134,463,380
157,300,133,463,381
158,301,133,462,381
159,299,134,462,380
160,298,132,461,377
161,297,132,460,375
162,295,130,458,374
163,294,131,455,374
164,293,131,454,372
165,290,130,452,374
166,289,129,452,374
167,288,129,451,373
168,286,127,452,372
169,287,128,453,371
170,288,129,453,371
171,289,130,454,370
172,292,132,456,372
173,291,132,456,377
174,293,134,457,378
175,295,135,459,377
176,294,134,460,378
177,294,134,459,378
178,294,131,461,375
179,294,131,461,372
180,295,129,459,373
181,296,127,458,370
182,296,127,459,368
183,294,127,457,367
184,295,128,457,369
185,294,128,456,371
186,294,129,456,370
187,294,129,457,371
188,294,128,457,372
189,295,127,458,372
190,296,127,459,370
191,296,124,461,368
192,296,123,459,365
193,292,121,458,364
194,292,122,457,364
195,293,123,455,364
196,291,125,455,369
197,290,128,453,372
198,291,131,451,373
199,289,133,452,375
200,290,134,454,376
201,291,133,455,377
202,290,133,454,376
203,290,131,452,372
204,288,130,452,373
205,285,129,450,374
206,284,129,450,374
207,284,130,449,373
208,284,130,449,374
209,284,130,449,374
210,284,130,450,373
211,285,130,450,373
212,286,131,451,372
213,288,131,452,373
214,288,131,453,372
215,288,129,454,373
216,287,128,455,372
217,288,128,455,372
218,287,129,453,371
219,286,129,453,371
220,285,130,452,371
221,285,130,452,371
222,285,130,452,371
223,285,130,452,371
224,284,130,454,370
225,284,130,454,371
226,285,130,455,372
227,287,129,452,374
228,279,131,449,373
229,275,131,448,371
230,265,129,443,370
231,261,124,438,367
232,252,126,434,364
233,250,121,427,363
234,247,121,423,363
235,246,122,418,362
236,245,122,416,362
237,244,122,415,361
238,243,121,415,361
239,244,121,416,361
240,244,122,416,363
241,243,124,415,363
242,244,126,416,365
243,244,127,416,366
244,246,127,417,370
245,246,127,419,371
246,247,126,422,371
247,248,124,423,370
248,248,123,424,369
249,248,123,424,368
250,248,123,424,368
251,247,124,423,369
252,247,126,422,368
253,247,127,421,369
254,247,127,420,370
255,247,129,421,372
256,247,131,422,373
257,246,135,421,374
258,247,137,421,374
259,247,139,423,374
260,247,138,424,375
261,248,136,425,373
262,250,129,428,376
263,250,127,427,372
264,250,122,427,370
265,249,120,426,368
266,248,120,426,361
267,248,119,425,361
268,248,119,425,359
269,248,119,425,358
270,248,119,424,359
271,248,119,425,359
272,248,120,425,360
273,248,120,425,362
274,248,121,426,361
275,248,122,426,361
276,249,121,426,362
277,248,121,426,361
278,249,120,427,362
279,249,121,428,361
280,250,122,429,364
281,251,126,430,363
282,255,126,435,363
283,262,122,439,364
284,264,121,446,365
285,270,123,449,363
286,276,121,452,365
287,282,121,454,364
288,287,118,456,364
