frame,sx,sy,ex,ey
0,241,152,411,386
1,245,154,418,382
2,245,151,421,385
3,246,153,423,386
4,248,153,423,389
5,248,156,423,391
6,247,159,422,392
7,245,161,424,394
8,245,161,423,395
9,244,163,426,396
10,245,164,427,397
11,244,163,424,396
12,246,165,424,396
13,245,165,421,396
14,244,164,419,396
15,246,161,415,396
16,243,158,412,396
17,243,156,411,395
18,239,157,409,394
19,238,157,405,393
20,237,157,405,393
21,235,158,405,393
22,233,157,404,392
23,229,156,405,393
24,229,154,405,393
25,229,154,404,393
26,229,155,405,395
27,229,153,400,396
28,229,154,399,395
29,230,158,399,396
30,230,160,400,399
31,227,164,397,400
32,228,166,397,402
33,226,169,395,401
34,226,173,396,400
35,225,175,395,398
36,221,175,393,399
37,218,176,392,399
38,217,179,389,402
39,217,180,389,404
40,213,179,389,405
41,205,181,386,403
42,206,180,382,403
43,203,182,380,404
44,200,183,378,405
45,197,183,378,406
46,197,183,375,411
47,198,189,374,410
48,200,189,377,410
49,198,187,381,409
50,199,184,386,407
51,201,186,385,405
52,200,186,382,405
53,201,185,379,405
54,200,182,379,405
55,198,180,379,404
56,199,180,377,404
57,197,180,374,404
58,196,177,373,403
59,196,177,372,403
60,197,177,371,402
61,197,176,371,403
62,197,174,371,400
63,197,175,371,399
64,197,175,371,397
65,197,176,370,398
66,197,177,370,397
67,198,176,371,402
68,199,177,374,401
69,199,175,375,401
70,199,175,377,403
71,201,176,378,404
72,201,176,379,403
73,202,176,380,403
74,205,178,383,402
75,207,178,384,402
76,207,180,387,402
77,207,183,386,401
78,207,183,385,402
79,207,182,385,402
80,207,182,387,403
81,209,183,388,403
82,211,182,387,403
83,211,181,387,403
84,212,183,386,404
85,211,182,386,404
86,212,183,386,404
87,213,183,388,405
88,214,182,387,406
89,214,181,388,406
90,214,180,388,406
91,213,180,388,405
92,212,181,389,406
93,213,181,389,406
94,214,180,390,407
95,215,180,390,407
96,217,179,389,409
97,217,179,389,409
98,217,179,388,409
99,216,179,387,407
100,215,176,387,405
101,212,171,385,404
102,212,164,386,402
103,216,163,383,397
104,215,155,382,396
105,214,152,382,394
106,214,151,383,391
107,216,150,381,388
108,216,150,381,386
109,216,147,381,385
110,213,146,381,384
111,215,143,380,380
112,217,141,382,378
113,216,140,385,377
114,218,141,386,376
115,221,141,389,375
116,223,142,391,374
117,224,142,390,374
118,225,141,392,373
119,225,137,395,373
120,228,140,397,372
121,229,138,399,373
122,232,139,398,373
123,234,141,403,375
124,235,142,406,377
125,235,141,405,377
126,235,141,405,379
127,237,141,407,380
128,237,137,408,383
129,236,138,406,384
130,236,135,406,384
131,239,142,407,382
132,243,140,410,383
133,242,143,411,381
134,243,147,408,382
135,242,146,410,383
136,242,148,410,385
137,241,149,413,390
138,242,152,411,390
139,241,152,409,391
140,244,153,408,392
141,243,153,406,393
142,242,155,407,393
143,243,156,407,393
144,244,159,409,397
145,243,160,410,397
146,243,161,409,397
147,242,162,410,397
148,242,164,412,398
149,243,164,411,399
150,244,165,410,399
151,244,166,410,398
152,244,167,409,396
153,241,167,409,395
154,243,168,408,395
155,241,165,407,395
156,240,165,407,396
