frame,sx,sy,ex,ey
0,254,60,454,323
1,256,59,454,323
2,256,60,453,323
3,257,61,452,323
4,256,61,450,322
5,253,61,449,322
6,251,61,449,327
7,248,62,447,322
8,246,64,446,325
9,245,63,446,333
10,245,63,445,340
11,243,67,443,343
12,244,62,444,340
13,244,62,444,341
14,245,62,438,338
15,245,62,437,339
16,244,68,437,337
17,244,67,436,346
18,244,66,437,346
19,244,66,437,344
20,243,66,443,344
21,244,62,444,342
22,246,61,444,344
23,246,63,443,342
24,245,62,445,340
25,246,62,445,338
26,246,62,445,340
27,246,61,445,341
28,247,61,444,341
29,246,62,445,332
30,247,62,445,335
31,248,65,445,344
32,248,64,445,344
33,247,63,444,340
34,245,64,445,343
35,245,64,444,348
36,247,58,445,341
37,248,56,446,339
38,249,56,448,330
39,250,57,448,321
40,252,58,448,322
41,255,60,449,322
42,262,65,449,327
43,266,73,449,324
44,266,75,450,335
45,270,81,454,337
46,274,89,458,342
47,279,92,463,349
48,284,101,465,349
49,288,100,468,353
50,290,102,472,357
51,290,99,473,359
52,290,101,475,362
53,288,106,475,363
54,285,107,476,365
55,284,106,477,365
56,284,104,475,364
57,284,104,473,362
58,284,104,472,361
59,283,103,470,360
60,282,102,469,358
61,282,100,469,358
62,282,100,469,357
63,283,100,469,354
64,283,97,468,353
65,283,96,468,352
66,282,97,469,352
67,282,93,469,354
68,282,95,469,353
69,283,96,469,353
70,282,96,469,352
71,281,95,469,350
72,280,93,469,351
73,279,91,469,350
74,279,92,469,350
75,278,92,470,350
76,280,92,470,349
77,282,93,471,349
78,282,91,471,349
79,283,91,472,349
80,284,90,472,348
81,284,91,472,348
82,284,91,473,347
83,286,91,472,348
84,285,89,474,348
85,284,89,474,348
86,285,89,473,348
87,285,88,472,348
88,284,90,471,349
89,283,89,471,348
90,282,89,471,348
91,281,90,469,347
92,280,88,468,347
93,280,87,468,347
94,281,87,467,346
95,280,88,468,345
96,280,85,469,345
97,280,85,469,343
98,280,85,468,343
99,281,85,468,342
100,281,84,468,342
101,280,85,468,342
102,280,86,468,341
103,279,85,468,341
104,281,85,469,342
105,283,85,469,340
106,286,84,470,340
107,284,85,471,339
108,288,89,471,340
109,289,86,472,340
110,288,85,475,341
111,291,87,476,338
112,295,88,481,339
113,301,85,485,339
114,304,86,485,336
115,310,84,493,332
116,312,85,496,331
117,323,85,499,334
118,332,84,501,335
119,339,87,504,336
120,340,84,510,334
121,340,87,515,333
