frame,sx,sy,ex,ey
0,157,48,369,297
1,157,48,368,297
2,157,48,368,297
3,155,49,368,296
4,155,49,368,297
5,156,47,368,297
6,155,47,367,297
7,155,47,368,297
8,154,46,368,296
9,153,46,368,295
10,152,45,369,295
11,155,44,368,296
12,157,45,369,296
13,154,43,368,296
14,156,43,368,296
15,155,42,368,296
16,153,42,368,296
17,152,43,368,296
18,153,43,368,296
19,153,43,368,296
20,155,42,367,295
21,154,42,368,296
22,156,42,368,296
23,156,46,368,295
24,160,47,369,294
25,159,46,368,295
26,159,46,368,295
27,158,44,369,295
28,158,45,368,296
29,159,46,367,295
30,157,46,367,295
31,156,46,367,295
32,156,44,367,295
33,157,45,367,295
34,158,45,367,296
35,158,45,368,295
36,160,44,367,295
37,160,45,367,296
38,159,46,367,295
39,159,46,367,295
40,160,45,368,295
41,159,44,368,295
42,159,45,368,295
43,159,45,367,296
44,159,44,368,296
45,158,45,368,295
46,157,44,368,295
47,156,45,368,295
48,155,42,370,297
49,154,43,370,297
50,154,43,370,298
51,154,42,369,297
52,154,43,368,297
53,154,44,368,296
54,154,46,368,297
55,155,45,367,296
56,156,46,369,296
57,156,45,370,297
58,157,45,370,297
59,155,46,369,298
60,156,51,367,299
61,155,48,368,299
62,156,47,370,300
63,155,48,369,299
64,153,49,369,299
65,153,49,369,298
66,155,50,368,298
67,155,50,368,298
68,154,50,367,299
69,154,49,368,299
70,154,50,368,298
71,155,49,367,299
72,152,51,366,297
73,154,51,367,297
74,154,51,367,296
75,153,51,366,297
76,155,50,367,297
77,154,50,368,296
78,154,49,367,297
79,153,49,367,297
80,152,49,367,297
81,152,49,367,297
82,152,49,367,297
83,152,51,367,297
84,155,51,366,300
85,155,50,367,300
86,156,49,367,300
87,153,47,367,299
88,152,47,368,299
89,152,47,369,299
90,150,44,369,302
91,150,43,370,302
92,151,43,372,303
93,157,44,372,301
94,155,45,371,301
95,157,47,370,301
96,164,48,371,301
97,166,45,372,302
98,162,45,372,300
99,160,46,372,298
100,160,46,372,298
101,161,47,373,297
102,162,47,376,296
103,163,47,376,297
104,164,47,377,296
105,159,47,377,295
106,163,46,378,294
107,158,42,378,294
108,161,43,376,295
109,157,41,375,295
110,160,41,372,295
111,155,39,375,295
112,158,36,375,297
113,159,36,366,295
114,159,35,359,292
115,156,28,357,288
116,155,31,350,283
117,153,27,345,284
118,144,30,337,286
119,139,30,336,291
120,132,28,333,288
121,131,28,331,291
122,128,27,326,289
123,125,25,322,297
124,123,32,317,295
125,119,28,315,296
126,117,34,311,293
127,114,41,310,294
128,109,38,309,294
129,105,38,310,298
130,105,39,309,299
131,104,41,310,302
132,105,39,313,305
133,107,38,314,306
134,108,40,317,305
135,110,38,317,306
136,113,39,318,305
137,116,38,318,306
138,118,37,318,308
139,120,35,320,310
140,122,38,322,310
141,123,37,322,311
142,122,40,322,309
143,123,41,323,310
144,125,37,325,312
145,126,40,325,311
146,126,38,324,312
147,125,39,324,313
148,125,42,323,314
149,124,45,323,314
150,126,48,322,314
151,122,48,321,313
152,120,48,319,314
153,119,46,318,315
154,115,45,316,316
155,112,46,316,318
156,110,43,314,322
157,109,42,313,321
158,108,45,313,322
159,106,46,313,323
160,106,45,312,323
161,106,45,313,324
162,108,47,313,330
163,108,48,314,329
164,106,46,312,324
165,108,47,314,323
166,110,43,315,323
167,113,44,315,324
168,115,45,314,322
169,120,48,316,321
170,122,49,320,320
171,125,51,324,320
172,127,52,330,320
173,131,50,335,320
174,134,53,336,320
175,135,53,338,318
176,138,53,341,317
177,140,54,342,318
178,148,55,348,316
179,151,53,355,316
180,157,55,358,314
181,157,54,364,312
182,161,56,368,308
183,162,56,370,307
184,160,50,373,309
185,156,53,374,309
186,159,54,374,308
187,162,52,373,307
188,166,53,372,307
189,158,47,373,307
190,158,49,373,306
191,158,48,374,307
192,158,50,375,306
193,162,49,377,305
194,163,50,376,305
195,167,56,378,308
196,167,55,381,308
197,171,54,381,307
198,169,53,382,306
199,180,52,383,304
200,176,51,385,303
201,182,50,385,303
202,184,51,387,303
203,188,52,388,302
204,187,55,389,302
205,186,53,389,302
206,186,54,391,301
207,203,57,393,299
208,203,57,393,299
209,204,64,391,298
210,210,61,398,296
211,211,57,398,296
212,217,53,400,299
213,223,52,402,300
214,228,53,403,299
215,233,56,411,296
216,235,58,414,294
217,237,62,418,298
218,242,63,422,295
219,239,64,423,301
220,244,65,426,300
221,250,66,424,299
222,251,66,427,296
223,252,68,427,296
224,254,67,428,295
225,259,62,425,296
226,260,63,424,297
227,262,64,424,296
228,262,64,424,295
229,262,64,423,295
230,261,64,424,296
231,261,64,424,296
232,260,64,425,296
233,259,64,425,295
234,259,64,425,296
235,259,64,426,297
236,256,66,427,296
237,258,65,426,299
238,255,68,427,298
239,253,68,428,299
240,253,67,426,301
241,250,67,427,300
242,248,69,423,301
243,247,69,420,300
244,246,69,417,305
245,247,67,416,303
246,243,66,413,304
247,241,69,408,305
248,240,69,406,305
249,236,67,406,305
250,234,64,410,305
251,226,66,406,305
252,227,66,403,302
253,222,67,403,301
254,220,66,402,300
255,215,66,404,300
256,213,64,404,300
257,206,64,403,301
258,202,64,403,304
259,209,67,401,304
260,207,66,401,304
261,205,68,399,304
262,204,71,397,302
263,195,71,391,303
264,181,67,388,303
265,189,69,388,303
266,179,64,388,305
267,185,66,386,305
268,175,62,383,306
269,175,63,380,307
270,166,61,379,305
271,163,55,378,304
272,164,55,376,305
273,162,56,371,306
274,151,52,371,307
275,153,56,370,306
276,159,58,370,305
277,159,58,370,306
278,159,58,368,306
279,158,57,367,304
280,156,55,366,302
281,154,55,364,302
282,154,54,361,300
283,151,53,360,300
284,152,52,360,299
285,141,47,362,300
286,147,52,358,298
287,149,49,354,294
288,155,53,355,295
289,152,51,356,295
