frame,sx,sy,ex,ey
0,227,25,417,295
1,228,28,416,299
2,228,28,416,298
3,227,30,415,298
4,228,27,416,298
5,227,24,418,297
6,221,20,419,296
7,221,23,417,297
8,218,24,417,297
9,215,18,416,297
10,212,17,413,297
11,209,19,407,297
12,204,16,402,297
13,200,11,402,297
14,200,12,399,299
15,200,11,399,298
16,200,11,401,297
17,200,11,400,297
18,200,9,400,297
19,200,9,400,297
20,203,10,402,297
21,203,8,402,296
22,200,9,400,296
23,200,8,403,296
24,201,13,403,296
25,202,14,405,296
26,203,15,404,295
27,201,15,404,295
28,203,15,404,294
29,205,15,404,294
30,203,16,403,294
31,205,17,403,293
32,204,16,403,293
33,204,16,403,293
34,205,16,402,293
35,204,14,401,293
36,204,13,402,293
37,205,13,404,294
38,206,14,405,295
39,206,14,408,296
40,206,15,409,296
41,205,14,411,297
42,206,13,412,297
43,206,13,413,297
44,209,14,413,298
45,210,14,414,298
46,212,13,415,298
47,212,16,414,297
48,212,19,413,297
49,211,17,413,296
50,212,18,412,296
51,214,18,412,295
52,212,17,411,295
53,213,16,413,295
54,214,17,413,295
55,214,15,413,295
56,214,15,412,295
57,215,14,412,295
58,214,14,412,295
59,213,16,412,294
60,211,15,413,294
61,212,13,413,294
62,212,14,413,294
63,213,13,414,294
64,214,14,414,294
65,215,15,415,295
66,216,16,414,294
67,219,16,415,295
68,218,18,415,295
69,220,23,417,296
70,222,24,417,297
71,222,30,415,295
72,223,27,418,295
73,226,29,420,294
74,228,21,423,292
75,230,28,424,291
76,229,28,423,291
77,232,34,422,291
78,231,32,421,291
79,230,31,421,291
80,231,31,421,291
81,230,34,421,291
82,230,37,420,292
83,227,35,419,293
84,229,25,421,291
85,227,24,419,291
86,224,28,420,292
87,223,29,419,294
88,224,28,417,295
89,222,25,417,296
90,220,24,416,297
91,218,20,417,296
92,218,19,416,296
93,218,19,416,296
94,219,19,416,296
95,218,19,416,295
96,218,18,415,295
97,218,18,415,296
98,218,19,415,296
99,219,20,415,296
100,219,19,416,296
101,218,18,416,295
102,217,20,415,295
103,217,18,415,295
104,217,17,415,294
105,215,16,415,294
106,214,16,413,294
107,212,14,410,294
108,214,14,409,293
109,210,16,408,294
110,209,19,406,294
111,209,16,405,294
112,208,15,404,293
113,207,15,404,293
114,207,15,404,294
115,206,15,405,294
116,207,15,405,293
117,207,16,406,293
118,207,16,406,294
119,208,15,407,294
120,208,18,407,294
121,209,18,407,294
122,209,18,406,294
123,208,17,406,294
124,208,16,406,294
125,207,17,406,294
126,207,16,406,294
127,206,17,407,294
128,207,17,407,294
129,207,17,407,294
130,208,17,408,294
131,207,16,408,294
132,209,18,407,294
133,209,18,408,294
134,210,18,409,295
135,210,17,409,295
136,210,18,409,295
137,209,17,409,295
138,209,17,409,295
139,209,18,408,295
140,208,18,408,294
141,209,18,408,295
142,209,18,408,295
143,209,18,408,295
144,212,19,409,295
145,211,18,410,295
146,212,17,410,295
147,211,17,412,296
148,213,17,412,296
149,212,17,413,296
150,213,16,414,296
151,213,16,414,296
152,213,17,414,296
153,214,19,414,295
154,214,20,414,296
155,216,21,414,296
156,216,21,415,297
157,216,21,417,297
158,216,19,416,297
159,218,23,414,296
160,219,23,413,296
161,219,22,414,296
162,218,21,416,296
163,219,22,415,296
164,219,22,417,296
165,220,20,417,296
166,223,19,418,296
167,222,23,419,296
168,224,27,418,296
169,224,27,418,296
170,224,28,418,296
171,224,26,418,296
172,224,27,417,297
173,223,26,418,297
174,224,27,418,297
175,222,27,419,296
176,223,26,419,297
177,221,24,418,297
178,221,23,417,297
179,220,26,417,297
180,219,27,415,296
181,219,29,414,297
182,218,26,412,296
183,217,28,412,296
184,217,27,413,297
185,219,31,412,297
186,219,31,413,297
187,218,30,414,297
188,218,28,414,297
189,218,28,414,297
190,218,27,415,298
191,218,27,414,297
192,220,26,415,299
193,221,28,416,299
194,220,28,417,299
195,220,29,417,299
196,218,30,416,299
197,218,26,416,299
198,216,26,416,298
199,217,22,416,299
200,217,23,415,299
201,215,23,415,299
202,215,23,415,299
203,215,23,415,299
204,218,24,414,299
205,218,30,413,299
206,220,27,413,299
207,221,28,415,299
208,221,29,415,299
209,221,32,416,299
210,220,34,416,299
211,221,34,417,299
212,222,33,419,299
213,223,34,420,299
214,224,35,420,299
215,223,36,421,299
216,224,35,420,298
217,224,37,421,298
218,222,36,420,298
219,222,35,419,298
220,222,36,417,299
221,220,37,417,299
222,220,33,417,300
223,218,33,415,300
224,216,29,416,300
225,217,27,415,300
226,214,24,415,300
227,216,19,415,301
228,216,20,415,301
229,214,18,414,301
230,212,18,413,300
231,211,21,413,299
232,210,20,413,299
233,209,18,412,299
234,209,20,411,298
235,207,20,410,298
236,207,19,409,297
237,207,20,408,297
238,208,21,407,296
239,207,20,406,296
240,207,21,405,295
241,207,20,403,295
242,206,19,402,294
243,205,20,401,294
244,206,18,401,293
245,206,14,401,292
246,205,13,400,291
247,205,14,398,290
248,206,15,397,288
249,204,15,398,288
250,203,14,397,286
251,203,14,396,285
252,202,11,397,285
