frame,sx,sy,ex,ey
0,246,146,420,380
1,246,159,420,381
2,245,157,420,380
3,249,164,421,382
4,251,165,421,382
5,253,166,424,384
6,245,150,422,383
7,247,146,422,382
8,246,145,424,381
9,243,141,422,379
10,242,138,423,378
11,242,137,422,376
12,243,127,423,379
13,244,126,421,378
14,244,128,421,378
15,243,130,420,377
16,243,130,420,378
17,243,129,419,379
18,241,137,420,377
19,240,140,420,377
20,242,142,419,377
21,243,143,418,378
22,243,140,417,377
23,242,140,416,379
24,244,140,417,380
25,245,142,416,380
26,242,140,418,380
27,243,139,419,379
28,241,137,420,378
29,240,138,420,378
30,238,133,421,379
31,241,132,419,381
32,241,129,419,380
33,239,131,419,379
34,237,130,419,378
35,241,126,418,382
36,247,128,417,383
37,244,136,418,379
38,243,137,421,379
39,239,138,422,378
40,239,140,421,378
41,239,140,420,378
42,239,141,420,377
43,238,139,420,378
44,237,137,419,377
45,236,134,420,377
46,238,135,421,377
47,240,136,419,378
48,242,131,419,380
49,242,131,420,380
50,245,127,421,380
51,245,128,421,378
52,248,130,421,378
53,247,131,420,377
54,243,129,419,377
55,242,129,420,378
56,240,137,420,376
57,238,130,420,376
58,239,128,418,376
59,239,127,419,377
60,241,129,416,377
61,237,136,416,375
62,240,131,417,375
63,238,129,419,375
64,235,128,418,374
65,236,128,418,375
66,235,132,419,375
67,235,133,419,376
68,235,134,419,376
69,237,128,420,376
70,238,129,418,375
71,238,129,420,374
72,238,128,417,376
73,238,125,417,376
74,240,124,416,378
75,240,121,416,378
76,243,123,416,379
77,244,124,419,378
78,243,124,418,378
79,243,128,419,377
80,245,127,421,376
81,246,125,422,376
82,245,129,423,375
83,245,129,421,375
84,246,128,421,377
85,249,128,421,376
86,249,128,420,375
87,245,128,420,376
88,242,124,417,376
89,245,128,417,378
90,246,125,416,378
91,245,125,419,379
92,242,127,417,380
93,244,124,415,381
94,242,125,415,378
95,241,125,417,376
96,242,127,415,378
97,240,128,415,377
98,240,126,415,377
99,244,125,416,379
100,244,128,416,378
101,244,127,415,378
102,242,128,415,377
103,241,127,417,377
104,242,125,416,379
105,245,126,416,379
106,243,126,414,379
107,240,126,415,379
108,243,125,416,378
109,243,127,417,378
110,246,128,417,377
111,243,127,418,377
112,244,131,422,376
113,242,130,427,376
114,238,130,428,378
115,238,138,426,376
116,239,140,427,376
117,236,139,427,376
118,237,140,424,377
119,238,141,424,375
120,245,128,423,378
121,245,126,420,379
122,242,124,419,378
123,239,126,417,376
124,236,132,415,374
125,234,143,417,374
126,234,137,417,374
127,236,143,417,374
128,238,144,416,376
129,239,142,415,375
130,240,140,418,376
131,242,139,418,377
132,244,139,418,377
133,239,137,418,377
134,235,140,417,376
135,236,140,416,377
136,234,138,417,378
137,232,137,418,378
138,232,136,418,379
139,232,135,417,379
140,233,133,414,378
141,236,125,417,382
142,234,130,417,379
143,237,134,417,377
144,237,134,416,376
145,242,130,415,378
146,245,128,416,380
147,244,128,420,382
148,241,127,418,382
149,244,133,417,380
150,245,122,420,381
151,249,125,423,377
152,244,122,426,378
153,245,123,425,382
154,246,124,424,384
155,244,124,427,381
156,247,123,426,383
157,246,122,428,383
158,245,122,428,383
159,246,123,428,382
160,242,124,429,384
161,243,127,422,381
162,243,129,424,381
163,243,129,424,381
164,246,129,423,381
165,248,129,424,382
166,261,131,426,380
167,246,132,425,381
168,245,130,423,383
169,246,130,424,384
170,248,130,422,384
171,246,129,420,384
172,249,134,420,382
173,251,134,419,381
174,249,134,418,383
175,247,132,417,386
176,248,130,416,387
177,245,127,417,386
178,244,128,417,385
179,242,126,417,382
180,242,127,417,384
181,242,127,417,384
182,239,127,419,384
183,237,126,419,383
184,236,127,420,383
185,234,130,418,384
186,236,131,417,386
187,236,131,417,386
188,234,131,418,381
189,237,133,418,381
190,238,133,420,382
191,239,134,419,380
192,239,132,419,380
193,239,132,418,380
194,239,134,418,380
195,238,136,418,380
196,239,136,417,380
197,238,135,418,380
198,239,132,417,380
199,240,133,417,381
200,242,135,419,381
201,242,134,419,382
202,240,132,419,381
203,241,130,419,382
204,246,133,419,382
205,242,128,420,381
206,235,126,422,380
207,234,127,420,381
208,232,129,418,379
209,236,135,417,378
210,233,138,416,377
211,233,138,416,378
212,232,137,415,378
213,231,137,415,378
214,230,136,413,378
215,231,135,412,379
216,235,135,414,378
217,239,135,414,378
218,238,133,415,378
219,237,133,416,377
220,237,132,416,376
221,237,129,415,380
222,235,127,415,379
223,238,129,416,379
224,238,128,416,379
225,235,128,419,378
226,241,126,417,383
227,240,125,417,383
228,243,128,417,382
229,243,128,418,381
230,241,128,418,380
231,243,127,418,380
232,244,127,417,381
233,245,130,417,380
234,244,128,416,381
235,246,124,417,382
236,247,133,417,379
237,245,130,417,382
238,246,131,417,379
239,249,130,419,378
240,250,128,419,380
241,250,130,421,380
242,249,137,423,377
243,247,137,424,377
244,249,130,424,378
245,248,127,426,377
246,247,143,430,372
247,246,141,430,373
248,265,137,433,374
249,267,137,432,374
250,268,143,433,373
251,269,138,433,373
252,265,124,428,373
253,270,127,430,370
254,269,130,431,370
255,273,134,429,370
256,273,129,434,369
257,275,126,438,369
258,272,131,435,370
259,271,131,434,371
260,269,127,434,371
261,270,124,434,371
262,269,124,431,369
263,263,123,431,370
264,261,126,429,372
265,249,143,430,371
266,240,138,430,375
267,238,137,429,376
268,245,142,428,377
269,246,146,424,377
270,246,139,423,378
271,245,138,421,378
272,242,135,417,379
273,244,133,416,380
274,246,126,416,382
275,244,125,417,381
276,247,124,419,380
277,245,125,422,379
278,246,123,423,379
279,245,123,424,380
280,246,122,424,380
281,248,124,424,379
282,248,127,425,378
283,249,126,424,379
284,248,125,425,379
285,247,124,424,379
286,247,124,424,380
287,248,126,425,381
288,249,135,423,378
289,249,135,423,378
290,249,135,423,377
291,250,129,424,379
292,250,129,425,378
293,250,129,424,377
294,250,128,424,378
295,249,127,424,378
296,250,127,425,379
297,260,136,428,378
298,257,134,431,379
299,257,132,432,379
300,262,134,431,379
301,261,132,431,379
302,259,137,431,378
303,259,138,431,377
304,261,139,430,377
305,257,140,429,378
306,241,139,430,382
307,243,142,427,383
308,241,138,426,381
309,239,140,426,378
310,241,136,423,378
311,240,137,421,377
312,242,137,422,378
313,242,136,420,378
314,241,127,419,380
315,243,127,419,380
316,242,123,419,381
317,243,127,420,381
318,242,130,419,378
319,239,131,421,378
320,236,133,421,377
321,238,134,422,378
322,239,134,422,378
323,241,136,423,378
324,250,133,420,381
325,245,129,421,382
326,243,130,422,377
327,244,127,423,380
328,242,132,422,378
329,245,128,421,380
330,247,130,422,380
331,246,136,420,376
332,249,135,416,377
333,244,134,415,378
334,245,136,415,378
335,243,141,419,378
336,242,139,419,380
337,240,143,421,379
338,230,144,420,382
339,229,142,418,384
340,230,144,415,385
341,229,148,408,388
342,228,146,406,390
343,228,146,404,391
344,228,146,408,390
345,229,144,407,388
346,229,143,409,388
347,225,143,409,388
348,227,140,407,386
349,227,139,406,385
350,227,136,399,387
351,229,135,399,387
352,229,134,401,387
353,227,129,401,388
354,229,132,403,385
355,227,133,405,385
356,228,134,406,385
357,224,131,404,384
358,224,133,405,382
359,224,132,408,379
360,226,124,406,381
361,230,126,407,380
362,230,125,410,378
363,232,124,413,378
364,235,123,414,378
365,236,123,413,376
366,236,125,413,375
367,236,124,413,376
368,234,122,413,376
369,232,122,415,377
370,233,123,414,377
371,233,120,416,378
372,230,119,417,378
373,236,121,415,379
374,241,121,415,379
375,241,121,417,379
376,239,122,416,378
377,237,120,419,378
378,241,122,420,378
379,242,124,420,376
380,242,122,420,377
381,242,122,420,376
382,243,120,421,376
383,243,121,420,375
384,244,118,421,377
385,243,121,421,379
386,244,123,423,378
387,244,118,424,380
388,243,123,424,380
389,244,125,423,380
390,244,127,424,378
391,245,126,425,378
392,245,126,425,377
393,245,128,424,376
