frame,sx,sy,ex,ey
0,224,48,404,268
1,225,53,406,267
2,226,54,405,266
3,226,52,405,266
4,225,53,406,265
5,226,52,406,266
6,228,51,406,266
7,229,51,406,265
8,229,51,407,265
9,229,51,407,264
10,229,51,408,265
11,228,50,408,265
12,230,50,408,265
13,229,50,409,266
14,229,49,408,266
15,229,50,407,266
16,226,48,405,268
17,226,48,404,268
18,226,48,404,268
19,226,47,404,269
20,226,47,402,268
21,225,46,402,269
22,224,45,402,267
23,224,45,402,268
24,224,46,401,264
25,223,45,401,265
26,223,45,401,266
27,224,45,401,268
28,220,47,401,269
29,224,48,401,269
30,224,47,401,271
31,225,47,402,272
32,225,48,402,272
33,224,49,401,274
34,223,48,401,274
35,222,53,402,274
36,222,52,402,276
37,224,51,404,274
38,226,48,405,278
39,229,49,407,278
40,231,51,409,277
41,230,52,409,278
42,233,54,409,281
43,234,57,411,282
44,234,55,410,283
45,233,56,410,283
46,233,56,409,283
47,231,56,410,283
48,231,57,409,284
49,229,57,409,284
50,230,57,409,283
51,228,58,410,280
52,227,58,408,280
53,228,58,408,278
54,227,58,409,279
55,227,58,408,278
56,226,58,409,278
57,224,55,408,284
58,227,55,404,283
59,223,57,400,276
60,222,59,397,275
61,219,60,394,278
62,213,57,391,292
63,211,55,389,301
64,212,54,389,311
65,211,53,389,316
66,211,54,390,315
67,212,55,390,309
68,213,55,393,308
69,213,56,393,306
70,213,57,392,305
71,214,57,393,307
72,212,57,391,302
73,212,57,391,303
74,212,57,390,304
75,212,56,390,304
76,212,56,391,305
77,212,56,390,303
78,212,55,390,306
79,211,55,390,307
80,212,55,390,315
81,210,58,390,319
82,211,58,390,313
83,211,55,390,317
84,211,55,392,312
85,211,54,391,314
86,209,54,391,315
87,210,54,390,316
88,210,56,389,308
89,210,55,390,304
90,210,54,390,309
91,210,54,389,310
92,209,55,389,310
93,210,55,389,308
94,210,55,389,308
95,210,54,388,310
96,209,55,389,312
97,210,56,389,311
98,210,56,389,306
99,208,56,389,310
100,209,55,389,310
101,210,57,391,306
102,213,58,392,302
103,214,61,392,301
104,220,61,394,303
105,221,63,395,296
106,222,57,398,298
107,223,55,400,299
108,224,63,402,296
109,225,65,403,294
110,226,61,405,297
111,229,62,412,295
112,232,60,412,295
113,233,59,414,294
114,233,60,413,294
115,234,60,414,293
116,235,61,413,294
117,235,59,414,294
118,234,58,413,295
119,235,57,412,296
120,239,57,412,296
121,241,57,412,295
122,240,57,412,296
123,238,57,412,296
124,237,56,411,297
125,236,57,411,297
126,236,57,411,298
127,236,57,411,298
128,235,58,411,298
129,237,57,411,297
130,238,57,411,296
131,235,58,411,297
132,237,56,411,296
133,236,57,411,296
134,236,58,411,296
135,236,59,411,297
136,236,59,411,296
137,236,59,411,296
138,236,60,411,296
139,235,60,411,296
140,234,59,411,296
141,232,56,411,296
142,233,55,410,295
143,235,57,411,294
144,235,56,410,293
145,237,58,411,293
146,237,58,412,294
147,238,58,412,294
148,239,58,411,294
149,238,57,411,294
150,239,56,412,293
151,240,57,412,294
152,240,56,412,293
153,240,55,412,293
154,242,55,412,292
155,243,54,412,295
156,240,54,411,297
157,240,54,411,297
158,241,53,410,295
159,242,54,410,294
160,242,53,410,295
161,241,53,410,294
162,241,54,410,294
163,241,56,411,292
164,241,56,411,292
165,242,56,410,293
166,241,55,410,293
167,240,56,411,293
168,239,55,411,286
169,240,56,412,285
170,241,58,412,283
171,240,57,412,284
172,239,57,413,284
173,238,57,413,285
174,234,57,414,287
175,233,57,415,285
176,232,56,414,286
177,230,55,414,292
178,229,53,412,294
179,230,54,412,296
180,234,53,411,293
181,234,54,411,290
182,233,54,411,288
183,233,54,411,286
184,233,53,412,287
185,233,54,412,287
186,233,54,412,286
187,233,53,412,287
188,233,53,413,287
189,233,53,412,287
190,235,52,412,287
191,235,52,413,288
192,237,50,413,290
193,237,52,412,290
194,238,52,413,287
195,237,51,414,290
196,237,52,414,290
197,238,53,414,291
198,240,51,414,292
199,240,50,413,293
