frame,sx,sy,ex,ey
0,191,156,386,416
1,190,155,386,421
2,190,156,385,421
3,191,155,386,421
4,190,156,386,421
5,190,161,383,420
6,191,165,383,415
7,190,161,384,411
8,191,161,383,409
9,192,159,384,409
10,192,156,383,409
11,194,153,381,409
12,193,154,382,410
13,193,155,383,409
14,197,157,382,411
15,196,157,382,415
16,195,156,382,416
17,194,155,382,415
18,192,152,383,414
19,190,153,381,413
20,191,153,382,412
21,190,150,381,412
22,190,147,381,412
23,189,146,379,412
24,189,146,379,411
25,190,144,380,411
26,190,143,380,411
27,191,144,381,412
28,192,147,381,412
29,190,148,380,411
30,192,149,381,413
31,192,149,381,412
32,193,147,383,413
33,195,148,383,416
34,194,151,382,421
35,192,151,381,422
36,193,153,380,423
37,193,153,380,423
38,192,156,378,425
39,192,160,380,425
40,193,166,378,427
41,195,161,378,428
42,193,160,376,425
43,192,158,377,426
44,191,162,376,426
45,192,160,375,425
46,192,162,371,425
47,192,158,373,428
48,192,158,374,428
49,194,154,372,430
50,193,160,369,428
51,193,160,364,428
52,191,160,363,427
53,190,163,362,424
54,190,165,362,425
55,190,165,363,424
56,189,169,363,424
57,189,169,363,424
58,183,164,359,425
59,183,159,358,426
60,184,159,357,424
61,184,157,359,425
62,185,156,358,425
63,185,155,357,424
64,186,154,356,424
65,185,150,357,426
66,185,150,357,427
67,185,150,356,425
68,185,148,356,426
69,185,146,356,427
70,185,146,356,428
71,187,146,355,427
72,184,140,360,430
73,184,139,359,432
74,183,138,358,434
75,181,135,358,435
76,181,136,357,434
77,182,138,357,433
78,183,138,359,433
79,182,136,360,431
80,185,139,358,427
81,187,141,356,425
82,188,137,357,423
83,185,135,358,424
84,186,136,358,423
85,186,135,358,421
86,187,131,358,422
87,188,131,358,423
88,188,130,357,422
89,185,125,360,425
90,184,129,360,425
91,187,134,358,422
92,184,129,360,424
93,186,134,357,420
94,191,129,357,420
95,193,137,357,418
96,187,139,356,418
97,196,135,359,417
98,196,138,361,416
99,195,142,361,416
100,193,141,363,416
101,191,139,363,415
102,192,139,362,415
103,192,137,363,415
104,192,140,364,414
105,192,140,364,415
106,191,142,365,412
107,190,141,367,410
108,189,133,367,412
109,190,133,367,411
110,190,139,365,411
111,189,138,366,411
112,189,138,366,410
113,189,139,366,410
114,188,138,367,409
115,189,143,367,409
116,189,144,367,409
117,189,145,368,408
118,188,147,366,408
119,188,145,366,406
120,187,145,365,405
121,187,149,366,404
122,187,149,367,402
123,186,149,368,401
124,185,147,368,399
125,184,143,369,400
126,185,143,370,399
127,185,141,370,399
128,186,139,371,399
129,186,139,373,398
130,187,138,372,398
131,187,139,371,398
132,187,141,371,397
133,187,136,373,398
134,186,136,372,397
135,187,137,373,398
136,188,138,373,397
137,188,138,374,397
138,188,140,375,397
139,188,140,377,397
140,188,142,375,397
141,188,143,374,397
142,188,140,374,397
143,188,139,375,398
144,189,137,376,397
145,190,137,376,397
146,189,145,375,396
147,188,149,376,397
148,188,150,376,398
149,187,146,374,399
150,187,144,374,400
151,187,147,375,400
152,188,152,376,401
153,188,154,375,400
154,188,148,374,401
155,187,147,372,401
156,188,153,371,402
157,187,153,372,402
158,186,152,372,403
159,186,150,371,403
160,185,148,371,403
161,184,146,373,403
162,184,148,373,402
163,186,149,373,403
164,185,152,374,403
165,185,153,373,403
166,186,154,374,404
167,186,153,372,403
168,185,155,372,403
169,184,155,371,403
170,183,155,372,403
171,183,154,371,402
172,183,156,372,402
173,183,153,371,403
174,182,153,370,403
175,183,154,371,402
176,183,155,372,402
177,184,158,372,402
178,184,158,373,403
179,184,156,374,403
180,186,156,374,404
181,186,155,374,404
182,186,153,374,405
183,186,150,372,405
184,186,148,371,404
185,185,148,371,404
186,184,148,370,405
187,184,148,371,405
188,183,147,371,404
189,183,146,370,405
190,184,142,368,404
191,184,143,368,405
192,185,144,367,404
193,184,144,366,404
194,184,146,367,404
195,184,146,366,404
196,184,146,366,404
197,184,145,366,404
198,184,145,366,404
199,184,146,366,404
200,184,145,366,404
201,185,146,366,404
202,185,146,366,404
203,184,145,366,403
204,185,146,365,401
205,184,146,365,401
206,184,147,366,400
207,185,149,367,400
208,186,150,367,400
209,186,150,368,401
210,186,151,367,401
211,186,151,367,401
212,186,152,367,401
213,186,151,368,401
214,187,151,367,401
215,186,152,367,401
216,186,151,366,401
217,187,149,367,401
218,187,149,367,401
219,187,148,367,401
220,186,147,366,401
221,186,147,366,401
222,186,147,366,401
223,186,148,367,401
224,186,148,367,400
225,186,149,367,400
226,186,150,367,401
227,185,148,366,400
228,185,149,367,401
229,185,148,367,400
230,185,149,367,400
231,186,150,367,401
232,185,151,367,401
233,185,150,368,400
234,185,150,368,401
235,185,150,368,401
236,186,150,369,401
237,186,149,369,401
238,187,150,371,400
239,188,148,371,400
240,187,152,371,400
241,186,151,372,401
242,187,151,371,402
243,187,149,371,404
244,188,150,370,406
245,188,149,370,408
246,188,148,368,409
247,188,147,367,409
248,188,147,366,410
249,187,146,365,411
250,187,145,365,412
251,183,147,362,411
252,184,148,362,411
253,188,145,363,413
254,189,147,363,415
255,188,145,364,416
256,189,147,364,417
257,194,155,363,419
258,196,152,364,420
259,193,153,363,419
260,183,154,357,421
261,182,156,354,419
262,181,158,352,419
263,182,157,353,419
264,182,161,353,419
265,180,160,354,420
266,181,157,356,420
267,181,156,355,421
268,181,157,356,421
269,181,159,356,421
270,182,160,355,419
271,184,158,356,419
272,184,157,356,418
273,185,157,355,417
274,184,156,355,419
275,185,154,356,419
276,182,152,357,416
277,183,151,357,418
278,182,152,356,419
279,183,151,356,420
280,183,152,355,420
281,182,151,355,421
282,182,150,356,422
283,183,149,356,423
284,183,151,355,422
285,183,152,355,422
286,183,155,354,423
287,184,153,355,426
288,183,150,355,425
289,183,150,353,426
290,182,150,353,427
291,182,150,352,429
292,182,149,350,430
293,181,150,351,430
294,182,150,351,430
295,182,150,351,430
296,182,152,353,428
297,182,153,352,426
298,183,154,355,428
299,184,153,356,426
300,186,151,358,423
301,185,153,358,424
302,184,155,360,421
303,183,155,358,419
304,183,155,359,416
305,183,157,358,414
306,181,155,359,409
307,181,154,361,412
308,181,153,365,408
309,181,153,365,408
310,185,150,363,409
311,184,147,366,409
312,186,150,367,408
313,185,149,367,408
314,185,149,367,406
315,185,152,366,404
316,185,154,368,405
317,184,153,368,405
318,184,153,369,406
319,184,154,367,407
320,184,151,366,407
321,183,152,367,408
322,183,147,369,410
323,183,148,370,409
324,186,147,371,410
325,184,148,371,410
326,185,144,372,411
327,183,143,371,411
328,183,148,373,410
