frame,sx,sy,ex,ey
0,153,95,331,333
1,152,94,329,337
2,153,90,329,339
3,151,89,327,337
4,147,92,325,333
5,146,88,323,333
6,144,91,319,331
7,143,91,315,332
8,138,90,317,331
9,135,91,317,333
10,134,93,317,338
11,131,91,318,340
12,130,92,318,341
13,128,91,316,344
14,127,93,312,344
15,126,94,312,344
16,123,94,310,345
17,123,94,310,345
18,122,95,312,344
19,122,95,311,344
20,122,94,312,343
21,122,94,312,344
22,123,95,312,342
23,122,94,311,342
24,122,93,309,341
25,123,94,311,343
26,124,94,312,343
27,123,93,310,344
28,124,92,311,343
29,125,92,313,343
30,125,92,313,344
31,125,93,313,342
32,125,93,313,340
33,124,94,313,340
34,126,92,314,339
35,128,93,317,340
36,131,91,316,340
37,133,91,315,337
38,135,90,313,336
39,136,89,314,338
40,139,90,317,338
41,140,91,318,339
42,141,93,320,340
43,142,94,321,340
44,143,94,322,339
45,144,94,324,340
46,144,94,323,339
47,145,95,324,338
48,145,94,325,338
49,145,94,326,338
50,147,93,326,338
51,148,94,327,338
52,149,95,328,340
53,150,94,331,340
54,151,95,330,340
55,151,93,331,340
56,152,93,331,340
57,150,92,331,341
58,149,91,331,342
59,148,88,330,342
60,148,89,326,339
61,148,90,325,338
62,149,91,324,338
63,146,89,321,336
64,144,89,321,336
65,139,89,321,335
66,138,91,320,335
67,136,93,319,334
68,134,93,319,333
69,133,93,320,334
70,134,93,319,333
71,136,92,320,333
72,137,92,317,334
73,139,90,320,338
74,142,91,320,341
75,143,92,322,341
76,143,90,325,341
77,145,90,325,339
78,145,90,327,338
79,146,92,330,339
80,147,95,332,340
81,150,96,337,341
82,152,98,336,342
83,156,99,341,345
84,161,101,347,344
85,164,101,348,342
86,167,100,350,342
87,173,103,356,343
88,175,106,360,342
89,176,105,362,346
90,183,110,369,346
91,187,111,371,347
92,193,113,375,348
93,201,115,379,347
94,203,115,379,346
95,205,115,383,345
96,208,113,386,343
97,212,112,388,344
98,213,113,388,344
99,213,114,386,342
100,215,115,388,343
101,216,114,388,344
102,220,112,388,344
103,224,115,392,347
104,227,116,391,349
105,225,118,395,352
106,229,119,396,354
107,228,121,396,355
108,227,119,393,358
109,228,120,394,363
110,229,122,397,364
111,229,123,396,368
112,225,127,399,369
113,219,134,394,370
114,220,135,392,372
115,210,136,392,372
116,205,138,390,372
117,200,138,389,372
118,198,141,386,372
119,198,141,387,371
120,198,143,387,371
121,197,142,384,369
122,197,142,384,370
123,196,142,387,370
124,196,144,384,370
125,196,142,385,370
126,196,141,384,368
127,194,139,385,368
128,193,137,386,368
129,192,134,384,366
130,193,133,381,364
131,187,126,383,362
132,185,122,382,362
133,183,120,378,362
134,180,118,374,358
135,179,115,374,358
136,178,111,372,357
137,175,108,363,356
138,174,108,364,355
139,172,107,366,355
140,172,105,365,354
141,172,104,363,352
142,172,100,362,350
143,171,99,360,349
144,172,98,360,347
145,172,96,359,347
146,171,95,357,346
147,170,94,356,344
148,171,93,353,342
149,170,94,354,341
150,170,93,354,340
151,169,93,352,340
152,169,92,350,339
153,168,91,350,337
154,168,92,351,335
155,166,91,350,333
156,168,88,350,330
157,166,85,350,329
158,166,81,350,327
159,165,80,348,325
160,166,80,348,324
161,165,79,346,322
162,164,84,343,323
163,163,82,341,321
164,164,82,341,320
165,163,82,341,319
166,163,81,340,318
167,163,82,340,319
168,164,82,340,315
169,163,81,340,314
170,163,81,338,313
171,163,81,337,310
172,164,82,336,310
173,163,81,336,311
174,163,81,336,311
175,164,82,337,311
176,163,83,336,312
177,163,82,336,311
178,163,83,336,313
179,162,82,336,312
180,162,83,337,312
181,162,83,337,313
182,162,84,336,313
183,162,83,336,314
184,162,83,336,314
185,162,83,336,314
186,162,82,335,314
187,162,82,335,314
188,162,82,335,314
189,162,82,335,314
190,162,82,335,314
191,162,81,334,312
192,162,83,334,311
193,163,83,334,311
194,163,83,334,310
195,162,83,335,311
196,162,82,335,312
197,161,82,336,313
198,162,82,336,314
199,163,83,336,315
200,162,82,335,315
201,162,82,336,315
202,161,81,336,315
203,161,82,336,315
204,162,83,336,313
205,162,83,335,312
206,161,83,335,313
207,161,84,335,312
208,161,84,334,312
209,162,83,334,314
210,162,83,333,316
211,163,84,335,317
212,162,83,332,315
213,162,82,332,314
214,162,82,335,313
215,161,81,335,314
216,160,82,334,315
217,161,81,335,320
218,161,81,335,321
219,162,81,336,320
220,163,82,337,318
221,162,82,338,316
222,162,83,338,315
223,162,85,340,314
224,163,85,340,317
225,164,86,341,317
226,165,79,341,321
227,166,79,340,322
228,166,79,341,324
229,167,80,342,324
230,169,78,342,327
231,169,78,343,328
232,170,78,342,331
233,171,77,343,332
234,171,77,343,332
235,171,77,343,333
236,172,78,344,336
237,171,79,344,338
238,172,77,344,337
239,172,75,344,336
240,172,74,344,337
241,172,74,345,339
242,173,73,344,337
243,173,74,344,335
244,173,74,345,335
245,172,74,346,335
246,172,74,346,337
247,173,76,348,337
248,173,77,348,335
249,174,77,349,336
250,174,76,349,338
251,174,77,350,337
252,174,77,350,337
253,174,77,350,336
254,174,77,350,337
255,175,77,351,335
256,174,77,351,335
257,174,78,351,336
258,174,77,351,337
259,174,77,351,337
260,174,77,350,337
261,174,76,350,339
262,173,77,351,337
263,173,75,350,339
264,174,76,350,340
265,173,77,350,342
266,173,76,350,343
267,173,77,350,344
268,173,77,350,344
269,173,77,350,344
270,173,77,349,344
271,173,77,350,344
272,172,77,350,343
273,172,77,349,343
274,172,78,349,342
275,172,77,349,341
276,173,76,348,340
277,173,76,347,338
278,173,75,347,338
279,173,75,347,339
280,172,75,348,339
281,172,76,348,340
282,173,77,348,342
283,173,77,348,341
284,173,77,349,343
285,172,78,349,344
286,172,78,349,343
287,173,78,349,345
288,172,79,349,344
289,173,79,349,346
290,173,80,349,347
291,172,80,349,346
292,172,79,349,347
293,172,79,350,346
294,172,79,351,344
295,172,78,351,346
296,172,78,351,345
297,172,78,351,346
298,172,78,351,343
299,173,77,350,340
300,173,77,349,343
301,173,76,349,343
302,174,76,350,342
303,174,76,349,342
304,173,76,350,342
305,174,77,350,344
306,174,77,350,343
307,173,77,350,343
308,173,77,350,341
309,172,76,350,340
310,173,75,350,338
311,173,78,350,336
312,173,74,349,338
313,173,75,348,337
314,173,76,349,333
315,172,75,349,334
316,172,75,349,330
317,171,75,349,327
318,170,82,346,324
319,170,83,346,322
320,170,83,346,321
321,170,82,346,321
322,170,82,345,318
323,169,81,345,317
324,168,83,346,316
325,167,82,346,317
326,168,81,345,316
327,167,82,344,315
328,166,82,344,314
329,166,82,344,312
330,166,83,344,312
331,166,83,343,312
332,165,83,343,312
333,165,84,342,313
334,165,84,341,314
335,165,84,339,314
336,165,83,339,312
337,165,86,339,312
338,164,89,339,314
339,164,88,340,316
340,164,89,338,315
341,163,89,339,316
342,164,89,339,315
343,165,89,338,316
344,165,88,337,316
345,166,88,338,316
346,166,88,341,317
347,168,85,343,316
348,168,84,343,316
349,166,90,340,317
350,166,90,339,317
351,165,90,340,316
352,165,90,338,316
353,166,89,338,316
354,165,89,339,315
355,165,89,339,315
356,164,89,341,314
357,164,89,342,314
358,165,90,342,314
359,167,91,342,314
360,170,89,346,318
361,171,93,350,321
362,171,93,352,324
363,172,94,356,326
364,174,95,356,328
365,175,96,355,330
366,176,99,354,329
367,177,100,355,331
368,179,99,358,332
369,179,98,360,333
370,178,99,361,333
371,183,103,368,333
372,185,105,368,333
373,185,104,368,333
374,186,104,368,333
375,186,105,367,334
376,186,105,367,334
377,185,104,367,334
