frame,sx,sy,ex,ey
0,259,91,449,362
1,258,89,449,363
2,259,89,449,363
3,260,90,449,362
4,257,88,449,364
5,259,86,449,363
6,259,87,449,363
7,259,88,449,363
8,259,89,449,362
9,259,90,450,362
10,258,90,449,362
11,257,91,449,361
12,257,90,449,362
13,257,90,449,361
14,256,90,449,361
15,256,90,448,362
16,255,90,448,361
17,255,90,448,361
18,255,90,448,362
19,255,89,448,363
20,254,90,448,363
21,255,90,448,363
22,256,90,448,362
23,256,90,449,361
24,256,91,448,360
25,256,91,448,361
26,255,90,448,361
27,255,91,448,361
28,255,90,448,361
29,254,90,448,361
30,255,91,447,360
31,255,91,447,361
32,253,91,448,359
33,253,91,447,361
34,253,90,447,360
35,253,90,446,361
36,253,91,445,361
37,251,90,444,361
38,251,90,444,361
39,250,90,443,361
40,251,92,443,360
41,249,92,441,360
42,248,94,440,359
43,250,96,439,358
44,250,96,439,358
45,250,96,438,358
46,249,95,438,358
47,247,95,437,359
48,246,94,437,360
49,243,91,438,360
50,242,92,436,360
51,240,90,433,361
52,237,89,430,362
53,234,89,429,362
54,232,89,426,358
55,229,87,420,359
56,226,87,418,359
57,222,88,417,359
58,217,88,415,360
59,215,88,413,359
60,213,87,411,359
61,212,86,408,361
62,211,86,406,362
63,210,85,406,362
64,209,85,405,361
65,209,84,405,360
66,208,84,405,360
67,208,85,405,360
68,207,85,404,360
69,207,85,404,360
70,206,86,404,360
71,205,87,404,360
72,204,88,404,360
73,204,88,404,360
74,204,88,404,358
75,204,88,404,360
76,205,84,404,359
77,206,84,405,360
78,209,83,408,359
79,212,79,411,360
80,214,78,416,359
81,220,77,419,358
82,226,73,420,355
83,231,73,427,354
84,234,72,430,354
85,240,73,432,352
86,247,75,439,352
87,249,76,441,352
88,252,75,444,353
89,254,76,448,351
90,258,75,452,351
91,261,76,455,349
92,263,76,457,351
93,263,80,461,349
94,265,82,464,348
95,267,84,466,351
96,269,84,467,354
97,270,84,467,356
98,271,86,467,357
99,271,85,465,358
100,272,86,466,359
101,273,86,466,360
102,273,88,469,360
103,273,88,468,360
104,273,89,468,358
105,270,89,467,359
106,268,91,466,358
107,265,92,465,355
108,264,92,463,354
109,264,91,463,355
110,264,92,462,357
111,264,92,462,358
112,263,92,461,359
113,262,91,460,359
114,260,90,459,363
115,259,89,458,364
116,259,89,457,363
117,259,89,457,364
118,260,90,457,361
119,260,91,456,357
120,259,92,453,355
121,257,91,453,357
122,255,91,450,360
123,251,91,448,363
124,248,91,443,361
125,243,88,440,360
126,241,88,434,354
127,236,86,429,355
128,229,80,427,355
129,227,80,422,351
130,224,78,418,356
131,219,76,416,355
132,215,76,413,358
133,211,77,408,361
134,209,77,406,359
135,206,78,403,359
136,203,79,403,356
137,201,81,401,354
138,200,80,398,352
139,199,81,395,353
140,196,81,393,352
141,195,79,391,354
142,194,79,390,354
143,191,78,390,356
144,190,77,388,358
145,188,78,386,357
146,187,80,385,356
147,186,80,385,358
148,186,80,385,358
149,185,79,384,356
150,185,80,384,352
151,185,79,384,349
152,186,80,383,348
153,185,79,381,347
154,185,78,382,349
155,185,78,382,349
156,186,78,383,346
157,186,77,384,348
158,185,78,384,348
159,185,78,384,348
160,184,79,385,347
161,184,78,385,349
162,184,78,385,351
163,181,79,384,349
164,180,79,381,348
165,179,80,381,348
166,178,82,378,349
167,175,81,376,350
168,171,77,369,352
169,170,77,368,351
170,168,76,366,353
171,165,76,362,351
172,163,78,359,352
173,161,79,359,353
174,160,79,358,351
175,160,80,357,352
176,160,81,356,353
177,161,80,358,354
178,162,79,358,354
179,164,81,359,355
180,167,81,363,357
181,169,82,365,358
182,172,83,370,357
183,177,84,377,356
184,181,81,383,361
185,183,80,386,361
186,192,83,393,367
187,197,86,400,364
188,203,85,404,375
189,209,91,410,375
190,215,98,417,374
191,223,101,424,374
192,230,105,427,379
193,234,106,433,386
194,241,107,434,390
195,245,108,439,390
196,249,111,444,391
197,250,108,446,393
198,254,107,450,392
199,252,110,453,385
200,254,109,455,378
201,255,105,457,376
202,256,101,457,374
203,259,99,458,373
204,263,96,460,371
205,264,92,460,369
206,263,90,460,367
207,263,85,460,362
208,267,85,461,359
209,269,81,463,354
210,271,74,464,350
211,272,73,465,346
212,272,73,467,344
213,274,70,468,341
214,273,69,469,336
215,274,66,466,334
216,278,68,466,331
217,276,67,465,330
218,275,66,462,330
219,273,64,458,330
220,272,64,457,330
221,271,65,454,329
222,269,66,454,329
223,266,68,454,327
224,266,67,453,327
225,264,69,453,327
226,261,72,452,326
227,260,75,451,329
228,261,77,450,334
229,259,77,447,338
230,260,77,445,342
231,258,77,445,345
232,256,78,444,346
233,256,80,444,348
234,254,81,443,351
235,251,83,442,352
236,251,85,443,357
237,251,83,444,363
238,250,83,444,368
239,251,82,445,371
240,250,84,446,373
241,250,82,446,372
242,251,79,447,371
243,251,76,445,372
244,251,73,445,375
245,252,71,446,375
246,253,71,444,377
247,260,69,449,381
248,254,69,447,379
249,251,66,447,377
250,252,65,447,375
251,252,65,448,375
252,254,65,451,373
253,255,68,450,371
254,255,68,451,368
255,258,68,452,366
256,260,69,452,368
257,260,68,452,370
258,260,67,453,371
259,262,66,453,368
260,262,67,451,366
261,261,68,451,363
262,262,68,452,369
263,263,68,452,365
264,263,68,452,369
265,264,67,452,368
266,266,67,452,366
267,267,67,454,370
268,268,67,454,373
269,269,66,455,375
270,270,67,460,374
271,270,68,460,375
272,271,68,461,372
273,271,70,465,371
274,270,72,469,368
275,271,72,469,368
276,271,74,472,367
277,272,74,473,367
278,272,74,471,367
279,271,74,472,366
280,270,77,471,365
281,270,78,470,363
282,270,79,472,362
283,271,79,472,361
284,271,79,472,361
285,272,79,472,360
286,272,79,471,358
287,271,82,473,355
288,271,84,473,354
289,271,85,474,353
290,272,85,472,354
291,272,85,472,354
292,272,85,472,355
293,272,84,473,356
294,272,84,473,357
295,271,84,473,358
296,270,86,470,360
297,269,88,471,361
298,268,89,469,362
299,265,89,471,362
300,264,90,467,364
301,263,93,463,363
302,260,92,463,364
303,256,92,458,364
304,253,93,457,370
305,252,96,452,372
306,248,95,447,376
