frame,sx,sy,ex,ey
0,249,65,427,296
1,247,66,426,294
2,248,66,426,295
3,247,67,424,294
4,248,67,423,294
5,247,67,423,293
6,247,66,423,293
7,247,66,423,294
8,248,67,423,294
9,247,67,423,294
10,247,67,424,294
11,246,67,425,293
12,246,67,423,293
13,245,66,424,293
14,246,67,423,294
15,246,67,423,294
16,245,67,424,294
17,245,67,426,294
18,246,66,426,294
19,245,66,426,295
20,245,68,426,294
21,245,67,425,294
22,244,68,425,294
23,243,68,424,294
24,242,69,424,294
25,242,69,423,294
26,242,69,423,294
27,243,69,424,294
28,243,68,425,295
29,243,67,425,295
30,243,67,424,296
31,243,68,424,296
32,244,67,424,296
33,244,67,425,296
34,244,68,425,296
35,244,68,423,295
36,243,69,423,295
37,243,69,422,295
38,244,69,423,295
39,244,68,423,295
40,244,68,424,295
41,244,68,423,295
42,244,69,423,295
43,244,69,423,295
44,244,68,423,295
45,244,68,423,295
46,244,69,422,295
47,244,68,423,295
48,244,68,424,295
49,244,69,424,296
50,244,68,424,295
51,244,68,425,296
52,244,69,426,295
53,245,69,425,295
54,245,69,426,295
55,245,69,426,296
56,245,69,425,295
57,245,70,424,295
58,245,69,424,295
59,246,69,424,296
60,244,70,423,294
61,244,70,423,295
62,244,70,422,294
63,244,70,422,294
64,244,69,423,294
65,244,70,423,294
66,244,70,423,294
67,244,70,423,294
68,244,71,423,294
69,245,71,424,295
70,244,70,424,295
71,245,69,424,294
72,247,68,425,295
73,247,67,425,295
74,247,68,424,295
75,247,68,424,295
76,247,68,424,295
77,246,69,425,295
78,247,69,425,295
79,246,68,425,295
80,247,68,425,295
81,246,68,425,295
82,246,67,425,295
83,246,67,425,295
84,245,68,425,296
85,246,68,425,295
86,246,67,426,296
87,245,66,425,296
88,245,67,424,296
89,245,67,426,296
90,245,67,425,296
91,245,67,426,297
92,245,67,426,297
93,245,68,425,296
94,245,68,425,296
95,246,67,425,297
96,246,67,425,296
97,245,67,425,295
98,245,68,425,295
99,245,68,425,295
100,246,68,425,295
101,246,67,425,296
102,246,67,426,296
103,246,68,425,296
104,245,68,424,295
105,246,67,424,295
106,246,67,424,296
107,246,67,425,297
108,245,67,424,296
109,245,67,424,295
110,245,67,424,296
111,245,67,424,295
112,245,67,424,296
113,245,67,425,296
114,245,67,424,295
115,245,67,424,295
116,245,67,424,296
117,245,67,425,296
118,245,67,425,296
119,245,67,425,296
120,245,67,425,296
121,245,67,425,296
122,245,67,425,296
123,245,67,425,296
124,245,67,425,296
125,245,67,425,296
126,246,66,425,296
127,246,66,425,296
128,246,66,425,296
129,246,67,425,296
130,246,67,425,296
131,245,67,425,296
132,245,67,424,295
133,245,68,424,295
134,245,68,424,295
135,245,67,423,295
136,244,68,424,295
137,244,67,424,295
138,245,67,424,295
139,245,67,424,295
140,244,67,423,295
141,244,67,423,295
142,245,67,423,295
143,245,67,424,296
144,247,67,424,296
145,247,66,425,296
146,247,66,425,296
147,246,67,425,295
148,246,67,425,295
149,246,67,425,295
150,246,67,425,296
151,247,66,424,296
152,247,66,424,296
153,247,66,424,297
154,246,67,424,297
155,246,66,423,298
156,247,66,424,301
157,246,67,424,303
158,246,66,425,304
159,246,67,425,306
160,245,66,425,308
161,245,67,424,309
162,246,67,424,311
163,246,68,424,313
164,247,67,423,315
165,249,65,423,316
166,250,65,423,317
167,251,64,422,318
168,250,65,425,322
169,250,65,422,321
170,251,66,422,323
171,249,67,423,323
172,250,67,422,324
173,250,67,422,325
174,250,66,422,326
175,250,67,422,325
176,251,67,424,326
177,249,67,424,330
