frame,sx,sy,ex,ey
0,272,124,476,366
1,273,125,477,364
2,272,124,478,365
3,273,124,478,366
4,272,124,478,365
5,272,122,478,365
6,273,123,477,365
7,274,123,477,366
8,274,122,477,365
9,272,122,477,365
10,273,125,477,365
11,274,124,478,366
12,275,122,478,364
13,278,122,477,362
14,277,119,476,363
15,277,117,474,366
16,277,118,475,364
17,274,120,474,364
18,271,119,474,366
19,271,119,475,367
20,270,121,474,366
21,269,120,473,368
22,270,122,472,368
23,269,121,472,367
24,270,121,471,365
25,272,120,474,367
26,274,121,473,368
27,272,118,474,367
28,274,118,474,368
29,274,118,476,368
30,274,116,476,365
31,274,116,476,366
32,274,117,476,366
33,275,116,477,366
34,274,117,477,365
35,275,117,477,364
36,275,117,478,365
37,274,116,478,363
38,273,116,478,362
39,274,116,477,363
40,275,119,476,363
41,273,119,477,362
42,274,118,476,363
43,273,118,476,363
44,274,118,476,363
45,273,119,476,363
46,273,118,476,364
47,273,121,477,364
48,276,122,477,362
49,275,122,478,362
50,275,121,478,362
51,275,121,478,363
52,276,123,478,364
53,275,123,477,365
54,275,124,476,366
55,277,126,474,364
56,277,126,473,364
57,278,125,473,365
58,278,125,473,364
59,276,125,475,362
60,275,124,475,365
61,275,123,476,364
62,275,123,477,365
63,275,120,478,367
64,275,120,478,366
65,275,119,478,367
66,275,120,478,367
67,275,121,478,368
68,275,121,478,369
69,274,119,478,369
70,274,118,479,368
71,274,118,478,366
72,274,117,476,364
73,274,117,476,364
74,274,117,476,365
75,275,118,476,365
76,274,119,477,365
77,275,119,477,366
78,274,119,476,369
79,273,120,477,370
80,275,120,476,373
81,275,122,478,372
82,275,122,478,371
83,274,120,478,370
84,274,122,477,371
85,273,121,477,373
86,274,122,477,372
87,273,121,477,372
88,273,122,477,372
89,273,121,477,371
90,273,122,478,371
91,273,122,477,372
92,273,123,477,371
93,273,122,477,371
94,273,122,478,371
95,273,122,477,372
96,272,121,477,373
97,273,122,477,372
98,273,122,477,371
99,273,123,477,371
100,274,123,478,371
101,273,122,477,372
102,273,121,477,371
103,274,121,478,371
104,275,120,477,372
105,275,121,478,371
106,274,121,477,372
107,274,121,478,370
108,275,122,478,369
109,275,124,478,368
110,275,123,477,369
111,274,121,478,370
112,274,119,475,370
113,274,118,474,371
114,274,117,475,371
115,273,117,475,371
116,272,116,475,372
117,273,117,475,372
118,273,118,474,372
119,273,120,475,371
120,274,120,476,371
121,274,122,475,371
122,275,122,475,369
123,275,122,475,368
124,276,122,475,368
125,275,121,474,368
126,275,121,473,369
127,275,121,473,369
128,274,121,474,370
129,275,122,475,371
130,274,122,475,371
131,274,122,476,370
132,273,122,476,370
133,273,122,475,372
134,274,121,475,372
135,275,121,475,373
136,275,121,477,373
137,274,120,477,373
138,274,120,477,373
139,273,120,476,374
140,273,122,476,374
141,273,121,477,374
142,272,121,477,374
143,274,122,477,374
144,277,122,477,371
145,276,121,478,372
146,275,121,478,372
147,275,120,478,372
148,276,120,478,372
149,277,119,479,372
