frame,sx,sy,ex,ey
0,212,118,384,361
1,211,116,385,360
2,210,116,384,360
3,210,117,384,361
4,211,117,385,361
5,210,117,386,361
6,210,117,386,361
7,211,116,387,362
8,210,116,386,363
9,209,116,385,363
10,208,116,386,364
11,210,117,387,364
12,209,118,387,365
13,209,117,386,365
14,210,117,387,366
15,209,118,388,367
16,209,118,389,368
17,209,119,389,367
18,209,120,389,367
19,208,120,389,367
20,209,121,389,368
21,210,122,388,367
22,210,122,388,367
23,211,122,388,368
24,213,123,387,368
25,213,122,388,368
26,213,121,388,367
27,213,123,388,368
28,213,121,389,367
29,211,127,389,367
30,211,132,390,366
31,216,133,390,367
32,217,129,390,367
33,218,143,389,368
34,218,136,391,369
35,221,132,391,368
36,216,125,389,370
37,215,123,390,369
38,213,124,390,369
39,215,124,391,369
40,214,125,390,369
41,214,124,390,369
42,214,125,390,370
43,213,125,391,371
44,213,125,390,370
45,212,125,391,371
46,214,126,391,371
47,213,125,392,372
48,210,124,391,373
49,211,124,390,373
50,212,125,390,374
51,212,124,389,375
52,212,124,391,376
53,213,125,391,376
54,213,125,391,377
55,213,126,390,379
56,212,125,390,381
57,211,127,389,383
58,212,127,389,383
59,213,127,391,382
60,216,129,392,383
61,215,130,390,383
62,216,129,391,383
63,214,128,391,382
64,214,130,391,381
65,214,130,392,382
66,215,129,392,382
67,216,129,392,381
68,215,129,392,382
69,217,130,390,383
70,217,130,389,385
71,217,130,390,385
72,219,133,391,383
73,220,131,393,381
74,220,128,395,382
75,218,126,395,383
76,220,128,396,384
77,220,128,396,387
78,219,132,395,387
79,221,131,399,386
80,220,129,400,387
81,222,128,399,387
82,229,132,399,386
83,229,132,402,386
84,236,135,402,385
85,238,137,403,383
86,236,136,405,383
87,240,135,405,383
88,238,137,405,384
89,235,135,408,385
90,237,139,406,383
91,237,137,407,384
92,239,138,408,385
93,237,135,408,383
94,236,136,409,381
95,236,136,410,379
96,235,133,406,379
97,234,131,402,382
98,230,131,397,379
99,225,132,399,378
100,223,131,399,378
101,222,131,392,378
102,217,133,393,379
103,216,134,392,379
104,209,134,396,378
105,203,132,393,379
106,198,130,392,382
107,192,128,384,383
108,188,126,382,381
109,190,123,381,379
110,190,123,381,378
111,190,123,380,378
112,189,122,379,378
113,189,122,379,378
114,188,122,379,379
115,188,122,379,380
116,188,122,379,381
117,188,122,379,380
118,187,127,379,380
119,190,123,380,379
120,191,122,380,380
121,196,123,381,379
122,200,122,385,380
123,202,123,387,379
124,206,124,390,380
125,211,125,390,377
126,213,129,388,377
127,214,132,389,374
128,220,136,388,372
129,216,133,390,373
130,218,132,388,372
131,221,132,389,371
132,222,135,388,372
133,221,134,388,373
134,223,131,390,374
135,224,132,386,376
136,223,131,387,376
137,222,133,387,376
138,222,130,390,376
139,223,130,390,377
140,223,128,392,377
141,223,128,389,377
142,222,127,388,377
143,219,126,389,377
144,218,122,388,378
145,217,123,389,377
146,216,122,388,376
147,217,123,388,375
148,215,123,387,376
149,215,120,389,375
150,213,120,388,375
151,214,120,388,375
152,215,119,388,375
153,215,120,387,375
154,215,120,388,374
155,213,119,388,374
156,210,120,389,372
157,209,120,390,373
158,210,120,390,374
159,211,121,389,375
160,213,121,389,376
161,213,122,389,377
162,213,122,390,377
163,213,122,390,377
164,213,122,391,376
165,213,123,391,375
166,213,122,391,376
167,214,123,391,375
168,216,124,389,374
169,217,124,389,374
170,216,124,389,374
171,215,124,389,374
172,215,125,389,373
173,214,125,389,373
174,213,125,389,373
175,213,125,389,371
176,212,124,390,371
177,213,125,389,372
178,214,125,389,375
179,215,125,388,379
180,215,124,390,381
181,216,124,388,384
182,214,126,388,381
183,213,124,390,379
184,213,126,392,377
185,215,128,391,377
186,216,129,391,377
187,216,127,393,376
188,217,128,393,376
189,214,126,393,375
190,213,127,392,374
191,213,126,393,373
192,219,129,391,371
193,219,127,391,371
194,219,128,391,370
195,217,128,390,370
196,216,128,391,373
197,217,128,392,374
198,218,128,392,374
199,217,129,392,374
200,218,130,391,375
201,217,128,391,375
202,216,128,391,374
203,217,128,392,374
204,217,128,391,373
205,216,128,390,373
206,216,128,391,374
207,215,129,391,373
208,215,130,390,373
209,216,128,390,373
210,217,129,390,375
211,216,128,391,377
212,216,127,393,377
213,217,129,393,375
214,218,130,392,373
215,221,132,392,373
216,222,131,391,376
217,222,129,396,378
218,227,133,392,378
219,228,131,392,379
220,230,132,393,379
221,233,131,396,380
222,236,132,398,379
223,236,132,397,380
224,234,131,397,379
225,233,133,397,380
226,232,131,396,381
227,228,128,397,379
228,220,129,395,378
229,223,129,392,377
230,220,129,393,376
231,217,130,394,376
232,216,131,393,376
233,214,131,392,376
234,214,129,390,376
235,214,127,389,376
236,212,126,388,376
237,212,126,389,377
238,213,126,388,377
239,212,125,389,377
240,211,124,390,376
241,210,122,390,376
242,211,123,390,377
243,211,123,389,378
244,211,122,389,378
245,212,122,389,377
246,210,122,390,375
247,210,122,391,374
248,213,124,389,373
249,213,125,389,373
250,214,124,389,372
251,213,125,389,371
252,210,122,388,371
253,212,121,386,371
254,211,120,387,371
255,210,119,387,371
256,209,119,388,370
257,209,118,387,370
258,208,117,388,368
259,207,117,388,369
260,208,117,386,369
261,207,116,386,369
262,207,116,387,368
263,207,118,386,367
264,207,116,385,367
265,207,116,385,367
266,207,116,385,367
267,206,116,386,367
268,207,116,386,367
269,207,116,386,367
270,207,116,386,367
271,207,117,385,367
272,207,118,385,367
273,207,118,384,368
274,207,118,385,369
275,208,118,386,368
276,209,118,384,369
277,209,118,385,370
278,207,118,386,370
279,209,118,387,371
280,210,119,387,374
281,211,119,388,374
282,214,120,388,376
283,216,123,387,376
284,215,123,389,377
285,215,122,390,378
286,214,121,391,379
287,216,122,390,379
288,215,121,393,380
289,214,121,394,381
290,215,122,394,381
291,213,121,394,381
292,213,124,393,385
293,212,125,392,386
294,212,126,391,386
295,212,126,391,387
296,212,126,391,388
297,212,123,391,388
298,210,120,391,389
299,209,119,390,386
300,210,121,389,387
301,210,118,388,386
302,208,117,388,385
303,208,117,385,385
304,207,116,386,389
305,209,116,386,391
306,209,115,385,391
307,209,115,385,392
308,211,116,385,394
309,212,115,386,394
310,213,115,384,393
311,214,115,383,390
312,216,115,385,389
313,217,115,385,388
314,218,114,385,388
315,217,115,384,388
316,216,115,383,388
317,216,112,385,387
318,219,113,383,388
319,217,113,385,388
320,216,113,382,388
321,217,112,382,387
322,217,110,381,385
323,216,110,381,381
324,215,112,382,383
325,215,111,382,383
326,213,110,383,383
327,214,110,383,382
328,214,111,382,383
329,214,110,383,383
330,214,109,383,382
331,215,110,383,381
332,215,110,383,380
333,214,110,383,378
334,215,110,383,379
335,215,110,384,380
336,216,109,382,378
337,216,108,382,382
338,216,108,382,382
339,216,108,382,382
340,215,108,382,381
341,215,108,382,380
342,215,108,382,380
343,215,108,382,381
344,216,108,382,381
345,217,109,382,381
346,218,111,382,383
347,217,111,382,383
348,218,111,383,381
349,217,112,384,381
350,217,112,384,381
351,217,112,383,382
352,217,112,384,382
353,216,111,384,382
354,217,113,384,382
355,216,112,383,381
356,215,112,384,381
357,214,112,384,383
358,215,112,385,382
359,216,111,385,382
360,219,112,385,383
361,219,111,386,382
362,217,110,385,382
363,216,110,386,382
364,216,110,386,383
365,217,110,386,383
366,217,110,386,382
367,217,110,385,383
368,217,110,386,383
369,216,110,387,384
370,217,111,386,385
371,218,111,386,384
372,217,112,385,385
373,217,111,385,385
374,218,111,385,385
375,217,111,385,386
376,216,110,386,387
377,216,110,385,385
378,216,111,385,385
379,216,111,386,386
380,216,111,386,384
381,217,111,385,385
382,216,111,386,383
383,216,111,386,380
384,220,111,386,383
385,220,111,387,383
386,221,112,385,384
387,220,111,385,384
388,220,112,385,383
389,221,113,386,383
390,221,113,385,383
391,221,112,386,383
392,221,111,387,383
393,222,112,387,382
394,221,112,387,383
395,220,113,387,382
396,220,114,386,382
397,219,113,386,381
398,220,113,385,381
399,219,113,385,381
400,220,113,385,382
401,219,112,385,381
402,218,112,385,382
403,218,112,385,383
404,218,112,385,382
405,219,112,385,382
406,219,113,385,382
407,218,112,386,383
408,219,111,387,385
409,219,111,387,384
410,219,110,388,384
411,219,111,388,387
412,219,112,388,387
413,219,111,388,388
414,220,112,389,387
415,219,111,390,389
416,221,112,389,389
417,221,112,390,389
418,220,113,389,390
419,220,114,389,389
420,221,117,388,389
421,221,114,389,388
422,222,115,390,388
423,223,114,390,389
424,222,113,391,390
425,222,114,390,390
426,222,115,390,390
427,222,115,389,390
428,223,116,389,390
429,222,115,390,389
430,221,115,389,390
431,221,113,390,391
432,223,112,390,390
433,223,112,390,390
434,222,112,390,390
435,222,112,390,390
436,222,112,390,391
437,221,112,390,392
438,220,113,390,392
439,220,114,390,391
440,219,113,389,391
441,219,113,389,392
442,219,113,389,393
443,220,114,386,391
444,222,115,388,391
445,220,115,388,390
446,220,114,388,390
447,220,114,389,391
448,220,114,389,391
449,219,115,389,391
450,220,115,388,392
451,220,115,388,392
452,221,115,388,391
453,220,115,388,390
454,219,114,388,390
455,221,116,388,389
456,220,117,388,390
457,219,116,388,390
458,218,115,388,390
459,217,115,388,390
460,219,115,388,391
461,218,115,388,392
462,220,115,389,391
463,217,115,390,391
464,216,115,389,389
465,216,115,389,388
466,214,115,389,387
467,214,115,389,386
468,216,116,389,385
469,214,114,389,386
470,213,113,388,384
471,215,114,388,382
472,214,114,389,381
473,214,115,389,380
474,215,116,387,379
475,214,116,387,377
476,215,117,387,376
477,214,116,386,374
478,213,116,385,373
479,213,116,384,372
480,213,118,383,370
481,211,118,385,371
482,210,118,384,370
483,210,118,385,370
484,210,118,386,370
485,210,120,385,370
486,211,119,386,370
487,209,119,385,370
488,211,119,384,371
489,211,120,384,370
490,211,121,381,371
491,211,123,382,371
492,211,123,382,370
493,210,124,383,371
494,211,124,382,371
495,211,123,386,371
496,210,125,386,372
497,209,124,386,373
498,209,124,388,372
