frame,sx,sy,ex,ey
0,319,102,513,362
1,323,109,512,365
2,322,111,513,366
3,318,113,514,367
4,319,112,512,367
5,319,111,509,367
6,319,109,506,365
7,315,108,505,363
8,313,105,502,356
9,312,104,503,355
10,312,104,501,353
11,309,105,501,352
12,308,105,500,353
13,308,104,499,353
14,308,103,498,352
15,308,103,498,350
16,307,104,497,349
17,307,103,497,349
18,307,101,499,350
19,307,101,498,350
20,306,101,498,350
21,305,102,496,348
22,304,101,495,347
23,304,101,495,345
24,305,100,493,343
25,304,99,493,341
26,304,99,494,340
27,305,99,494,339
28,306,98,494,339
29,305,99,493,340
30,305,99,492,340
31,306,100,494,339
32,306,100,495,338
33,306,100,495,336
34,307,100,496,337
35,309,100,497,336
36,309,100,499,336
37,309,99,502,337
38,310,99,503,336
39,310,99,504,336
40,310,99,504,337
41,311,100,505,337
42,311,100,506,339
43,313,101,505,339
44,311,102,504,340
45,311,103,505,342
46,311,104,505,342
47,314,106,505,346
48,315,108,507,347
49,314,107,508,352
50,314,110,510,355
51,313,110,512,357
52,315,111,513,357
53,316,112,515,357
54,318,112,517,357
55,318,111,518,358
56,320,109,518,358
57,322,106,521,359
58,323,105,524,357
59,323,104,524,355
60,322,102,523,356
61,323,104,524,355
62,327,104,525,351
63,329,105,527,355
64,329,103,530,360
65,334,105,531,359
66,341,107,532,357
67,344,109,535,360
68,346,108,538,360
69,350,110,542,359
70,351,111,544,359
71,349,109,546,358
72,349,108,547,355
73,349,108,546,352
74,348,107,546,353
75,348,106,546,353
76,347,107,545,352
77,348,106,545,351
78,348,105,544,349
79,348,104,543,352
80,348,102,543,351
81,346,102,542,350
82,347,102,539,348
83,344,102,538,349
84,340,104,535,349
85,341,101,534,348
86,340,101,534,351
87,338,101,530,352
88,335,98,529,354
89,331,99,527,357
90,327,101,526,356
91,323,101,526,359
92,317,98,525,365
93,316,97,523,363
94,317,97,522,362
95,314,96,517,366
96,316,97,516,365
97,313,95,513,367
98,309,96,511,366
99,308,96,505,362
100,304,96,499,361
101,301,97,499,360
102,300,97,498,357
103,299,98,495,354
104,298,99,493,349
105,297,100,493,345
106,297,101,494,343
107,298,101,494,344
108,299,103,495,342
109,300,104,495,342
110,300,104,497,343
111,300,104,499,345
112,304,106,498,346
