frame,sx,sy,ex,ey
0,282,132,466,354
1,282,133,465,354
2,283,133,465,354
3,283,133,465,354
4,283,133,465,354
5,284,133,466,354
6,283,133,466,355
7,284,133,466,355
8,284,133,466,355
9,284,132,467,356
10,285,132,467,356
11,284,132,466,356
12,284,132,466,357
13,285,131,466,356
14,284,131,467,357
15,284,130,466,358
16,284,130,466,358
17,284,130,466,358
18,284,130,466,358
19,284,130,466,359
20,284,130,466,359
21,284,130,466,359
22,284,130,466,359
23,285,131,467,359
24,286,131,467,359
25,285,131,467,358
26,285,130,467,358
27,285,130,467,358
28,286,130,467,358
29,286,130,467,358
30,285,130,467,358
31,285,130,467,358
32,285,130,467,358
33,286,130,467,357
34,286,131,467,357
35,286,131,467,358
36,285,131,468,359
37,285,131,467,359
38,285,132,467,358
39,285,132,467,358
40,285,131,467,359
41,285,131,467,359
42,285,132,467,358
43,285,132,467,358
44,285,132,467,358
45,286,132,467,358
46,285,131,467,358
47,285,131,467,359
48,286,130,467,358
49,286,130,467,359
50,286,130,466,359
51,287,130,467,359
52,285,130,466,359
53,285,130,466,360
54,285,130,466,360
55,285,130,466,359
56,285,130,467,359
57,285,130,467,358
58,285,130,467,358
59,285,131,467,359
60,286,130,467,359
61,286,130,467,360
62,286,129,467,359
63,286,129,467,359
64,286,130,466,359
65,286,130,466,359
66,286,130,466,359
67,286,130,466,359
68,286,129,466,360
69,286,129,466,360
70,286,129,466,359
71,285,128,467,359
72,286,129,467,358
73,287,128,467,359
74,287,128,467,358
75,287,128,468,358
76,286,128,468,357
77,287,129,468,357
78,286,130,468,357
79,286,129,467,358
80,286,130,467,357
81,287,130,467,357
82,286,130,467,357
83,287,129,467,358
84,286,130,467,357
85,286,129,467,358
86,286,129,467,358
87,286,129,467,357
88,285,129,468,357
89,285,128,467,358
90,284,128,467,358
91,284,127,467,357
92,284,128,467,358
93,284,128,466,357
94,283,128,466,357
95,283,127,466,357
96,282,127,466,357
97,282,127,466,357
98,282,126,466,357
99,282,126,466,357
100,282,127,466,357
101,282,126,466,357
102,283,126,466,357
103,282,126,466,358
104,283,126,466,358
105,283,127,467,358
106,283,127,467,358
107,283,126,467,360
108,283,126,467,360
109,283,127,467,356
110,283,126,467,357
111,283,127,466,358
112,283,127,466,359
113,283,125,466,359
114,284,125,466,358
115,284,126,465,359
116,285,125,465,361
117,286,124,465,363
118,286,123,466,364
119,287,123,466,365
120,286,121,467,362
121,287,119,466,363
122,287,118,467,365
123,288,119,467,365
124,287,119,467,361
125,288,118,466,359
126,288,119,467,357
127,288,118,467,357
128,288,117,468,357
129,288,117,468,356
130,287,116,467,355
131,286,116,467,351
132,285,114,467,351
133,285,113,467,350
134,285,112,467,350
135,285,112,467,352
136,286,114,468,349
137,287,114,467,350
138,287,111,467,350
139,287,111,466,349
140,288,112,465,347
141,288,112,465,348
142,289,110,465,347
