frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,0,0,0,00,0,0,0,0,0,0,0,0,0
1,0,0,0,00,0,0,0,0,0,0,0,0,0
2,94,59,280,285,161.771,137.898,248.438,135.385,228.847,185.27,171.857,236.969,249.108,232.675
3,94,59,280,285,161.771,137.898,248.438,135.385,228.847,185.27,171.857,236.969,249.108,232.675
4,93,49,275,287,165.221,135.102,246.381,134.362,227.732,187.34,171.547,233.555,244.251,231.519
5,91,64,274,288,163.854,134.427,245.548,140.264,227.789,185.384,162.329,232.869,238.526,235.31
6,90,56,282,299,159.718,129.411,249.807,129.639,235.539,180.55,163.671,240.517,245.912,238.259
7,90,55,281,289,163.276,129.187,252.137,127.213,241.201,178.743,167.056,236.001,251.234,231.247
8,100,58,285,289,164.377,133.604,252.324,136.2,232.538,191.916,164.232,239.465,244.829,239.442
9,99,53,285,288,165.028,132.9,252.888,136.566,232.369,190.865,163.791,240.349,243.86,241.192
10,96,55,284,288,165.627,134.866,252.007,136.11,231.2,188.269,167.06,238.823,244.556,238.193
11,97,60,280,296,164.085,142.528,250.353,144.984,233.354,202.081,158.861,245.629,243.8,245.524
12,98,59,287,284,160.575,133.545,252.164,132.683,227.137,182.124,167.605,236.641,245.764,233.943
13,97,61,290,288,147.366,134.665,245.739,129.558,216.319,186.372,158.41,238.987,244.364,233.134
14,86,53,283,308,156.207,143.519,243.998,144.66,230.38,202.883,154.163,251.579,240.382,250.247
15,90,52,284,298,152.72,138.908,245.923,140.191,221.76,196.671,153.217,247.322,240.946,246.544
16,96,57,289,295,153.804,132.773,245.519,131.499,222.191,185.626,160.054,239.117,242.407,236.201
17,92,53,280,289,164.958,138.834,248.197,139.659,226.203,191.133,170.141,236.273,242.935,235.505
18,91,46,284,290,165.703,135.51,247.051,134.911,228.033,188.896,172.566,232.705,246.736,230.856
19,93,51,282,289,166.146,138.601,248.488,137.213,228.782,189.381,173.869,235.795,247.027,233.286
20,94,50,282,289,165.228,136.997,247.012,135.891,227.957,189.92,171.44,234.143,245.788,231.922
21,93,56,279,288,160.049,137.889,244.096,133.283,221.585,189.306,171.986,236.908,245.616,231.406
22,92,53,280,287,159.962,137.797,242.878,133.124,221.428,187.534,171.281,233.111,246.035,227.878
