frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,207,72,431,359,303.057,172.376,396.271,176.317,379.507,236.743,305.762,289.637,383.416,290.124
1,204,70,422,364,308.71,173.646,396.815,178.105,380.69,236.523,304.422,291.164,383.071,292.728
2,205,72,419,354,312.769,172.282,398.716,173.457,386.951,238.645,310.238,288.104,386.217,286.726
3,200,75,420,359,309.856,174.687,398.047,179.451,386.251,247.312,307.909,293.986,381.12,295.337
4,206,77,415,356,306.185,175.336,394.818,180.982,377.237,239.554,301.158,289.568,379.467,291.984
5,209,86,411,351,313.921,175.503,397.589,189.262,381.407,236.101,301.671,284.158,373.184,292.688
6,213,94,411,349,311.181,176.672,397.674,189.074,376.85,234.761,304.492,285.415,371.353,292.901
7,208,88,419,358,308.801,180.378,395.58,194.048,376.43,247.95,297.919,288.006,370.767,296.972
8,203,82,419,355,304.324,178.239,392.256,180.297,378.144,237.785,303.043,289.013,377.307,287.782
9,212,93,414,353,311.768,180.708,395.458,186.311,381.98,238.917,309.536,288.599,379.353,290.713
10,211,90,407,350,304.587,182.204,387.618,184.612,374.362,242.103,309.606,290.997,372.368,289.862
11,213,91,410,352,306.869,182.442,394.312,181.899,381.39,241.222,313.259,295.545,382.444,292.041
12,218,78,436,367,306.112,187.221,393.898,191.041,379.906,249.969,306.024,293.857,380.576,294.217
13,217,78,434,368,307.701,186.65,394.629,193.353,381.53,252.952,305.38,295.725,376.729,298.446
14,207,84,417,359,303.534,185.297,389.959,179.493,380.396,244.118,310.829,296.524,383.718,289.124
15,209,93,418,367,307.003,187.507,396.313,192.851,380.139,258.529,303.927,303.199,381.658,305.008
16,202,92,412,363,308.041,185.384,396.616,196.039,380.906,249.365,301.352,299.526,374.455,305.094
17,204,93,416,359,307.682,181.343,395.98,184.583,382.112,239.714,306.308,292.735,377.828,292.448
18,214,97,415,359,306.982,187.564,395.021,195.616,375.87,251.662,302.55,297.589,374.362,301.781
19,205,94,419,364,310.854,185.272,398.254,195.034,381.694,252.601,302.663,296.029,374.971,301.827
20,216,91,432,368,309.263,188.428,397.848,202.242,375.123,254.212,297.57,296.98,371.04,306.224
21,208,90,423,372,309.044,189.601,396.299,199.333,380.133,259.675,301.862,303.862,377.689,309.539
22,210,97,410,365,313.045,194.001,395.102,201.755,384.469,256.395,309.566,302.806,375.271,305.963
23,208,88,409,366,314.934,190.984,398.561,199.645,389.946,258.484,309.779,301.204,374.305,305.056
24,200,85,427,380,299.611,191.546,397.628,201.426,372.235,260.857,295.308,310.658,378.86,316.375
25,206,96,426,383,307.28,195.833,405.915,213.97,378.88,265.741,295.796,314.478,378.739,326.69
