frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,217,127,381,337,284.955,196.869,371.934,207.166,339.508,248.07,271.815,292.122,354.191,299.257
1,216,130,382,347,282.603,201.071,367.578,207.68,339.433,250.698,275.442,297.932,352.217,301.448
2,196,129,389,362,284.879,209.81,368.129,210.474,349.817,260.516,282.031,294.261,360.628,293.445
3,199,131,390,361,283.032,206.664,367.189,209.903,343.955,260.454,273.171,291.705,357.238,293.469
4,212,124,387,350,283.285,201.167,369.142,207.82,342.248,249.398,275.471,296.173,353.145,299.815
5,218,122,395,355,284.115,203.088,366.895,208.678,342.243,250.186,277.518,294.92,352.847,298.025
6,198,135,388,362,284.588,207.654,369.699,206.125,350.436,258.896,282.293,295.473,363.678,292.536
7,209,137,387,354,285.367,205.562,370.343,206.566,348.801,252.731,282.656,296.514,359.59,295.888
8,216,137,382,345,282.556,205.38,369.763,210.211,341.252,250.427,277.13,305.453,357.983,307.071
9,204,138,388,359,284.093,204.805,369.214,209.333,344.482,259.202,275.969,293.765,359.392,296.282
10,203,137,387,359,287.435,207.752,366.723,212.926,347.347,260.66,277.371,292.254,356.018,295.209
11,218,124,387,340,290.829,199.265,374.216,212.597,345.447,248.75,272.636,286.959,353.499,296.73
12,217,119,391,349,285.464,200.58,371.559,213.708,338.784,250.908,267.313,291.698,350.062,302.081
13,217,125,391,351,284.709,203.044,367.996,213.54,341.265,252.589,271.323,292.418,349.447,300.181
14,218,121,389,344,285.836,201.327,369.675,214.056,340.906,253.365,268.486,290.68,349.009,300.589
15,216,126,387,349,288.423,204.328,371.144,214.295,348.008,252.535,276.529,295.31,353.212,302.233
16,216,123,394,359,287.178,204.08,369.128,213.617,345.617,254.584,276.867,296.498,352.22,303.063
17,218,118,393,351,287.375,202.364,371.242,215.418,341.912,254.016,270.203,292.639,350.627,302.763
18,216,122,387,343,285.062,201.359,369.127,212.331,342.629,250.719,269.445,291.676,349.841,299.789
19,215,122,388,350,286.369,203.646,370.849,213.775,345.228,251.648,272.37,295.665,351.707,302.847
20,219,121,389,350,288.059,202.539,372.237,214.679,343.602,252.691,271.23,295.127,352.033,304.395
21,216,125,388,349,285.419,203.523,369.138,214.031,342.114,251.859,271.429,294.574,349.545,302.351
22,216,124,387,350,288.712,204.096,371.098,214.015,348.505,252.414,277.094,296.235,352.748,302.998
23,218,123,388,344,287.098,202.704,370.055,213.38,344.472,250.08,271.612,292.589,351.047,300.399
24,213,124,389,352,285.205,203.467,371.46,212.869,345.391,252.095,272.059,296.707,355.386,303.372
25,214,126,389,352,286.407,204.849,372.347,214.364,346.927,255.144,273.081,297.639,357.91,304.318
26,212,122,391,354,282.597,202.785,368.879,212.437,342.101,252.304,269.983,296.232,352.542,303.295
27,215,122,390,353,284.09,203.123,370.355,214.008,342.166,256.657,270.766,295.912,356.972,303.801
28,215,121,391,351,284.435,203.331,369.743,213.624,341.652,252.411,269.864,294.366,352.412,301.964
29,201,137,390,363,287.55,209.199,370.049,214.676,347.972,262.43,275.496,293.59,358.756,296.904
30,214,121,391,351,281.583,202.688,367.545,211.892,340.706,255.187,268.102,294.949,352.612,301.741
31,216,122,391,350,290.734,201.138,374.047,213.524,347.555,250.188,277.808,292.554,354.938,301.27
32,219,123,388,340,290.952,200.432,374.265,213.975,347.413,252.342,274.229,289.894,353.25,299.959
33,216,119,390,351,291.976,200.462,374.147,211.221,352.018,248.575,280.691,293.314,356.545,300.615
34,215,116,399,358,288.464,202.171,371.645,209.376,348.524,250.046,278.876,292.633,359.497,296.922
35,214,115,396,353,290.082,197.719,373.24,207.103,351.175,248.001,279.099,291.56,357.924,297.703
