frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,147,104,318,316,201.488,175.338,281.755,173.023,256.796,221.994,201.721,256.152,285.119,253.33
1,145,102,323,320,197.38,177.092,283.33,170.572,256.834,221.312,205.451,259.559,292.764,253.195
2,144,109,315,322,199.329,174.838,281.72,169.647,254.526,218.185,201.849,257.547,288.191,252.533
3,144,98,323,320,193.805,171.102,281.182,171.248,247.383,219.414,193.229,256.373,283.469,255.854
4,135,93,310,310,185.812,163.072,276.376,163.434,238.093,214.198,186.244,250.201,277.637,250.119
5,138,97,323,321,172.798,173.163,262.164,165.979,219.458,218.827,177.152,257.739,267.353,251.857
6,128,84,316,316,165.398,166.94,255.616,162.464,213.7,216.916,171.071,253.132,259.034,249.495
7,125,81,315,324,155.258,167.516,247.181,155.726,204.178,217.941,167.397,260.63,255.414,250.915
8,125,92,314,331,157.66,166.671,246.073,160.651,196.736,213.754,159.724,257.682,250.131,253.115
9,121,93,311,331,154.935,167.164,242.477,163.465,190.012,215.013,154.4,257.695,244.391,254.976
10,122,78,309,323,149.511,160.458,234.566,159.48,181.668,218.242,151.943,253.645,232.622,253.28
11,119,94,304,330,148.046,168.623,229.903,163.565,174.886,212.32,153.092,257.199,231.242,253.912
12,114,86,310,335,145.386,166.657,229.667,168.327,167.296,211.551,146.092,259.059,220.77,261.75
13,117,90,306,334,142.192,172.475,226.22,168.701,168.338,218.28,147.083,264.523,220.918,262.413
14,118,90,307,329,145.345,165.589,229.399,165.063,162.456,215.353,145.7,256.719,220.983,257.42
15,111,83,307,340,140.02,170.391,225.36,165.804,167.007,218.221,147.397,264.709,224.461,261.693
16,110,98,303,334,141.074,173.369,222.304,171.735,164.551,218.895,143.464,258.29,224.8,258.025
17,121,95,311,338,150.07,171.977,236.061,172.771,173.176,220.389,152.175,267.813,226.839,269.817
18,119,94,306,334,145.419,168.811,229.345,170.159,167.296,217.303,147.146,261.471,218.497,263.584
19,108,92,298,335,137.748,174.361,219.919,168.983,165.62,217.429,145.772,262.743,222.346,259.264
20,115,90,288,321,143.404,164.271,226.424,162.449,175.133,222.653,144.882,258.309,222.766,256.544
21,110,87,299,334,139.314,170.566,219.381,167.486,163.934,215.143,146.495,260.864,217.492,259.373
22,114,95,303,333,143.107,170.727,224.359,169.759,165.619,216.647,146.464,260.674,220.957,261.212
23,116,106,309,339,136.975,175.817,222.423,167.831,163.182,221.329,146.614,266.051,228.655,259.849
24,106,91,301,341,137.852,171.953,221.353,167.221,162.003,219.365,144.699,263.96,222.705,260.772
25,113,90,304,335,143.378,169.544,226.408,170.156,167.071,215.469,142.79,260.321,220.316,262.343
