frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,206,77,415,349,312.234,179.646,395.324,171.908,392.151,237.848,314.526,287.246,386.341,278.427
1,202,77,414,350,315.601,178.425,397.267,166.955,398.035,231.928,322.086,289.948,390.676,277.909
2,206,78,412,350,309.657,178.531,388.613,166.845,391.284,231.383,317.613,284.868,386.744,272.041
3,203,82,411,350,307.44,181.348,389.452,165.559,392.606,234.085,321.967,294.391,390.445,278.08
4,201,78,414,350,306.616,180.017,391.376,165.054,392.04,231.222,321.0,293.734,391.518,278.227
5,204,73,406,345,294.133,173.508,390.223,163.586,379.98,241.259,304.553,297.964,383.854,287.163
6,196,65,407,352,290.252,174.655,389.28,157.193,383.432,234.695,312.859,300.979,391.845,283.897
7,210,76,400,344,291.491,177.805,392.447,164.327,376.646,242.011,312.639,303.592,391.257,289.875
8,204,75,403,349,296.526,176.349,396.732,160.081,384.639,236.477,318.311,303.449,400.489,287.054
9,204,78,399,346,291.016,172.36,388.892,160.439,370.762,236.057,306.515,297.884,385.191,285.899
10,203,77,403,351,291.08,175.383,393.081,159.103,379.946,236.733,312.683,305.129,397.194,288.973
11,199,80,412,354,296.912,180.402,388.999,163.312,382.371,233.858,315.86,294.807,389.539,277.883
12,203,69,405,347,294.883,179.795,391.63,166.317,385.249,239.709,313.647,304.836,389.833,291.124
13,200,83,410,352,296.995,180.554,387.935,163.233,381.317,233.131,315.979,292.864,388.614,275.742
14,198,72,412,354,304.951,176.979,395.32,168.689,389.562,232.33,313.179,288.053,386.283,278.412
15,199,79,413,352,298.505,178.645,390.76,160.218,384.837,230.821,317.988,294.153,393.226,275.945
16,205,78,412,353,314.078,178.048,396.54,165.665,396.825,231.135,324.75,287.552,394.183,274.434
17,199,77,411,355,307.856,176.035,393.837,163.475,394.497,225.543,321.216,288.062,392.676,274.275
18,196,79,414,352,297.754,179.2,390.326,161.4,383.988,233.937,315.996,295.291,391.388,277.524
19,198,78,413,353,300.038,176.535,391.759,161.256,385.871,233.464,316.312,293.955,391.327,278.419
20,200,75,419,354,306.025,176.768,394.869,161.715,391.793,232.95,323.546,294.734,395.212,279.212
21,202,77,416,354,301.013,174.809,394.272,160.461,387.817,230.833,319.766,294.959,393.938,279.952
22,204,76,418,353,305.298,173.327,397.156,159.825,392.954,230.074,324.708,293.156,397.392,278.428
23,197,83,405,345,301.947,178.155,396.652,168.872,388.622,236.915,312.613,288.074,387.836,277.305
24,204,92,399,342,294.847,182.497,390.385,171.861,377.391,239.011,311.77,300.414,384.985,289.245
25,202,98,391,341,290.927,181.253,387.243,170.688,372.076,239.49,311.087,304.764,382.686,293.081
26,196,78,412,354,304.897,180.254,396.062,164.855,396.429,232.835,318.572,291.042,394.871,275.152
27,191,72,413,357,305.461,177.47,397.625,163.181,399.122,231.185,318.474,290.646,395.112,275.391
28,200,76,409,355,299.725,179.268,391.959,162.631,390.16,228.222,319.792,295.968,391.786,278.7
29,201,81,405,357,316.106,177.445,395.456,174.447,398.3,229.034,316.195,285.297,382.255,279.658
30,208,78,417,357,320.144,179.176,395.026,172.937,400.195,229.962,323.159,285.491,387.616,277.024
31,193,75,411,362,309.825,177.789,393.23,172.336,393.338,236.151,311.894,289.956,381.503,282.512
32,196,73,414,358,313.061,176.23,391.346,167.951,396.913,235.684,317.757,286.48,384.648,276.376
33,192,73,411,358,310.467,177.644,392.515,169.364,394.628,234.174,316.166,286.141,384.306,276.081
34,196,83,397,351,297.199,178.661,396.35,162.255,386.537,238.32,317.246,304.1,398.005,287.212
35,202,79,411,352,312.617,177.525,394.871,170.025,395.633,233.664,316.15,285.637,385.913,276.326
36,204,79,408,351,312.602,177.441,392.279,169.932,395.116,230.559,319.515,287.672,383.548,277.917
37,198,74,414,358,315.07,179.53,393.104,173.4,396.664,236.542,315.772,286.644,383.705,278.576
38,206,79,418,354,318.139,178.148,396.171,171.175,398.733,233.576,320.683,286.272,386.66,277.538
39,208,82,413,359,318.974,177.455,399.835,175.169,398.333,228.615,321.27,289.323,386.619,284.333
40,199,82,410,358,299.513,178.934,392.439,162.612,387.879,232.235,318.798,295.897,390.806,279.406
41,200,82,404,355,294.507,179.37,388.733,162.705,379.712,233.923,318.258,299.973,387.226,283.654
42,203,87,406,350,298.439,183.433,392.373,171.347,382.295,245.726,308.025,301.925,382.721,290.343
43,193,80,407,359,292.832,182.474,389.248,170.797,375.766,244.191,304.799,302.135,379.271,290.547
44,192,81,405,355,295.068,182.809,392.579,168.593,385.707,238.804,308.719,299.33,387.686,285.166
45,196,76,402,351,295.776,179.062,386.208,162.072,381.43,236.083,309.839,293.886,387.557,277.144
46,193,81,411,368,299.917,183.652,396.968,171.593,389.661,239.53,313.526,301.358,392.493,288.836
47,203,88,397,349,295.383,184.581,387.528,167.773,376.738,246.035,308.62,299.795,388.792,284.067
48,201,90,390,345,282.806,182.546,376.39,166.209,361.504,247.256,301.047,304.48,376.827,289.342
49,201,91,389,347,285.809,183.563,379.219,168.533,365.686,248.809,303.851,305.785,379.323,291.483
50,198,87,392,345,293.001,182.172,384.856,164.205,378.026,240.608,310.314,297.877,387.818,280.54
51,202,80,398,347,295.648,181.317,382.133,163.304,378.435,233.51,311.579,291.702,385.635,274.341
52,193,87,400,352,296.662,182.718,389.595,168.267,383.973,239.89,312.342,296.815,386.453,282.238
53,200,80,399,351,294.771,180.145,382.008,161.122,378.561,234.477,311.044,293.435,386.185,275.521
54,199,87,399,356,290.178,182.138,384.427,170.307,371.735,245.049,302.283,300.991,378.687,289.577
55,192,76,410,356,301.438,180.665,395.677,168.783,390.122,237.305,313.176,297.538,388.978,285.12
56,206,85,400,351,299.405,183.81,389.562,168.439,381.299,238.235,311.928,296.582,388.58,282.449
57,206,94,397,352,296.156,182.742,395.968,167.548,379.724,246.937,310.761,306.668,392.795,292.134
58,200,83,399,347,292.968,175.26,388.195,161.595,375.023,236.557,307.608,298.04,386.081,285.132
59,205,81,403,348,298.92,176.389,392.063,165.227,377.716,239.226,309.511,297.405,387.624,286.836
60,201,93,393,346,291.759,178.442,385.232,165.879,370.466,240.172,304.063,296.963,380.511,284.844
61,198,71,416,359,306.06,174.278,399.877,163.914,391.552,230.381,313.042,286.501,393.221,276.111
62,196,76,412,362,299.754,177.636,398.11,166.843,385.798,239.693,307.427,296.614,389.224,286.186
63,197,81,403,350,295.722,175.204,394.63,157.899,387.388,233.95,317.631,300.839,395.855,283.72
64,196,73,408,355,297.533,174.195,399.538,158.31,386.558,235.696,315.094,300.082,396.854,284.783
65,206,77,413,355,319.12,173.722,398.099,173.075,396.136,229.377,316.215,283.872,380.728,280.884
66,201,70,415,363,314.798,178.807,400.558,170.109,402.793,230.185,323.945,292.368,392.971,282.11
67,197,69,419,362,307.372,175.231,401.596,166.232,389.656,230.502,315.25,290.788,391.403,282.084
68,194,69,422,371,298.92,176.322,401.824,162.178,388.703,232.602,317.87,302.559,396.345,288.673
69,205,98,384,349,285.689,175.776,386.3,161.325,369.382,242.462,308.499,313.058,387.011,296.924
70,201,71,414,369,292.508,176.826,394.906,165.234,377.491,243.536,308.072,310.687,386.093,299.44
71,204,78,406,355,296.413,176.489,398.613,170.16,381.874,243.228,306.379,303.177,386.81,296.063
72,208,88,402,354,300.605,175.835,398.548,165.792,380.462,238.031,312.783,300.584,391.724,290.621
73,202,73,420,360,308.904,181.557,404.835,171.128,392.326,242.303,315.63,301.06,394.102,291.412
74,207,85,404,356,302.604,176.59,395.055,167.792,378.751,239.294,310.01,293.522,385.357,285.542
75,203,78,408,365,301.286,174.531,397.329,164.361,383.033,238.361,310.411,296.418,388.195,286.928
76,199,76,412,361,303.034,181.774,396.061,169.654,388.754,239.779,317.267,303.757,389.49,291.738
77,209,81,398,347,300.397,174.214,397.049,166.771,385.596,235.06,312.475,296.645,387.662,287.959
78,201,61,414,359,300.228,168.238,398.956,159.013,386.14,229.177,316.345,298.176,393.474,288.784
79,209,82,395,347,300.003,175.935,394.969,164.729,388.548,236.127,317.294,302.99,390.326,289.875
80,199,84,402,354,297.702,177.901,396.67,162.387,389.697,237.26,317.63,306.761,395.515,290.917
81,206,82,401,349,299.858,176.508,392.696,162.981,386.596,233.05,324.465,302.817,395.104,287.118
82,200,80,407,353,305.171,182.605,395.922,164.609,396.682,238.592,324.604,302.986,397.389,284.617
83,208,88,398,354,300.586,179.811,401.873,165.359,385.361,234.264,320.294,302.628,400.942,288.168
84,211,81,406,358,302.148,173.462,398.424,158.558,389.267,229.547,328.026,301.302,402.048,286.008
85,208,74,411,359,311.181,175.464,401.047,161.161,394.224,230.227,326.426,293.488,398.103,279.915
86,195,63,412,373,320.144,182.951,400.826,167.648,409.445,224.542,338.479,299.912,398.885,283.842
87,207,80,406,362,317.818,183.182,396.269,170.704,400.835,230.518,336.095,296.041,395.332,283.707
88,196,71,408,367,316.504,185.44,396.921,169.012,404.496,226.201,335.478,297.924,398.173,281.055
89,208,79,412,360,320.362,183.822,396.664,172.445,404.352,227.719,335.613,293.75,395.316,281.224
90,203,75,409,368,305.426,178.946,397.743,165.36,389.944,233.252,325.241,303.822,395.739,290.289
91,197,75,405,380,294.591,173.581,402.56,158.955,387.108,231.698,327.898,318.191,408.331,302.222
92,206,78,420,372,310.252,181.898,397.655,164.835,396.26,228.923,335.164,305.017,402.734,287.779
93,199,72,405,375,302.348,178.305,396.4,162.175,391.125,231.162,329.409,309.819,399.78,293.2
94,204,75,409,370,305.554,179.527,398.361,161.384,391.305,224.998,332.259,307.865,399.664,290.606
95,200,73,415,378,310.573,179.314,408.181,161.683,399.969,226.025,336.871,311.288,406.735,294.195
96,200,76,406,376,307.177,180.98,398.29,160.823,396.987,221.225,338.205,308.1,401.452,288.545
97,203,76,405,368,307.598,178.738,395.198,161.04,395.655,228.074,332.408,303.634,399.476,285.503
98,204,75,407,369,310.268,175.692,400.653,160.915,395.592,224.403,332.578,302.44,399.985,287.342
99,204,74,411,370,308.384,176.436,396.55,165.35,391.592,223.834,327.948,300.251,393.518,288.41
100,202,70,421,376,306.834,162.734,405.752,152.339,399.024,210.71,335.779,297.652,405.8,284.545
101,212,82,413,372,305.087,178.324,392.605,161.962,390.03,229.421,329.574,304.41,396.982,289.093
102,205,73,413,369,320.736,178.11,398.766,169.61,404.894,223.979,336.428,294.378,397.599,284.589
103,208,78,419,365,324.779,178.502,402.283,172.551,406.118,226.038,335.064,291.028,396.232,282.835
104,210,76,413,366,324.841,178.414,398.785,170.594,408.119,222.704,339.037,292.934,397.359,282.985
105,211,72,425,379,326.616,179.514,406.182,171.386,412.428,230.885,339.631,301.608,403.013,291.685
106,212,74,427,378,325.853,180.038,405.51,171.371,411.274,230.149,338.758,301.031,404.637,290.662
107,204,77,405,377,315.083,184.03,404.411,169.371,404.358,234.504,337.725,314.688,405.138,298.524
108,204,73,414,375,313.644,173.024,409.819,160.277,403.507,227.454,339.578,311.57,409.415,296.576
109,202,72,408,371,308.085,174.467,403.874,157.071,398.365,226.949,336.543,311.989,406.276,293.861
110,202,77,405,382,294.045,175.356,400.279,163.722,380.924,237.204,322.558,323.652,396.623,309.354
111,201,78,401,373,311.505,177.24,407.407,162.113,401.742,230.043,333.839,313.263,407.466,296.816
112,207,70,422,382,326.497,174.163,402.723,169.27,408.13,225.337,339.097,296.734,399.353,288.518
113,200,64,410,371,314.164,173.546,408.928,161.191,406.763,227.478,336.807,306.727,407.107,292.521
114,213,76,413,368,323.218,175.826,403.703,165.347,406.854,223.052,339.722,299.064,401.178,287.424
115,209,80,414,373,320.233,180.03,402.833,167.537,406.924,226.07,340.242,301.926,403.986,288.56
116,205,77,414,375,318.96,177.067,407.234,165.497,407.193,228.773,337.065,304.294,404.311,291.845
117,213,76,415,365,320.19,177.651,400.088,167.785,401.601,230.934,337.183,298.851,398.074,288.095
118,212,73,416,366,325.595,178.541,400.878,171.318,408.091,221.009,339.404,292.155,397.524,282.976
119,213,70,412,363,318.865,175.195,402.504,164.89,405.458,220.935,339.359,297.418,398.472,285.857
120,206,78,407,366,312.883,179.986,399.817,164.862,399.087,222.631,335.752,299.849,396.988,284.749
121,201,71,410,374,314.842,176.808,403.289,162.628,406.816,218.015,340.159,300.79,401.857,285.695
122,203,66,411,362,322.284,171.993,400.404,163.265,410.39,212.387,337.002,287.764,398.425,277.224
123,196,71,406,369,303.643,167.784,395.621,156.399,388.766,214.12,331.934,299.808,392.508,285.854
124,198,53,419,374,311.032,167.823,403.967,154.176,401.926,212.702,340.323,299.989,398.962,285.848
125,204,71,416,363,310.414,162.028,407.719,153.508,396.823,208.539,333.324,292.628,401.682,282.353
126,207,73,412,366,310.639,171.009,399.124,152.805,399.791,213.674,341.959,300.219,404.615,281.368
127,200,58,411,367,312.166,165.583,407.404,155.5,399.904,217.127,326.4,297.558,401.954,286.226
128,201,60,406,354,306.336,166.465,395.251,150.806,394.058,210.001,329.657,291.032,397.781,274.456
129,197,58,407,359,309.227,164.155,401.046,153.757,402.946,216.313,331.723,295.054,399.429,283.019
130,197,57,407,362,305.763,164.943,393.066,146.61,399.655,206.297,337.823,296.254,401.318,276.663
131,209,75,404,355,308.567,170.977,392.767,152.229,395.904,212.302,334.884,295.921,402.208,276.892
132,197,76,398,364,300.97,171.633,394.228,158.116,392.527,214.723,326.81,303.684,392.093,288.345
133,200,76,405,373,304.74,167.871,397.034,150.299,396.588,207.563,339.081,301.623,397.539,283.107
134,195,64,412,377,303.688,170.168,397.278,153.929,394.576,213.455,333.54,300.698,394.824,284.005
135,199,69,408,367,305.64,168.863,397.715,155.695,394.025,212.873,334.278,298.153,393.4,283.858
136,189,52,411,371,317.331,170.891,397.977,158.18,412.025,212.73,339.278,292.209,397.14,277.749
137,200,57,412,368,313.775,172.683,400.18,157.925,403.156,213.569,338.302,296.343,398.88,281.163
138,193,56,414,369,317.245,171.673,401.061,158.052,411.295,207.43,340.665,293.077,399.764,278.378
139,192,60,411,367,312.958,173.232,400.843,157.91,406.084,207.385,339.64,294.917,398.853,279.218
140,196,59,410,362,323.878,169.836,402.547,160.47,415.92,208.436,341.989,287.664,400.053,275.865
141,199,62,406,358,326.297,171.077,401.13,165.027,415.016,209.871,337.752,286.295,395.819,277.496
142,203,66,405,364,307.567,167.265,397.686,154.8,394.613,214.161,334.631,296.753,392.434,283.187
143,197,67,413,373,312.248,170.175,404.545,160.152,397.671,217.783,335.402,303.906,392.815,293.323
144,199,68,409,371,302.684,167.501,397.824,153.476,389.9,215.272,332.723,306.912,392.434,291.284
145,192,54,413,377,304.779,163.041,397.461,149.168,398.074,207.526,336.932,299.122,395.632,283.448
146,194,71,403,369,306.084,166.063,397.702,157.698,390.874,213.053,330.874,301.271,387.126,291.232
