frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,200,61,394,315,231.915,143.716,318.237,157.123,248.245,195.718,223.979,245.04,297.499,256.833
1,204,77,384,306,234.575,145.025,322.11,158.096,253.402,201.789,222.831,250.778,303.973,261.892
2,199,74,382,303,232.716,146.111,319.768,156.964,254.283,200.952,224.262,249.861,304.632,258.981
3,211,77,376,302,238.716,147.77,323.263,159.263,260.748,202.847,230.836,253.238,307.3,262.939
4,198,65,384,310,226.246,144.393,312.786,156.33,244.459,197.001,218.75,245.001,298.14,255.468
5,207,73,377,307,241.303,150.078,327.813,160.383,269.557,208.138,238.085,259.987,313.707,268.336
6,207,77,382,300,235.305,146.72,321.207,157.576,255.657,201.225,225.703,250.383,305.308,259.527
7,209,75,386,305,230.31,144.237,318.153,158.108,247.479,200.307,222.445,248.216,300.915,260.18
8,208,77,384,306,236.879,147.571,324.165,158.929,258.526,204.891,230.157,252.348,308.075,262.198
9,203,67,385,309,229.125,143.798,315.719,157.493,247.007,198.117,220.655,243.385,299.641,255.613
10,204,74,390,318,229.442,154.543,313.119,160.629,248.553,206.677,228.469,250.093,299.846,256.546
11,202,71,387,313,228.546,151.233,313.978,159.188,246.967,202.103,224.465,246.132,299.129,254.112
12,202,71,387,313,228.546,151.233,313.978,159.188,246.967,202.103,224.465,246.132,299.129,254.112
13,202,71,387,313,228.546,151.233,313.978,159.188,246.967,202.103,224.465,246.132,299.129,254.112
14,202,71,387,313,228.546,151.233,313.978,159.188,246.967,202.103,224.465,246.132,299.129,254.112
15,208,68,383,308,233.083,153.025,321.779,159.525,258.092,212.496,230.924,254.533,307.597,261.298
16,211,71,397,317,236.396,151.984,325.348,158.077,260.544,209.096,235.483,249.605,315.207,256.57
17,212,74,398,315,243.132,152.479,331.282,154.469,271.042,212.291,241.41,246.471,325.354,249.676
18,205,69,396,318,243.899,151.026,335.476,151.49,283.996,213.724,240.794,250.928,327.9,251.958
19,212,71,399,313,249.756,159.404,340.412,156.634,292.236,213.621,250.57,253.906,336.506,251.851
20,213,63,407,324,258.248,152.902,347.459,151.595,304.066,215.818,258.747,252.056,345.107,250.846
21,212,50,412,325,262.168,152.526,354.948,150.987,316.96,212.832,264.729,253.501,349.746,251.524
22,222,63,417,321,264.594,154.374,356.042,146.721,317.269,211.05,274.012,253.517,361.984,246.77
23,226,71,413,318,277.669,153.48,368.303,154.619,336.119,204.772,279.57,250.941,367.548,250.37
24,216,60,404,319,281.393,154.873,370.259,146.023,350.071,199.201,292.399,253.616,381.329,244.405
25,236,80,414,310,293.763,153.072,376.485,152.788,353.765,204.031,293.122,242.701,379.637,242.069
26,233,75,416,312,296.419,151.949,378.42,150.56,359.719,201.663,297.017,243.955,380.203,242.018
27,214,56,419,325,292.004,151.389,379.007,141.22,368.462,195.238,306.819,253.03,391.958,242.473
28,215,58,408,318,290.545,155.645,374.682,149.212,361.989,198.487,300.098,252.121,381.751,244.717
29,216,65,413,320,299.34,151.361,381.95,145.678,373.047,197.864,311.149,254.316,387.444,247.841
30,219,64,410,316,296.181,152.598,378.846,145.354,367.367,193.192,307.015,251.075,387.436,243.035
31,220,60,404,305,294.941,153.047,374.462,142.062,364.633,188.989,309.088,245.258,385.326,234.179
32,222,62,403,304,296.518,155.641,376.029,142.387,368.024,189.241,312.594,247.385,389.972,234.339
33,222,62,403,304,298.652,153.056,375.631,142.249,370.563,189.475,314.385,245.811,388.813,234.433
34,219,53,419,314,297.998,148.171,383.244,137.854,374.581,190.271,307.823,247.382,392.422,236.883
