frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,230,54,421,314,315.065,145.793,398.404,144.781,385.387,189.419,315.797,249.341,397.765,246.704
1,231,56,423,312,312.016,145.065,399.014,143.831,385.017,193.024,316.213,255.561,397.2,252.515
2,225,44,430,318,311.845,144.04,400.101,141.844,388.414,189.541,318.574,257.53,398.628,253.536
3,225,44,431,317,313.356,143.176,401.033,142.218,387.793,192.944,317.645,255.85,398.246,253.001
4,222,46,414,303,315.012,138.294,395.704,135.257,390.539,181.335,321.708,242.269,397.522,237.123
5,226,41,434,319,315.527,138.777,404.379,130.884,394.225,179.312,325.322,248.898,410.143,240.302
6,229,40,431,310,314.879,140.943,401.739,132.166,392.503,178.958,325.564,246.729,407.538,237.629
7,229,54,407,289,312.295,141.671,386.661,140.425,379.979,187.8,316.329,236.294,385.651,232.65
8,226,45,414,297,313.101,140.715,388.025,134.653,384.718,181.873,323.467,238.989,393.862,231.415
9,230,51,412,296,313.765,141.134,393.124,135.668,385.105,184.774,324.192,240.926,396.47,234.02
10,233,45,436,315,319.019,144.099,400.564,139.449,389.706,187.107,322.301,243.734,406.578,238.507
11,220,45,417,305,307.311,141.709,389.742,132.847,383.395,184.37,321.285,246.353,395.709,236.496
12,223,52,412,302,303.825,143.9,386.386,135.391,375.807,186.496,316.049,246.277,392.238,237.192
13,221,57,406,296,305.838,146.207,389.9,141.312,378.462,189.577,314.967,249.16,390.325,242.906
14,221,52,410,308,312.034,145.588,393.737,143.686,384.904,187.556,317.44,247.42,394.578,243.451
15,215,54,415,317,304.46,150.335,389.02,144.832,378.737,186.957,312.176,251.895,395.444,245.16
16,215,46,419,319,304.765,148.38,390.717,140.306,379.806,187.056,315.688,251.011,399.407,242.128
17,222,59,414,316,306.157,154.339,390.334,148.228,377.8,193.768,313.96,255.878,395.481,248.914
18,237,65,429,312,320.888,149.186,398.354,149.171,388.364,195.272,322.591,243.809,401.088,242.313
19,219,50,415,317,308.232,147.852,392.226,144.757,380.97,184.521,316.428,249.708,396.109,244.911
20,221,46,417,317,304.581,148.968,390.102,139.72,379.606,187.755,318.424,251.486,398.783,241.986
21,221,45,416,314,303.75,148.765,389.214,139.683,377.937,187.781,317.169,249.842,398.248,240.509
22,220,46,412,314,305.368,153.029,388.062,145.934,379.822,193.575,313.79,254.444,392.351,246.282
23,214,41,419,324,305.283,154.416,390.847,146.964,384.433,198.451,314.804,260.459,395.705,251.916
24,220,50,415,312,305.606,149.448,387.271,139.286,382.103,185.781,320.01,248.211,398.311,237.518
25,231,53,427,318,316.125,153.225,396.949,150.421,387.525,198.882,320.538,251.569,401.383,247.784
26,217,48,421,323,306.243,153.163,391.538,146.227,381.999,196.166,314.196,258.721,397.203,250.616
27,230,53,423,313,315.539,151.972,394.308,147.496,385.659,196.292,319.795,249.69,397.233,244.454
28,220,42,424,319,308.288,150.888,391.544,143.201,385.471,193.696,318.47,254.549,398.228,245.834
29,220,54,422,323,307.263,152.574,395.184,146.155,382.643,188.188,314.824,258.324,400.155,251.171
30,221,54,423,323,309.922,152.712,395.009,145.196,384.072,185.979,320.794,258.002,400.376,249.798
31,221,53,412,310,306.828,147.818,388.776,138.632,378.881,186.325,318.823,248.219,394.492,238.485
32,223,49,425,321,315.958,151.228,397.235,143.556,391.05,186.402,326.631,255.073,403.124,246.368
33,227,50,418,319,311.407,153.605,390.821,146.293,388.687,188.549,327.901,257.93,398.218,248.719
34,226,51,409,307,306.115,153.653,383.719,142.692,380.317,193.706,321.646,250.089,395.572,238.706
35,216,46,417,322,305.458,153.009,389.314,146.272,380.123,197.023,313.269,254.559,395.321,247.012
36,219,49,412,316,308.04,152.369,393.171,147.159,380.417,196.27,311.251,255.046,395.804,248.828
37,221,46,416,318,305.792,153.659,388.979,146.282,379.283,195.356,315.809,257.128,395.073,248.947
38,219,49,412,313,306.346,151.516,389.474,143.283,380.857,190.724,316.264,251.256,397.588,242.171
39,222,46,414,313,307.571,152.675,389.608,144.883,380.207,192.74,317.612,252.151,397.603,243.552
40,218,49,412,318,305.894,151.318,389.458,145.67,379.854,188.544,316.001,253.818,392.729,246.878
41,219,51,412,318,306.344,153.37,390.589,147.101,379.394,194.771,313.868,256.899,395.373,249.624
42,219,50,413,315,306.837,150.294,391.287,142.451,381.334,188.187,317.224,250.972,399.721,242.297
43,218,45,417,318,308.562,152.253,393.71,147.197,381.98,199.022,310.731,254.406,396.708,248.229
44,222,48,412,313,307.697,150.525,389.6,139.847,384.198,190.008,322.157,250.529,400.267,239.756
45,216,44,417,320,307.764,153.804,391.274,147.42,382.43,198.968,313.396,255.07,398.405,247.467
46,220,45,417,316,304.749,148.79,390.098,140.261,378.078,191.077,316.407,250.63,396.276,242.078
47,219,43,418,317,304.374,150.225,390.424,141.151,379.957,192.338,315.718,251.319,397.967,242.206
48,223,54,414,313,306.62,154.091,388.662,146.662,380.497,195.043,315.913,256.472,393.567,247.979
49,220,42,418,319,306.013,153.198,388.67,144.861,382.517,198.343,316.007,254.314,398.131,245.492
50,220,46,413,316,307.185,152.997,389.583,144.861,380.976,194.248,316.937,254.352,397.268,245.466
51,221,45,415,316,304.201,151.225,388.426,140.493,380.842,193.47,317.494,252.919,398.74,242.135
52,223,49,418,314,308.159,153.377,390.257,146.398,383.335,196.328,317.06,255.562,394.832,247.345
53,219,49,420,323,310.67,154.759,393.14,146.878,387.391,190.328,321.285,257.083,400.938,247.757
54,221,48,422,318,311.458,152.204,395.974,146.045,387.53,193.514,317.218,255.881,399.504,248.479
55,224,53,416,314,306.977,154.102,388.54,145.699,381.788,193.112,318.362,254.11,396.922,244.838
56,221,43,422,319,313.694,150.101,395.164,145.044,389.589,190.644,319.621,254.012,398.789,247.509
57,220,42,423,320,313.89,150.204,395.622,145.379,389.871,191.18,320.02,255.026,398.715,248.689
58,222,43,417,319,305.916,152.099,388.792,144.158,382.551,197.14,315.947,254.808,398.04,246.292
59,221,44,415,318,303.847,152.211,386.766,141.832,381.156,195.126,317.254,254.259,398.401,243.779
60,218,43,416,319,304.721,152.625,388.44,144.995,378.625,194.788,314.191,251.703,397.916,243.486
61,222,44,420,318,306.396,150.057,391.183,142.916,380.299,193.83,319.435,256.32,398.191,248.319
62,212,50,414,324,304.808,153.898,388.376,147.171,380.194,193.88,312.071,256.731,394.708,248.847
63,222,49,413,312,306.114,148.537,389.154,142.097,379.865,189.276,314.632,249.079,396.41,241.948
64,220,49,414,315,304.152,152.889,388.276,144.374,378.128,193.843,316.434,255.121,394.772,245.822
65,224,41,419,317,304.685,149.936,390.48,142.531,378.677,192.309,316.75,255.395,398.041,247.654
66,226,49,411,311,304.911,153.436,384.474,142.894,379.006,194.632,319.13,250.279,395.568,239.54
67,220,53,422,320,309.351,152.653,396.822,146.491,385.632,197.039,317.638,258.562,399.913,251.206
68,223,46,416,318,308.305,151.768,391.091,146.444,380.93,195.936,316.981,255.539,396.112,249.263
69,221,51,425,324,312.874,154.826,395.714,150.026,387.963,193.235,322.94,260.852,400.663,254.262
70,217,46,416,321,305.16,153.228,386.575,145.268,380.003,193.824,317.277,255.64,395.739,246.898
71,223,49,419,320,311.867,153.422,390.304,144.105,389.255,190.575,327.591,254.025,402.423,243.278
72,220,43,418,318,304.048,154.094,388.802,143.464,382.006,198.32,317.569,255.835,398.656,245.016
73,221,64,417,316,319.267,147.91,404.308,148.776,389.572,193.288,316.484,253.035,399.133,251.491
74,226,51,416,312,307.287,150.991,392.085,142.054,381.107,194.194,317.455,253.29,396.892,244.165
75,227,49,426,327,316.394,152.163,401.125,146.652,394.444,190.849,330.819,259.901,406.7,252.288
76,230,50,427,324,317.734,151.582,402.184,147.293,394.14,190.085,331.059,260.113,407.234,253.752
77,226,46,423,320,314.763,151.875,397.168,144.961,394.238,189.634,331.135,257.267,405.068,248.581
78,229,51,424,322,312.945,152.995,399.297,145.08,392.555,189.517,329.445,259.327,406.792,249.703
79,230,52,424,320,311.881,152.722,399.97,143.51,390.808,188.848,327.964,259.565,407.828,249.196
80,225,54,414,314,306.845,150.355,388.559,143.551,378.09,190.585,317.316,251.004,395.98,243.547
81,214,43,427,326,309.286,151.387,397.829,145.208,386.919,197.264,318.986,263.129,400.877,255.713
82,215,41,428,326,311.806,149.594,399.415,144.593,389.326,197.368,319.537,261.865,399.199,255.502
83,224,45,423,320,314.323,151.258,394.631,139.401,395.783,188.379,332.922,256.359,406.457,243.759
84,227,49,429,326,316.701,152.535,402.684,147.303,394.477,191.153,331.605,261.169,408.375,254.009
85,227,47,425,321,314.605,150.281,398.971,142.076,391.478,186.759,327.508,254.765,406.538,245.481
86,228,59,434,332,318.334,140.793,417.79,144.589,398.083,190.221,326.344,258.646,414.087,258.935
87,232,62,423,321,316.211,142.263,413.617,139.825,394.46,195.958,323.802,262.94,413.62,258.775
88,232,52,429,322,313.183,149.019,403.763,144.783,390.104,191.197,325.529,260.677,409.249,254.564
89,228,57,434,331,318.651,138.01,416.184,138.495,397.996,188.022,328.151,255.969,416.608,254.142
90,234,56,428,324,316.67,147.324,408.579,145.958,393.727,194.092,326.074,261.227,408.799,256.823
91,236,54,432,322,317.395,151.604,407.57,145.436,395.689,194.19,328.486,260.124,412.015,252.374
92,223,47,428,322,318.581,147.123,405.096,143.358,396.868,188.283,328.54,255.442,408.922,249.389
93,222,46,428,320,314.991,149.693,399.93,144.213,390.28,195.337,322.107,257.113,400.83,250.71
94,217,45,430,323,314.675,147.501,400.35,143.39,388.573,194.952,316.462,254.152,402.853,248.868
