frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,230,153,393,351,304.062,212.78,369.618,208.713,363.282,261.916,300.473,293.122,371.873,287.741
1,225,145,397,356,301.86,210.981,369.159,205.785,363.716,260.824,299.49,292.128,371.774,285.667
2,220,136,398,359,299.638,203.613,369.43,199.623,363.566,255.558,294.784,288.073,372.034,282.113
3,225,142,398,355,301.518,210.025,368.446,205.486,363.145,259.187,298.766,290.253,370.591,284.367
4,225,142,398,355,301.518,210.025,368.446,205.486,363.145,259.187,298.766,290.253,370.591,284.367
5,225,142,398,355,301.518,210.025,368.446,205.486,363.145,259.187,298.766,290.253,370.591,284.367
6,221,139,396,358,298.229,203.783,369.172,201.785,361.598,256.962,294.588,288.017,369.878,283.855
7,223,141,396,358,301.407,208.342,368.422,206.45,363.599,258.064,295.984,289.865,369.454,285.968
8,223,141,396,358,301.407,208.342,368.422,206.45,363.599,258.064,295.984,289.865,369.454,285.968
9,223,141,396,358,301.407,208.342,368.422,206.45,363.599,258.064,295.984,289.865,369.454,285.968
10,223,141,396,358,301.407,208.342,368.422,206.45,363.599,258.064,295.984,289.865,369.454,285.968
11,219,136,395,358,301.236,206.309,367.165,201.743,365.419,256.698,299.257,291.739,368.324,285.753
12,215,138,392,358,297.635,204.86,369.714,200.249,363.479,258.206,296.593,292.503,371.147,286.017
13,221,138,397,356,302.504,204.183,372.462,202.822,364.59,257.495,297.187,289.941,371.091,285.864
14,223,147,388,359,300.589,203.774,370.483,201.054,363.59,258.885,297.056,291.337,368.086,286.492
15,216,129,398,359,299.951,198.182,371.105,197.526,363.603,253.639,296.713,287.431,369.371,284.513
16,225,151,393,351,302.319,212.785,368.757,207.809,361.022,259.696,298.134,294.67,369.196,288.834
17,217,140,392,354,298.441,209.059,370.556,202.953,362.443,260.879,294.798,291.045,370.822,284.971
18,217,140,392,354,298.441,209.059,370.556,202.953,362.443,260.879,294.798,291.045,370.822,284.971
19,218,142,393,356,298.649,207.615,368.594,200.8,362.606,261.384,296.789,291.588,371.263,283.284
20,220,147,392,355,300.475,209.426,371.46,202.863,365.168,263.617,297.633,292.654,374.026,284.656
21,220,147,392,355,300.475,209.426,371.46,202.863,365.168,263.617,297.633,292.654,374.026,284.656
22,213,140,392,354,295.021,203.443,369.039,198.359,359.285,256.607,292.295,288.338,369.36,281.768
23,216,143,392,355,297.214,207.912,366.313,200.757,361.872,259.5,296.98,291.099,370.039,282.68
24,216,139,392,356,297.8,203.571,371.401,198.479,362.739,259.471,293.317,290.034,371.902,283.235
25,212,146,389,355,295.231,209.944,368.706,204.054,359.016,263.49,290.506,288.98,366.639,284.699
26,215,145,392,359,297.538,208.347,371.855,203.316,362.099,260.625,293.578,289.774,369.471,286.028
27,222,147,390,350,303.048,209.476,371.293,207.849,360.874,258.933,294.568,290.743,365.851,288.554
28,220,148,390,355,302.862,210.047,370.373,205.239,365.167,258.297,299.951,293.528,369.933,287.238
29,218,140,393,355,301.587,205.873,369.643,202.84,364.247,259.006,297.915,289.217,370.227,284.263
30,220,141,395,355,304.927,208.463,372.282,204.448,367.193,259.411,300.329,289.257,373.016,283.325
31,220,140,395,352,301.628,207.247,370.705,202.682,362.507,259.291,299.363,287.211,370.413,280.983
32,220,142,395,355,305.458,208.94,372.587,204.918,367.467,259.46,300.674,289.806,373.075,283.824
33,215,136,397,361,301.694,205.568,372.219,201.217,366.377,257.858,297.87,291.119,372.575,285.096
34,215,136,397,361,301.694,205.568,372.219,201.217,366.377,257.858,297.87,291.119,372.575,285.096
35,215,136,397,361,301.694,205.568,372.219,201.217,366.377,257.858,297.87,291.119,372.575,285.096
36,217,141,393,355,298.391,208.093,368.389,204.141,361.537,262.073,293.571,290.265,369.385,284.278
37,217,141,393,355,298.391,208.093,368.389,204.141,361.537,262.073,293.571,290.265,369.385,284.278
38,212,138,392,357,292.818,206.284,367.462,197.942,359.233,256.884,291.838,290.174,370.814,280.775
39,213,137,399,363,293.485,207.732,366.752,203.073,358.497,261.396,289.379,291.831,367.781,285.536
40,220,144,397,358,296.114,211.996,367.906,203.955,360.851,259.329,294.865,292.222,371.802,283.157
41,217,144,398,362,294.476,211.128,368.82,204.335,359.196,258.653,294.114,293.457,372.175,285.337
42,215,142,400,364,296.312,209.183,370.148,203.495,360.936,258.439,291.897,291.763,371.868,284.775
43,220,154,393,363,296.426,214.316,366.819,206.518,359.918,262.491,294.205,296.092,369.94,286.717
44,219,146,400,363,297.067,210.375,370.962,203.929,360.461,258.136,294.311,292.729,373.242,285.328
45,216,147,396,366,293.17,210.813,367.739,202.345,358.687,258.789,294.031,295.274,372.208,285.777
46,215,144,395,362,295.361,213.782,366.498,206.017,360.944,262.971,292.475,294.433,369.736,285.363
47,220,144,397,360,297.605,212.631,368.889,205.762,361.655,261.968,294.651,294.465,372.089,286.605
48,214,141,398,364,293.422,211.493,367.146,205.585,358.204,260.004,293.725,295.096,370.612,287.916
49,216,144,397,365,293.415,210.725,366.438,202.281,357.771,259.118,293.765,294.756,370.926,285.552
50,216,146,395,367,295.598,212.843,366.47,203.798,360.479,262.821,293.844,296.826,369.0,287.197
51,217,143,393,360,294.739,212.603,363.661,205.118,357.606,261.609,297.132,295.072,367.69,286.342
52,215,146,395,367,292.696,211.978,364.964,205.747,357.538,259.883,293.268,297.307,367.737,289.774
53,210,137,399,368,294.777,215.909,367.949,204.998,363.127,265.301,296.238,299.64,369.999,291.119
54,212,144,401,372,292.73,210.58,367.261,203.087,359.108,263.498,292.946,299.209,371.142,290.174
55,218,139,401,361,296.195,209.822,369.284,203.193,358.907,259.953,294.471,292.127,372.336,284.428
56,221,144,402,366,295.486,209.675,367.314,202.16,358.448,255.771,299.506,296.298,370.204,287.629
57,213,140,392,368,293.849,210.684,366.613,205.886,358.409,266.596,290.519,298.119,367.092,291.086
58,213,140,392,368,293.849,210.684,366.613,205.886,358.409,266.596,290.519,298.119,367.092,291.086
59,217,139,399,362,295.598,208.909,366.463,200.681,359.065,257.139,298.866,296.349,369.047,287.021
60,209,138,397,368,296.94,211.505,370.35,203.605,365.585,264.991,298.354,298.187,372.899,289.574
61,218,136,399,366,302.016,209.006,368.994,207.267,365.847,264.235,300.279,298.313,369.317,291.884
62,217,144,393,365,299.687,211.356,367.122,207.0,365.61,262.818,299.697,298.288,368.814,291.804
63,214,141,394,368,295.823,212.291,365.916,204.289,363.797,263.301,297.902,299.329,370.123,289.494
64,213,142,393,366,294.468,208.578,366.022,206.759,357.336,254.902,294.035,295.26,364.309,291.616
65,213,136,395,368,296.597,206.994,366.518,202.872,361.746,255.527,297.383,294.851,366.021,289.297
