frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,238,108,404,334,311.81,184.6,375.803,183.374,368.807,235.45,312.89,274.571,369.261,272.143
1,236,112,404,331,311.6,184.961,374.394,184.716,364.918,229.437,310.935,269.474,365.133,267.921
2,238,102,400,318,309.985,181.145,376.115,177.258,366.628,228.455,312.968,265.693,374.393,260.764
3,228,106,395,330,305.163,180.15,374.675,174.952,366.751,226.473,310.221,273.607,371.477,267.291
4,236,108,404,328,308.962,180.447,375.231,179.682,364.392,228.697,309.091,268.2,370.24,266.019
5,235,106,406,333,311.71,183.837,375.376,182.824,366.419,229.793,309.732,269.419,368.974,267.116
6,237,109,402,328,310.934,181.617,374.547,181.518,366.037,228.641,310.463,268.079,367.659,266.409
7,234,106,403,332,307.36,180.996,371.725,178.211,364.242,228.753,310.426,269.93,368.628,265.764
8,235,108,404,330,309.035,182.05,373.934,181.342,364.682,229.917,308.428,269.101,367.55,266.913
9,233,106,400,329,304.952,183.568,372.236,179.06,364.507,227.859,311.277,271.894,370.877,266.304
10,238,105,403,326,307.68,185.037,372.16,180.862,365.055,231.275,311.067,269.41,370.371,264.277
11,235,100,404,324,309.197,180.521,374.428,182.453,364.38,231.409,307.981,266.481,368.83,266.52
12,236,100,407,328,308.539,183.461,376.458,181.386,368.448,232.804,316.565,273.962,373.185,270.008
13,235,100,405,327,308.884,183.106,377.284,181.73,367.531,233.653,316.431,273.139,373.011,269.767
14,234,99,405,328,307.412,183.538,373.197,180.36,366.614,232.262,316.196,272.353,372.523,267.493
15,234,99,404,327,306.599,183.933,373.3,181.157,365.813,232.918,316.641,272.729,371.73,268.139
16,233,103,401,328,306.068,183.397,371.912,178.191,365.445,229.064,313.59,273.088,370.937,266.886
17,238,107,404,328,305.591,183.12,370.212,179.946,362.594,231.001,309.018,270.797,367.879,266.54
18,229,103,400,334,310.315,180.245,375.708,181.275,367.6,228.228,309.564,272.119,368.221,271.227
19,241,104,402,317,308.575,183.078,370.824,178.833,362.92,229.592,314.716,266.283,369.002,261.016
20,237,98,406,320,306.786,181.46,372.818,177.99,364.16,229.603,310.885,264.818,370.247,259.981
21,230,103,397,329,303.08,184.512,372.858,178.413,362.376,232.682,311.043,275.702,373.098,268.603
22,241,108,403,320,305.934,182.22,370.477,176.868,361.064,226.361,310.606,267.375,368.418,261.272
23,242,103,402,314,308.785,181.944,373.358,177.332,365.397,225.173,314.31,264.173,371.873,258.671
24,228,102,394,331,301.874,184.76,374.4,179.926,364.799,234.186,310.207,278.884,372.046,272.721
25,229,98,396,328,304.857,187.175,372.552,179.069,369.55,233.781,319.171,279.966,375.631,270.859
26,228,107,391,333,301.728,185.135,371.958,180.338,360.941,229.402,309.34,278.942,371.307,272.487
27,227,106,388,332,299.2,184.374,370.19,178.805,359.517,228.841,308.937,279.319,370.177,272.201
28,222,104,393,341,294.131,185.273,369.191,180.538,355.909,231.93,301.323,284.409,367.665,277.727
29,226,105,398,338,300.878,186.816,371.441,182.824,361.292,230.277,307.687,279.76,370.83,274.331
30,226,105,397,336,299.804,186.724,369.523,180.769,361.203,230.09,309.018,279.884,369.804,272.85
31,225,105,397,337,300.003,186.59,370.747,180.693,361.086,230.274,308.203,279.091,371.55,271.779
32,220,100,394,341,295.456,185.58,368.686,179.905,359.298,229.177,304.003,282.085,369.503,274.656
33,226,107,397,336,301.922,185.938,372.446,182.242,362.652,230.167,307.584,278.789,370.355,273.714
34,225,105,398,336,301.057,185.586,371.948,180.845,361.912,230.547,308.406,279.332,370.89,273.403
35,224,103,399,339,300.245,186.856,371.682,182.827,361.182,232.438,305.966,280.67,371.181,275.173
36,235,109,399,328,304.775,184.72,366.801,178.38,361.811,232.091,311.73,273.05,366.452,265.96
37,235,110,400,330,302.841,185.056,366.751,179.57,360.625,231.298,309.637,273.24,366.779,266.794
38,233,110,395,324,302.314,184.839,368.229,176.623,358.887,226.788,311.269,272.157,367.13,263.637
39,233,105,394,320,302.987,183.368,368.511,175.828,360.902,229.571,310.421,268.263,369.357,260.249
40,224,106,398,338,299.41,187.061,370.748,181.619,360.981,230.429,307.888,280.613,370.836,273.81
41,230,110,397,332,304.686,184.417,375.41,180.598,363.34,228.226,309.303,275.583,372.173,270.537
42,227,107,396,336,301.128,186.039,371.673,180.873,361.831,228.65,309.215,279.536,370.083,273.256
43,225,106,399,340,298.718,185.653,372.613,184.182,358.266,232.377,302.291,279.571,369.101,276.043
44,225,107,397,339,299.594,185.122,372.431,183.0,359.443,230.555,303.746,279.155,368.646,275.092
45,228,108,397,333,306.123,184.308,375.443,181.005,365.208,228.291,309.927,276.179,372.033,271.627
46,230,94,398,327,308.107,187.463,375.451,181.555,369.279,233.043,315.974,276.689,372.426,269.977
47,228,108,397,334,305.39,184.201,374.982,181.44,364.188,228.088,308.942,276.05,371.05,271.825
48,224,106,397,335,297.56,185.971,369.986,181.104,358.254,228.938,305.514,279.052,370.379,272.734
49,226,104,393,322,301.145,183.756,368.251,178.091,358.173,226.284,307.423,269.249,366.575,262.78
50,229,93,401,327,304.437,181.981,373.985,175.751,365.844,229.03,314.059,272.966,373.93,265.622
51,233,94,401,321,306.786,185.391,373.574,178.608,365.679,230.809,315.848,271.86,373.062,264.384
52,234,98,397,319,304.795,183.11,371.549,175.803,363.038,226.782,315.404,269.215,372.678,261.343
53,231,91,401,324,305.732,185.631,373.264,176.966,365.858,230.262,315.234,272.316,372.939,263.589
54,227,108,396,333,299.194,185.273,371.47,179.574,359.754,228.195,307.447,276.682,370.54,269.777
55,227,105,398,340,303.145,184.85,373.511,181.156,363.938,226.896,310.158,279.168,373.034,273.714
56,226,111,394,337,301.268,185.094,373.934,181.016,360.441,229.0,307.401,278.868,370.598,273.293
57,232,102,396,326,302.151,181.54,373.168,177.644,363.063,225.734,309.568,273.384,369.592,267.726
58,233,101,398,327,300.925,181.825,373.758,176.38,361.662,225.91,308.53,275.009,370.079,268.555
59,227,108,397,339,305.559,182.806,376.847,179.835,365.441,226.119,310.265,277.811,374.464,272.97
60,228,110,396,336,305.24,182.947,376.533,180.084,364.367,226.393,309.945,276.658,373.413,271.968
61,230,113,397,333,308.787,182.183,378.463,181.61,365.767,228.889,309.673,274.83,373.008,272.511
62,233,112,396,332,309.023,181.64,377.073,178.998,365.614,226.079,313.579,274.953,373.037,271.051
63,232,114,396,333,308.186,183.046,377.544,180.733,365.346,227.686,311.659,276.333,373.008,272.516
64,238,110,402,332,306.606,181.686,372.125,177.428,359.977,229.07,311.667,272.962,367.401,267.828
65,233,112,396,334,310.307,182.347,379.237,180.345,367.775,227.25,314.818,275.863,374.322,272.316
66,235,113,395,333,310.054,181.204,378.686,179.651,366.042,225.154,313.618,275.82,372.14,272.677
67,239,110,403,339,307.906,181.974,375.503,183.438,363.838,231.619,309.627,275.202,366.246,274.66
68,233,109,396,333,307.086,183.573,375.477,179.43,364.453,225.331,314.128,276.352,371.802,271.014
69,232,115,391,335,306.065,183.797,374.146,180.738,363.129,226.763,313.063,277.591,371.215,272.78
70,239,116,403,339,309.355,188.07,373.705,187.338,362.375,233.536,311.148,276.805,364.335,274.702
71,237,112,401,332,305.214,185.306,369.975,183.685,359.392,231.141,309.548,274.475,363.092,271.419
72,240,114,403,337,308.095,188.066,371.765,184.345,363.288,231.099,311.572,274.689,364.962,269.857
73,235,114,398,336,304.111,186.453,368.888,184.045,359.143,231.156,309.026,275.248,363.499,271.409
74,236,115,397,336,305.27,187.157,369.995,184.717,359.795,229.149,310.806,276.094,364.093,272.03
75,233,110,398,333,303.062,184.803,369.058,181.331,356.858,229.367,308.083,275.357,363.156,270.588
76,231,102,397,330,303.198,184.757,373.628,179.449,362.565,227.8,313.229,276.331,372.098,269.823
77,231,107,396,326,305.917,185.382,372.762,180.576,363.973,226.618,311.99,271.69,369.884,265.654
78,234,111,403,341,306.139,183.602,374.677,184.595,362.447,231.684,308.235,277.115,366.651,276.076
79,236,114,402,341,306.712,187.044,369.933,184.831,359.562,233.638,310.94,278.437,363.841,274.857
80,235,111,406,350,309.428,185.541,375.497,184.892,366.151,234.255,313.496,283.85,369.502,281.107
81,229,109,398,342,313.002,189.066,374.82,184.435,371.804,231.591,318.844,281.896,376.02,275.571
82,229,109,400,345,313.207,188.653,375.435,184.532,372.384,231.334,319.511,283.44,374.478,277.534
83,228,107,400,352,313.194,191.329,374.716,186.777,373.861,233.566,321.683,287.531,375.091,280.978
84,230,108,398,349,318.999,188.079,376.248,185.82,378.348,230.955,324.717,284.883,375.529,280.301
85,234,107,403,348,313.38,190.625,377.375,186.747,372.353,235.107,320.63,286.171,373.517,280.51
86,232,106,400,343,317.077,189.778,380.516,186.14,377.493,226.557,324.766,283.156,375.801,277.89
87,232,105,401,347,317.14,190.463,377.507,185.863,376.913,230.704,325.713,283.63,375.478,277.351
88,232,104,401,349,320.219,190.857,379.779,187.3,380.126,232.706,327.396,287.887,377.886,282.354
89,228,102,401,349,314.264,190.265,380.66,184.88,377.675,229.988,325.041,287.887,378.77,281.235
90,230,99,404,347,323.98,189.968,386.124,184.882,385.496,229.569,333.833,286.056,383.806,279.409
91,234,102,403,328,314.248,185.389,377.124,186.282,373.618,234.062,318.69,270.324,373.248,269.04
92,234,101,404,324,310.545,185.997,375.436,181.319,371.7,232.479,322.027,270.072,375.907,264.12
93,230,98,405,348,315.947,186.312,378.861,182.115,376.04,229.913,324.618,283.766,375.33,277.847
94,239,99,402,317,317.487,176.932,380.533,173.998,381.08,223.184,325.443,260.025,380.185,255.878
95,231,99,402,341,323.763,184.117,385.143,183.529,383.251,225.043,330.118,283.321,376.51,280.516
96,231,97,403,342,324.41,185.538,385.199,183.318,386.305,225.088,331.431,283.528,380.118,279.255
97,225,98,398,348,322.622,181.85,393.829,181.478,384.784,222.185,327.392,291.91,380.291,288.802
98,234,97,402,340,330.8,184.915,392.085,181.412,393.206,221.366,337.988,281.496,385.676,276.269
99,238,94,406,336,327.675,180.69,387.082,179.369,387.561,220.98,333.245,276.173,379.454,272.642
100,243,98,410,339,324.973,178.66,383.678,175.016,381.995,220.602,334.205,278.021,380.16,272.775
101,243,98,409,340,325.247,178.79,384.759,174.319,382.626,221.149,335.318,279.503,379.855,273.569
102,237,91,409,335,327.688,176.371,389.473,173.658,389.595,215.831,336.146,271.225,384.829,266.67
103,243,93,410,337,329.074,179.212,388.67,176.411,387.793,219.271,338.017,277.981,381.616,273.339
104,238,88,406,335,332.76,177.188,394.021,175.592,395.359,214.703,339.743,276.527,386.165,272.818
105,237,88,407,337,334.682,179.139,396.885,180.905,394.421,219.316,337.585,276.961,385.026,276.469
106,250,96,416,338,333.329,176.995,391.102,175.096,389.752,216.498,341.674,273.717,384.764,269.779
107,251,100,415,335,335.626,180.617,393.373,181.757,390.097,220.329,340.192,274.767,383.358,273.493
108,232,88,411,338,339.226,178.135,401.458,179.287,401.898,220.123,339.742,274.29,388.316,273.458
109,229,85,411,349,340.394,179.723,403.282,180.32,402.677,223.17,343.05,284.553,389.677,282.984
110,233,87,411,347,341.843,181.403,404.082,184.003,403.164,223.108,343.181,284.929,388.765,285.256
111,249,100,416,340,328.334,179.34,395.08,176.094,391.484,219.684,338.017,280.434,389.945,275.347
112,236,96,407,352,329.241,182.165,404.386,181.117,392.57,224.3,335.11,297.555,391.065,294.398
113,234,95,406,351,328.958,180.743,403.532,178.18,391.3,221.65,336.803,297.593,391.46,293.199
114,256,102,421,342,337.882,176.652,402.532,177.662,395.625,222.258,341.192,278.289,390.149,276.515
115,257,106,420,343,339.32,177.102,401.803,176.241,395.945,222.422,343.909,278.399,392.106,275.15
116,248,98,409,335,329.913,181.9,397.024,175.991,390.914,219.222,342.717,280.891,393.059,273.828
117,250,102,421,342,330.638,179.875,399.481,179.178,389.477,223.858,336.475,280.146,389.643,277.576
118,245,94,414,343,343.568,181.371,408.581,182.426,404.986,221.798,346.616,285.246,396.627,284.272
119,246,100,423,344,330.584,180.126,401.367,180.817,389.026,228.172,332.055,281.029,389.868,279.917
120,242,95,417,353,344.079,180.655,410.545,190.699,402.646,226.223,337.665,284.081,390.754,291.09
121,234,90,418,353,345.01,182.038,409.949,186.972,404.841,228.438,343.149,286.326,393.151,288.722
122,234,91,420,351,344.437,179.31,412.761,182.492,406.668,226.913,342.269,286.652,395.892,287.776
123,234,89,420,351,345.231,181.07,411.742,186.364,404.646,230.287,340.868,283.781,392.6,286.752
124,230,88,415,354,342.687,183.533,407.395,188.08,404.001,229.068,341.731,287.952,390.252,290.019
125,251,99,423,345,334.686,178.238,397.337,175.163,393.372,223.413,340.787,279.939,391.022,275.226
126,243,98,414,352,339.188,182.322,406.256,185.045,398.791,227.281,339.46,288.653,392.75,289.227
127,256,100,414,313,326.262,180.043,386.434,172.609,388.022,219.522,341.218,260.007,392.141,251.431
128,233,86,413,349,340.43,180.633,404.195,185.85,401.58,226.138,338.597,286.079,388.159,288.937
129,239,83,419,343,330.963,178.142,395.974,173.681,400.531,221.985,343.274,276.001,395.766,270.167
130,244,86,416,334,329.124,177.703,393.575,168.998,399.395,217.554,347.185,271.947,398.202,262.35
131,243,86,414,330,327.362,175.106,393.397,168.415,395.454,216.29,342.77,269.216,394.926,261.173
132,237,94,406,343,331.105,176.146,400.155,174.88,393.958,219.586,335.869,284.427,390.401,281.479
133,236,91,408,343,336.049,177.011,400.147,177.033,399.125,216.919,340.727,281.153,390.372,279.121
134,235,89,409,345,337.452,177.691,401.967,177.67,401.707,217.492,341.353,282.934,392.599,280.933
135,241,87,416,336,327.879,176.415,392.938,168.783,397.808,218.056,344.397,273.017,396.666,263.819
