frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,193,118,393,375,243.737,216.718,332.962,204.16,304.688,280.159,257.314,312.699,348.545,300.563
1,185,108,387,368,243.525,214.665,339.561,199.616,302.389,269.093,267.833,317.974,353.541,304.69
2,188,111,390,378,246.611,216.685,335.712,200.125,312.051,267.348,271.575,316.972,351.755,302.036
3,187,105,391,381,252.701,219.595,344.22,200.096,323.044,269.003,278.445,320.73,359.446,303.751
4,191,112,392,374,256.381,218.739,348.748,199.212,325.28,275.443,281.211,322.15,363.208,305.434
5,189,105,396,382,261.74,222.407,352.816,202.205,336.934,274.004,287.796,326.49,368.853,308.573
6,194,106,395,374,261.16,219.499,355.212,205.111,325.099,281.744,278.969,325.223,362.485,313.169
7,200,107,405,384,260.848,222.043,357.902,209.308,332.419,279.842,281.702,329.635,364.016,317.495
8,205,113,406,382,265.564,221.578,362.454,211.162,329.93,293.886,284.445,334.672,363.537,325.939
9,217,126,416,385,276.024,225.924,360.128,219.791,340.606,275.501,288.351,320.404,361.151,313.634
10,214,137,426,401,280.957,236.759,370.487,233.582,343.212,294.182,285.695,331.505,363.675,328.27
11,222,144,427,401,288.487,242.7,375.617,241.459,349.309,300.604,293.811,338.667,363.697,337.382
12,230,140,422,394,295.317,241.66,381.694,240.865,355.246,302.256,301.13,338.607,370.024,337.029
13,238,149,425,390,302.844,244.344,385.103,246.921,357.311,299.129,304.911,335.845,369.995,337.131
14,241,148,417,386,307.07,243.303,384.155,244.994,364.22,303.624,311.765,337.135,368.47,337.386
15,244,149,427,395,308.162,245.848,390.067,251.507,366.937,310.78,304.416,341.417,369.719,345.222
16,244,154,440,407,314.499,248.642,394.2,256.593,372.232,309.143,307.06,340.117,375.885,345.978
17,238,143,436,402,309.858,239.21,395.383,246.769,366.429,301.198,303.411,336.59,371.06,341.619
18,247,148,436,396,312.413,238.794,395.131,248.153,365.375,299.757,308.185,332.21,375.326,339.231
19,251,150,440,396,316.359,238.484,398.055,249.219,370.181,299.1,309.426,331.167,376.664,339.262
20,249,146,444,395,317.055,237.033,400.712,241.493,375.918,295.166,314.048,329.073,385.463,331.862
21,250,142,441,395,317.355,235.887,399.199,246.585,372.886,300.38,309.571,328.584,379.386,336.884
22,251,143,441,389,319.897,233.181,403.341,241.697,373.461,293.418,315.613,325.985,383.139,332.476
23,253,143,443,391,323.765,233.702,407.744,240.655,380.821,292.189,318.222,326.495,389.889,331.463
24,267,143,439,379,321.474,229.478,404.195,240.705,374.782,300.81,315.357,325.066,385.193,332.859
