frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,202,88,391,349,302.497,188.441,375.858,188.546,362.955,237.152,307.146,290.151,362.64,288.509
1,214,103,382,342,299.054,191.063,362.771,185.638,363.803,229.936,310.76,288.157,355.419,281.035
2,203,87,389,347,299.49,187.115,372.99,186.268,360.488,234.641,305.89,289.505,361.486,286.909
3,213,95,382,340,299.738,191.748,365.677,187.33,364.226,234.187,304.043,288.598,357.64,282.462
4,213,93,382,344,298.161,190.104,362.766,189.115,360.244,232.496,304.859,289.195,352.303,285.842
5,212,91,385,337,300.21,187.121,366.058,183.613,365.25,228.734,303.307,282.542,356.533,277.099
6,210,93,381,346,293.683,188.425,366.507,180.39,363.591,226.204,304.9,294.524,361.084,285.974
7,209,90,384,349,293.993,186.158,366.27,182.14,363.217,226.7,301.81,292.245,357.17,286.748
8,212,91,382,342,294.952,182.724,366.361,178.973,364.018,222.978,302.681,287.519,355.933,282.333
9,205,85,387,350,300.118,187.019,375.92,185.372,363.238,233.182,309.287,293.711,364.633,290.539
10,208,83,387,351,300.504,187.576,375.742,186.77,362.788,234.315,311.733,296.296,362.932,293.937
11,215,99,375,347,295.506,189.825,367.157,187.889,362.947,228.519,302.743,295.433,353.368,292.141
12,217,99,388,341,301.904,190.934,364.258,194.821,361.73,233.586,300.208,283.295,349.673,284.22
13,212,97,378,346,294.795,193.684,365.036,190.623,361.498,233.036,301.471,294.67,351.752,290.231
14,215,101,383,340,298.386,189.984,369.451,187.15,364.622,229.926,306.06,287.775,357.246,283.545
15,213,89,388,337,299.12,184.071,361.198,184.665,360.316,225.165,301.371,277.99,350.256,276.071
16,215,90,389,338,296.806,186.86,359.821,186.85,355.193,226.047,301.944,279.767,351.867,277.3
17,220,94,389,332,301.174,187.864,361.963,186.65,361.229,227.424,304.588,274.429,354.274,271.053
18,207,86,385,345,298.623,184.402,374.534,180.941,359.142,230.512,310.627,293.21,361.747,288.696
19,218,99,386,337,298.119,191.156,359.552,191.724,358.136,234.254,301.543,281.756,350.161,279.849
20,216,92,387,334,300.886,185.856,362.296,186.456,360.421,226.584,302.39,277.06,351.253,275.252
21,215,96,383,336,296.931,189.512,358.251,189.054,358.202,230.073,300.92,280.716,348.598,277.896
22,215,94,387,335,297.278,188.261,359.114,187.536,357.421,230.775,302.609,280.698,349.98,277.47
23,215,98,374,344,300.288,188.837,364.851,183.789,367.566,227.419,310.753,290.577,356.912,283.71
24,219,98,384,336,297.946,190.564,358.347,189.25,358.844,233.342,304.361,281.5,352.073,277.812
25,215,95,384,339,295.072,190.161,356.508,189.492,354.607,231.73,299.918,282.395,347.132,279.511
26,215,97,382,336,296.676,188.594,357.717,186.786,357.433,229.951,302.413,280.994,348.593,276.891
27,211,100,380,344,300.675,188.864,365.165,185.66,367.286,230.637,307.229,287.018,355.842,281.884
28,210,95,382,348,299.905,189.174,369.696,180.111,371.033,226.136,315.633,290.046,365.596,279.846
29,209,96,378,339,293.211,187.475,358.743,180.707,360.312,227.193,303.525,286.538,352.322,278.052
30,214,97,382,342,300.991,185.186,364.49,182.21,368.085,223.795,308.988,284.222,357.411,279.066
31,216,97,384,345,301.897,187.85,364.976,184.417,368.844,229.119,310.661,287.335,357.692,281.9
32,211,87,388,341,297.201,186.973,360.919,187.844,358.966,233.172,299.954,282.608,349.466,280.909
33,212,85,390,339,300.673,186.193,364.733,186.665,362.704,231.752,303.402,280.849,353.254,278.824
34,207,92,379,340,296.616,185.473,364.501,178.863,367.115,228.175,305.552,285.559,356.896,277.105
35,212,95,383,346,298.737,189.042,362.716,185.238,366.944,229.369,308.353,290.164,355.103,284.329
36,208,97,382,345,291.578,186.623,362.684,180.172,360.853,228.116,303.871,290.815,353.877,283.255
37,209,92,379,348,290.004,190.104,359.279,183.399,359.243,230.229,303.102,294.69,355.448,286.555
38,210,96,378,355,297.791,187.71,371.674,185.673,363.487,229.036,308.582,297.984,362.07,293.946
39,209,95,379,356,297.441,188.667,372.301,186.354,363.949,229.896,308.71,299.178,362.908,294.907
40,210,95,378,353,298.248,190.277,370.605,187.118,363.317,229.558,310.159,297.816,361.971,292.747
41,211,92,376,347,294.197,189.57,363.488,182.085,364.793,225.72,307.71,295.08,358.363,286.262
42,209,93,377,353,299.35,188.405,374.221,187.095,365.12,230.448,308.959,299.395,361.833,296.119
43,210,93,371,351,294.052,189.292,365.604,183.906,361.363,226.588,309.8,299.566,357.527,292.852
44,208,93,374,350,292.791,189.925,363.315,184.872,358.555,229.314,305.078,297.591,354.808,291.194
45,210,92,375,351,294.267,188.021,365.491,183.098,361.386,226.777,307.103,296.444,356.876,290.042
46,206,91,376,347,286.926,186.886,360.487,180.847,355.156,228.007,299.383,294.612,352.62,287.486
47,207,92,382,344,292.33,187.61,361.16,182.934,359.774,230.683,299.693,288.341,351.063,282.474
48,211,95,377,344,297.363,186.456,364.292,180.213,367.341,225.585,308.075,286.496,358.89,278.854
49,208,88,375,349,297.512,183.223,368.872,181.462,363.552,225.753,307.093,293.945,358.097,290.509
50,207,92,371,344,296.288,179.78,369.679,180.383,362.135,224.162,303.192,292.469,354.764,291.33
51,206,90,379,358,295.82,187.28,367.431,183.651,364.015,225.309,307.782,296.88,360.15,291.266
52,208,91,377,351,293.571,187.739,364.656,182.629,360.597,227.262,305.624,296.564,357.456,289.947
53,209,94,376,341,294.22,187.389,363.468,182.889,361.108,227.271,300.361,287.889,355.026,281.829
54,208,90,379,340,292.439,187.992,358.388,182.909,356.048,228.421,299.511,286.02,351.52,279.353
55,209,89,377,342,295.132,189.425,358.741,184.133,361.325,227.59,305.855,286.78,353.555,279.416
56,211,90,377,334,296.461,184.475,361.933,179.544,361.695,222.938,302.985,280.448,355.806,273.937
57,210,89,377,335,295.05,184.351,361.574,180.48,359.841,223.698,300.262,281.999,354.004,276.599
58,213,94,376,338,294.836,187.575,358.851,183.1,356.837,228.355,304.354,285.409,352.827,279.082
59,207,92,375,355,296.721,188.922,367.928,186.478,363.016,228.819,308.387,298.652,358.666,294.149
60,207,90,376,336,287.9,184.631,357.64,178.152,355.164,224.133,297.458,286.205,350.407,278.462
61,208,94,369,349,293.053,188.942,364.504,184.869,359.334,228.711,307.659,300.348,355.319,294.803
62,203,91,374,352,292.806,187.064,370.46,183.744,362.976,229.931,304.06,301.168,358.662,296.638
63,209,97,375,345,294.646,187.477,366.519,180.077,367.871,225.335,311.189,292.927,360.481,284.209
64,205,88,379,349,297.411,183.643,372.133,183.457,364.87,231.046,302.747,293.896,358.614,291.887
65,198,83,384,363,291.374,189.311,370.224,187.33,362.062,240.826,299.242,305.101,357.747,301.429
66,204,92,375,346,285.192,189.48,356.152,182.771,354.717,229.204,297.821,294.846,350.875,286.479
67,206,88,378,356,297.863,185.194,369.034,183.731,365.453,225.021,307.842,295.305,358.141,291.9
68,205,91,373,344,290.012,182.885,366.711,180.947,356.433,228.117,297.456,293.989,352.861,290.933
69,205,89,375,352,291.904,185.998,363.214,180.26,360.537,226.24,304.374,294.615,355.367,287.202
70,207,89,378,348,295.773,181.44,370.206,179.457,361.857,224.239,302.232,291.963,357.086,288.452
71,208,93,371,349,292.327,186.666,360.928,181.097,359.713,225.596,304.422,293.496,353.781,286.261
72,201,87,381,347,280.945,186.734,355.707,180.412,349.232,226.579,291.827,292.013,347.593,284.605
73,205,86,383,346,282.676,186.816,354.783,180.427,349.763,228.422,294.053,291.017,349.26,283.298
74,206,89,383,348,289.289,189.753,356.754,187.606,351.77,235.14,295.251,291.491,347.862,287.306
75,209,89,375,348,293.754,185.297,366.898,182.129,359.571,227.608,305.31,294.384,354.717,289.653
76,204,93,369,351,291.666,186.7,364.134,182.516,357.563,227.048,306.152,300.688,352.239,295.325
77,206,95,368,347,290.804,186.018,363.125,182.569,355.577,227.848,303.489,298.111,350.546,293.485
78,207,96,374,348,287.412,190.22,361.487,185.06,355.646,232.069,297.061,297.457,353.282,291.169
79,205,92,371,346,291.85,179.767,368.787,181.19,357.48,227.007,296.849,294.328,349.755,294.379
80,203,91,375,343,285.247,187.302,355.919,181.058,354.783,227.235,296.629,291.044,349.741,283.183
81,204,91,376,353,286.67,190.658,356.895,185.629,355.552,232.625,299.719,297.952,350.72,290.995
82,206,94,371,350,283.76,191.541,357.382,183.697,354.541,230.169,300.185,298.79,352.631,289.593
83,204,91,369,349,291.86,185.074,363.715,182.791,356.136,225.578,303.965,296.031,350.729,292.394
84,204,89,373,354,291.035,182.721,367.995,179.935,357.799,228.2,302.895,298.124,357.009,293.609
85,206,90,373,354,291.641,188.114,361.536,183.051,363.174,228.106,303.197,296.54,354.061,289.729
86,202,90,372,354,283.492,189.513,354.673,182.312,353.218,228.527,297.492,297.262,349.912,288.687
87,202,88,374,348,283.441,187.672,355.033,180.373,353.445,227.964,295.518,294.284,348.361,285.864
88,207,92,372,339,290.027,186.607,356.891,181.744,355.316,224.558,297.286,284.789,348.572,278.48
89,206,92,372,340,286.995,187.56,355.717,180.993,354.17,225.465,298.555,288.797,348.163,280.926
