frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,267,95,458,372,363.359,195.882,444.106,212.959,426.869,244.282,348.412,294.613,420.393,306.708
1,271,94,460,361,363.916,192.161,436.369,202.268,424.975,243.582,356.427,288.134,417.865,293.757
2,270,92,461,362,363.299,193.02,437.328,203.187,425.814,244.949,354.488,289.533,417.825,295.342
3,272,93,459,359,361.877,192.42,434.297,201.049,423.938,241.985,355.737,287.741,417.572,292.014
4,271,94,459,359,360.353,192.839,432.28,202.065,421.917,240.462,352.103,287.289,414.123,292.262
5,267,96,453,359,360.172,195.181,435.581,208.386,421.363,244.4,347.32,290.499,416.208,298.948
6,267,97,455,358,363.2,193.468,441.097,209.027,424.581,244.742,348.83,289.464,418.298,300.081
7,268,97,457,361,364.593,196.764,437.457,211.027,426.502,245.12,349.115,289.819,417.641,299.059
8,269,98,455,357,364.932,196.357,436.976,208.24,427.9,243.115,352.146,287.96,417.853,295.116
9,268,96,458,360,362.247,193.421,440.954,208.09,424.246,246.493,348.854,290.358,417.453,300.096
10,269,90,460,358,363.978,193.368,440.744,206.75,425.787,244.902,351.594,289.242,418.22,298.167
11,267,96,460,362,365.772,192.845,443.637,209.357,427.711,247.053,350.903,289.453,419.576,300.703
12,269,96,458,358,363.949,193.011,441.112,207.43,424.923,245.584,348.753,287.046,418.869,296.923
13,270,97,458,357,363.664,192.797,439.325,207.234,424.518,244.153,347.835,285.811,418.245,295.436
14,268,93,457,359,363.828,192.285,442.601,207.736,425.332,245.28,349.276,288.569,418.58,298.953
15,269,96,457,359,362.168,193.226,439.115,206.856,423.402,246.069,348.616,288.036,417.15,297.053
16,274,95,457,356,364.567,191.311,437.505,207.045,421.149,241.074,347.707,285.114,413.009,296.9
17,274,98,459,356,363.684,192.635,434.081,210.058,418.998,242.721,344.467,283.939,409.797,296.441
18,269,95,457,361,363.011,193.834,436.446,211.325,421.006,246.585,344.718,288.535,410.718,301.152
19,261,95,455,373,361.657,194.487,438.32,214.166,421.359,252.704,341.608,293.146,410.54,306.58
20,271,91,454,358,366.195,190.868,440.431,208.48,423.972,245.043,349.043,289.734,413.046,303.238
21,261,84,463,363,366.772,185.793,448.387,195.878,434.0,240.342,356.501,291.552,430.769,297.227
22,277,95,465,357,365.411,195.421,438.067,205.593,427.147,242.348,351.646,286.385,422.153,292.319
23,279,104,458,350,371.472,194.368,438.945,199.087,432.772,240.408,365.599,282.102,429.143,283.972
24,277,101,460,351,373.504,193.412,441.39,198.203,436.933,238.271,367.64,281.086,430.393,282.93
25,280,91,473,348,374.472,188.89,442.748,199.926,432.909,239.203,362.479,275.666,423.859,282.673
26,265,84,464,352,373.173,183.729,451.171,197.274,432.65,241.459,361.112,286.642,429.428,295.767
27,269,89,459,344,366.474,178.62,444.899,189.522,425.084,237.441,356.521,281.97,426.014,289.053
28,266,84,465,350,373.18,183.102,450.912,196.646,431.711,240.88,361.174,285.466,428.82,294.766
29,278,91,467,348,374.099,185.22,444.252,197.173,432.356,237.95,359.736,274.419,425.691,282.405
30,278,89,472,349,374.281,186.92,444.269,197.543,432.989,238.756,360.834,275.281,426.241,282.216
31,266,85,463,349,373.706,180.085,451.162,192.048,433.766,235.874,362.543,283.468,432.033,291.366
32,267,84,464,349,372.805,184.522,448.746,195.649,431.779,240.081,364.245,286.074,429.879,293.178
33,265,83,466,351,373.107,181.059,452.331,193.634,431.979,238.509,361.844,285.042,431.804,293.916
34,268,83,465,348,371.852,183.274,448.166,193.421,430.016,239.638,364.271,285.066,429.81,291.548
35,267,83,465,350,371.774,183.965,447.172,192.644,432.362,240.086,365.613,286.916,430.689,291.936
36,280,89,470,347,375.961,184.705,444.603,196.362,433.245,237.898,364.185,275.521,426.116,283.153
37,272,94,462,359,370.742,189.55,444.85,198.27,431.59,238.706,362.728,286.917,429.515,291.114
38,274,92,463,360,375.069,189.192,445.325,199.191,435.639,240.667,365.577,287.193,427.699,292.534
39,281,92,467,352,374.939,188.191,443.106,199.177,432.417,239.174,364.111,280.298,424.685,287.039
40,274,89,463,359,370.128,187.647,439.237,197.356,429.614,238.285,360.73,282.923,422.626,287.989
41,274,93,464,362,372.636,189.65,442.357,198.939,432.507,239.119,363.28,285.823,428.367,289.957
42,275,94,463,361,373.399,186.851,443.406,199.258,430.6,239.525,360.356,283.401,425.197,289.826
