frame,sx,sy,ex,ey
0,88,87,323,416
1,88,86,323,405
2,88,84,323,403
3,88,85,325,407
4,91,82,331,409
5,95,87,331,408
6,101,87,341,408
7,107,89,352,419
8,104,112,337,413
9,110,114,342,427
10,113,138,351,422
11,126,166,344,424
12,135,170,355,431
13,149,168,368,440
14,152,163,382,441
15,156,158,385,443
16,160,160,385,441
17,162,152,389,434
18,173,148,390,429
19,173,150,389,427
20,172,141,386,426
21,169,143,384,420
22,169,147,377,412
23,168,160,367,414
24,163,159,361,410
25,156,151,350,408
26,146,153,341,410
27,134,156,336,413
28,119,167,311,421
29,114,195,306,441
30,98,195,294,431
31,87,203,287,431
32,76,205,286,428
33,58,212,281,438
34,51,206,267,431
35,42,188,264,425
36,42,186,257,422
37,46,172,255,421
38,57,169,263,417
39,71,162,290,418
40,77,116,302,423
41,88,106,312,423
42,103,116,317,417
43,109,117,329,420
44,127,134,336,411
45,140,125,347,409
46,146,121,356,408
47,144,104,369,407
48,162,112,370,402
49,175,114,376,398
50,179,108,386,393
51,178,98,399,385
52,190,95,399,379
53,191,90,403,376
54,195,82,408,373
55,199,84,411,370
56,201,81,412,369
57,200,75,411,369
58,201,74,411,367
59,203,71,410,365
60,203,71,409,364
61,204,68,408,363
62,203,70,408,361
63,203,68,410,360
64,204,65,413,360
65,205,63,415,359
66,205,63,414,355
67,205,57,416,354
68,207,58,417,353
69,207,58,418,353
70,207,61,418,352
71,208,62,420,350
72,208,59,422,347
73,207,55,421,344
74,206,54,418,334
75,206,54,419,330
76,208,51,419,331
77,208,50,421,331
78,208,42,423,330
79,208,40,422,329
80,207,41,422,326
81,207,43,422,325
82,208,43,422,325
83,208,42,424,324
84,207,40,423,323
85,208,38,425,322
86,209,38,427,321
87,211,37,426,318
88,212,39,425,317
89,212,35,425,317
90,214,34,427,317
91,212,33,427,316
92,211,32,427,315
93,213,34,429,315
94,214,34,430,316
95,214,32,430,316
96,214,34,429,317
97,214,32,429,319
98,214,36,431,319
99,214,33,430,320
100,214,38,432,322
101,215,39,431,323
102,210,48,436,333
103,217,50,435,333
104,209,56,433,332
105,204,56,433,336
106,199,55,420,349
107,190,59,411,350
108,179,60,397,349
109,167,64,389,355
110,160,64,385,356
111,150,68,376,357
112,147,69,371,354
113,143,68,363,353
114,140,69,360,349
115,139,70,363,354
116,137,72,353,354
117,135,68,350,356
118,131,66,345,354
119,132,73,343,359
120,131,75,340,366
121,133,76,344,370
122,135,74,351,370
123,135,75,354,362
124,137,76,357,361
125,140,79,362,361
126,143,78,365,363
127,147,75,369,364
128,154,79,378,366
129,160,83,385,367
130,163,82,394,372
131,168,84,396,373
132,173,85,398,376
133,179,88,407,377
134,183,91,414,378
135,187,91,421,378
136,190,97,421,380
137,197,105,415,379
138,199,105,421,384
139,197,101,430,394
140,199,101,433,395
141,200,102,431,394
142,200,105,431,394
143,198,106,428,394
144,195,102,428,395
145,195,100,426,395
