frame,sx,sy,ex,ey
0,202,111,376,349
1,198,108,375,350
2,199,110,375,350
3,199,109,375,350
4,198,110,375,351
5,198,110,375,351
6,198,109,375,351
7,197,109,376,351
8,196,109,375,351
9,195,108,375,351
10,195,108,374,351
11,195,109,374,351
12,195,110,375,351
13,195,110,375,351
14,195,110,375,351
15,195,110,375,351
16,195,110,374,351
17,196,110,374,351
18,196,110,375,351
19,196,109,375,351
20,196,109,375,351
21,195,109,375,351
22,195,110,375,351
23,195,110,376,352
24,195,111,377,352
25,196,111,376,352
26,196,110,376,352
27,196,110,375,351
28,196,111,376,351
29,196,110,375,351
30,197,111,376,351
31,196,111,375,351
32,196,111,375,351
33,196,112,374,351
34,197,111,373,351
35,195,111,373,351
36,196,111,373,352
37,196,111,374,352
38,196,112,373,352
39,196,111,375,352
40,196,112,375,352
41,196,111,375,352
42,196,111,374,352
43,196,111,375,352
44,196,110,375,352
45,196,111,374,352
46,196,111,374,352
47,196,111,374,351
48,195,112,374,351
49,196,111,375,351
50,196,111,376,351
51,196,110,376,351
52,196,111,376,351
53,196,111,376,351
54,196,111,376,351
55,195,111,375,351
56,195,110,374,351
57,195,111,373,351
58,195,110,373,351
59,196,110,373,351
60,196,111,373,351
61,196,110,374,351
62,195,110,374,351
63,196,110,375,351
64,196,110,375,351
65,196,110,375,351
66,196,109,373,351
67,196,109,373,351
68,196,109,373,351
69,196,109,373,351
70,196,109,373,351
71,196,110,373,351
72,195,111,373,351
73,195,111,374,351
74,195,110,374,351
75,195,110,374,351
76,195,110,374,351
77,195,110,374,351
78,196,111,373,350
79,196,111,373,351
80,196,110,373,351
81,196,110,374,351
82,196,110,373,351
83,195,110,373,351
84,196,111,375,350
85,196,111,375,351
86,195,111,375,351
87,196,111,376,351
88,196,111,376,351
89,196,111,376,350
90,196,112,375,351
91,196,112,375,351
92,196,111,374,351
93,196,111,374,351
94,196,111,375,351
95,195,111,375,351
96,196,110,375,351
97,196,111,374,351
98,196,111,374,351
99,196,112,374,351
100,195,111,374,351
101,196,111,374,351
102,196,111,374,351
103,196,111,374,351
104,195,111,373,351
105,195,111,374,351
106,195,111,373,351
107,195,110,373,351
108,196,110,374,351
109,196,111,374,351
110,195,111,373,351
111,195,111,373,351
112,196,111,373,351
113,196,111,373,351
114,195,111,373,351
115,196,111,373,351
116,196,111,373,351
117,195,111,372,351
118,195,111,372,351
119,195,111,373,351
120,195,111,373,351
121,195,111,373,351
122,195,111,373,351
123,195,110,373,351
124,195,111,373,351
125,195,111,372,351
126,196,112,373,351
127,197,112,373,351
128,197,111,372,351
129,197,112,372,351
130,197,112,372,351
131,197,111,371,351
132,198,112,373,351
133,198,112,373,351
134,198,113,372,352
135,198,113,372,352
136,198,113,372,352
137,198,113,371,352
138,198,113,371,352
139,198,113,372,352
140,198,113,373,352
141,198,113,373,352
142,198,112,373,352
143,198,112,374,352
144,198,113,373,352
145,198,112,372,352
146,198,112,373,352
147,199,113,374,351
148,198,112,373,351
149,199,113,373,351
150,200,112,373,351
151,198,114,374,351
152,198,114,374,351
153,198,114,374,352
154,199,113,374,352
155,198,112,374,352
156,198,113,373,352
157,198,113,373,353
158,198,113,373,353
159,198,113,373,353
160,198,113,372,353
161,198,114,371,354
162,198,114,371,354
163,198,113,371,354
164,198,114,371,353
165,199,114,371,354
166,199,114,371,354
167,198,113,371,354
168,198,114,371,354
169,198,114,371,354
170,198,114,371,354
171,198,114,371,354
172,198,114,371,354
173,198,114,371,354
174,198,114,372,354
175,198,114,372,354
176,198,113,372,354
177,198,113,372,354
178,198,113,372,354
179,197,113,372,354
180,197,112,372,354
181,198,112,372,353
182,198,112,373,353
183,198,112,373,353
184,198,112,375,352
185,197,110,373,352
186,198,110,374,352
187,200,111,376,351
188,198,112,376,352
189,198,111,374,352
190,197,111,375,352
191,197,111,374,352
192,197,112,374,352
193,197,112,374,352
194,198,112,374,352
195,198,112,373,352
196,198,113,373,352
197,198,113,373,352
198,198,113,373,352
199,198,113,373,352
200,198,114,373,352
201,198,113,373,352
202,198,113,373,351
203,198,112,374,351
204,197,113,373,351
205,197,113,374,351
206,197,113,373,351
207,197,113,373,352
208,197,114,373,351
209,197,113,373,352
210,197,113,374,351
211,197,113,373,351
212,197,113,373,351
213,197,113,373,351
214,197,113,373,351
215,197,113,373,351
216,196,113,374,351
217,197,113,374,351
218,197,113,374,351
219,197,113,374,351
220,197,113,374,351
221,197,113,374,351
222,197,112,375,351
223,197,112,375,351
224,196,112,374,351
225,196,112,374,351
226,197,112,374,351
227,196,112,374,351
228,196,112,374,352
229,196,112,374,352
230,196,112,374,352
231,196,112,375,351
232,197,112,374,351
233,197,113,374,351
234,197,113,374,351
235,197,112,374,351
236,196,112,375,351
237,196,112,375,352
238,196,112,375,351
239,196,111,374,352
240,196,111,374,352
241,196,111,374,352
242,196,111,374,352
243,196,111,374,352
244,196,112,374,352
245,196,111,374,352
246,197,111,374,352
247,196,111,374,352
248,196,111,374,352
249,196,111,374,352
250,196,111,374,352
251,196,111,374,352
252,196,112,374,352
253,196,112,375,352
254,196,111,374,352
255,196,112,375,352
256,196,112,375,352
257,196,112,375,352
258,196,112,375,352
259,196,112,374,352
260,196,112,374,352
261,196,111,374,352
262,196,111,374,352
263,195,110,374,352
264,196,111,374,351
265,196,111,374,351
266,196,110,374,351
267,196,111,374,351
268,196,111,374,351
269,197,111,374,351
270,197,110,374,351
271,197,110,375,351
272,196,110,374,351
273,197,110,374,351
274,197,110,374,352
275,196,111,374,352
276,196,110,375,351
277,196,111,375,351
278,196,111,375,351
279,196,111,375,351
280,195,111,374,352
281,196,111,374,352
282,196,111,375,352
283,196,111,375,352
284,196,111,375,351
285,196,111,375,352
286,195,111,375,351
287,195,111,375,352
288,196,111,375,351
289,196,110,375,351
290,196,111,375,351
291,196,110,375,352
292,196,111,375,351
293,197,112,375,351
294,197,110,373,351
295,196,111,374,351
296,197,112,376,351
297,198,111,375,351
298,198,112,375,351
299,196,112,375,351
300,196,111,375,351
301,196,110,375,351
302,197,111,374,351
303,196,110,374,351
304,196,111,373,351
305,195,110,373,351
306,196,111,374,351
307,196,111,374,351
308,196,111,374,351
309,196,111,374,352
310,196,112,374,351
311,195,111,374,351
312,195,111,375,352
313,195,111,375,352
314,196,111,375,352
315,196,111,375,352
316,196,112,375,352
317,196,112,374,352
318,196,112,374,352
319,196,112,374,352
320,196,112,373,352
321,196,112,373,353
322,196,111,373,352
323,196,111,372,352
324,197,112,371,352
325,197,112,371,352
326,197,112,371,352
327,197,112,371,352
328,197,112,371,352
329,197,113,371,352
330,197,112,372,352
331,197,113,372,352
332,197,113,372,352
333,197,113,373,352
334,197,113,373,352
335,197,113,373,352
336,197,111,373,352
337,197,111,373,352
338,197,111,373,352
339,197,111,373,352
340,197,111,373,352
341,197,111,373,352
342,197,111,373,352
343,197,111,373,352
344,197,111,373,352
345,197,111,372,352
346,197,111,372,352
347,197,111,373,352
348,196,111,372,352
349,196,111,372,352
350,197,111,373,352
351,197,112,373,352
352,197,112,373,352
353,196,112,374,352
354,196,113,374,351
355,196,112,375,351
356,195,113,374,352
357,195,112,375,352
358,195,112,375,352
359,195,112,376,351
360,197,112,375,351
361,197,111,375,351
362,196,111,375,351
363,197,111,376,351
364,197,112,375,351
365,197,112,375,351
366,196,113,375,351
367,196,112,375,351
368,196,111,375,351
