frame,sx,sy,ex,ey
0,244,141,446,387
1,244,146,444,386
2,244,145,447,386
3,243,148,449,386
4,242,147,447,386
5,243,149,447,386
6,243,148,446,387
7,244,147,445,386
8,243,149,445,385
9,246,150,445,384
10,248,152,445,384
11,247,148,445,386
12,251,144,446,385
13,251,145,446,384
14,250,145,446,383
15,250,145,445,382
16,248,144,445,380
17,248,143,447,380
18,249,142,447,379
19,250,141,446,379
20,250,140,444,380
21,251,139,444,380
22,250,139,443,378
23,249,138,443,380
24,250,137,443,380
25,249,137,444,381
26,249,136,443,381
27,248,137,443,381
28,250,140,443,380
29,253,141,445,380
30,252,146,446,380
31,255,146,446,380
32,258,143,446,380
33,260,144,451,379
34,262,147,453,377
35,263,147,453,377
36,265,145,456,378
37,267,146,457,378
38,271,148,463,377
39,274,147,466,377
40,278,147,467,377
41,279,144,469,377
42,280,145,472,377
43,283,147,473,378
44,283,150,475,380
45,286,153,475,381
46,287,151,475,380
47,290,149,475,381
48,291,148,475,380
49,290,153,476,381
50,290,150,474,381
51,291,152,475,382
52,291,144,474,381
53,291,150,475,382
54,290,150,474,382
55,288,147,474,383
56,288,151,475,384
57,287,149,475,383
58,286,151,477,384
59,286,150,475,385
60,285,144,474,384
61,282,149,474,383
62,281,151,472,382
63,279,152,472,382
64,278,152,470,383
65,276,152,468,382
66,271,150,467,382
67,271,146,465,383
68,268,146,462,383
69,263,143,465,383
70,261,149,464,383
71,258,152,459,383
72,260,157,456,385
73,259,153,453,384
74,254,149,451,382
75,252,141,446,381
76,244,134,448,381
77,244,138,445,380
78,247,139,447,380
79,244,134,446,381
80,240,138,441,379
81,247,142,441,378
82,237,139,439,379
83,232,133,440,379
84,236,132,440,379
85,233,130,436,380
86,229,127,435,378
87,227,127,433,377
88,226,123,430,378
89,225,121,429,378
90,226,121,426,378
91,225,119,427,377
92,224,115,425,377
93,223,114,425,377
94,223,117,424,377
95,220,116,424,377
96,220,116,422,376
97,221,117,420,376
98,221,121,422,374
99,221,119,423,374
100,221,115,424,374
101,222,119,422,372
102,220,119,422,370
103,220,117,421,369
104,218,114,418,369
105,218,112,417,369
106,218,109,420,367
107,215,108,417,367
108,215,107,418,365
109,214,106,420,365
110,213,107,420,364
111,213,108,417,365
112,211,108,416,365
113,211,108,417,365
114,210,107,415,365
115,209,107,415,365
116,209,108,415,364
117,209,109,414,365
118,209,108,415,363
119,209,112,415,363
120,215,110,415,366
121,215,111,415,368
122,215,113,416,368
123,218,116,419,370
124,219,115,419,370
125,221,116,420,372
126,222,116,420,373
127,221,114,420,373
128,223,112,419,371
