frame,sx,sy,ex,ey
0,255,63,434,285
1,252,66,432,286
2,253,66,429,288
3,252,65,428,290
4,250,64,428,290
5,251,63,427,290
6,252,64,428,289
7,251,64,428,289
8,250,63,427,288
9,250,64,427,287
10,249,64,425,285
11,248,64,426,282
12,248,63,425,283
13,248,64,424,281
14,249,64,423,279
15,249,63,422,278
16,247,64,421,279
17,248,63,422,278
18,247,64,424,280
19,246,66,423,280
20,246,66,424,280
21,247,66,426,281
22,247,65,426,282
23,248,63,427,282
24,250,64,428,280
25,249,65,428,282
26,250,65,427,284
27,249,64,427,288
28,250,62,428,290
29,250,62,428,290
30,250,62,428,293
31,249,61,429,293
32,250,63,428,294
33,251,62,426,294
34,251,62,426,294
35,248,65,427,293
36,252,64,426,294
37,249,65,426,294
38,250,65,424,294
39,249,66,424,294
40,248,66,423,294
41,248,66,423,294
42,247,66,424,294
43,245,68,426,294
44,246,68,427,295
45,247,67,425,295
46,246,70,426,295
47,247,70,425,295
48,248,66,425,296
49,249,66,425,295
50,249,66,426,295
51,250,65,426,295
52,251,64,424,296
53,250,65,423,299
54,249,64,424,301
55,248,66,427,300
56,248,68,428,301
57,249,66,427,298
58,249,65,428,298
59,248,65,429,298
60,249,65,429,298
61,250,66,429,299
62,251,66,427,299
63,249,66,426,299
64,249,67,426,298
65,249,67,426,298
66,249,66,427,296
67,251,67,428,295
68,251,67,428,296
69,251,68,427,295
70,254,66,427,296
71,254,65,429,295
72,252,65,431,294
73,252,66,430,294
74,252,66,430,295
75,252,68,429,295
76,253,68,427,296
77,252,67,427,295
78,251,68,428,295
79,250,67,428,295
80,250,68,428,296
81,249,69,428,297
82,249,69,429,299
83,249,67,429,300
84,251,67,429,299
85,251,66,430,300
86,250,66,431,300
87,251,66,431,300
88,251,66,431,300
89,251,65,431,301
90,251,65,431,301
91,250,66,431,301
92,250,66,430,300
93,250,65,429,301
94,249,66,430,301
95,249,65,430,301
96,251,66,429,301
97,252,65,429,301
98,251,68,431,301
99,252,67,429,301
100,250,69,428,303
101,248,68,424,302
102,243,68,422,302
103,240,69,416,301
104,236,78,414,304
105,231,85,417,306
106,228,83,414,310
107,224,75,413,311
108,225,73,414,314
109,221,74,414,313
110,221,76,415,313
111,223,77,411,313
112,222,73,408,317
113,226,74,405,319
114,227,75,405,318
115,226,75,406,320
116,226,75,406,321
117,226,75,404,323
118,226,75,403,322
119,226,75,404,320
120,225,78,404,318
121,226,79,404,318
122,225,78,403,318
123,224,77,403,318
124,224,78,404,316
125,223,78,405,314
126,223,78,406,315
127,223,78,404,313
128,223,76,403,314
129,224,75,406,315
130,224,74,409,319
131,222,76,406,317
132,224,77,410,319
133,223,76,410,319
134,223,75,409,319
135,220,76,407,315
136,218,75,408,313
137,219,76,409,317
138,219,72,409,315
139,222,76,409,316
140,226,74,412,320
141,234,69,410,314
142,236,73,413,321
143,239,74,419,319
144,244,72,425,310
145,246,71,428,313
146,251,70,430,316
147,252,70,432,315
148,252,74,433,314
149,252,73,435,316
150,254,74,435,316
151,252,75,436,316
152,252,74,437,315
153,253,75,435,315
154,254,74,436,315
155,253,74,436,314
156,254,73,435,315
157,254,73,435,315
158,254,72,435,314
159,254,72,435,315
160,255,71,435,314
161,255,72,435,314
162,255,72,434,313
163,254,72,435,312
164,254,73,436,311
165,254,73,435,312
166,254,72,434,312
167,254,72,434,311
168,255,70,434,311
169,255,69,435,309
170,256,68,435,308
171,255,68,436,307
172,256,70,440,306
173,255,71,438,306
174,256,69,435,305
175,254,71,434,303
176,254,69,434,303
177,253,70,434,302
178,253,71,433,301
179,249,70,431,299
180,250,66,430,299
181,248,69,428,299
182,248,70,425,298
183,247,67,426,298
184,246,70,429,297
185,246,68,430,297
186,247,68,427,299
187,248,68,429,302
188,248,67,428,305
189,249,67,428,307
190,251,68,427,309
191,250,67,428,309
192,249,67,428,310
193,247,67,428,309
194,247,69,427,308
195,247,70,425,307
196,247,71,423,308
197,248,73,423,309
198,249,73,424,310
199,249,69,422,306
200,247,71,423,307
201,248,71,422,306
202,248,73,425,308
203,249,72,424,307
204,247,75,421,306
205,248,74,423,304
206,248,73,423,305
207,247,70,426,303
208,247,71,424,304
209,247,71,423,306
210,246,72,423,305
211,247,71,422,305
212,245,74,423,305
213,246,70,425,304
214,246,70,425,303
215,247,69,426,303
216,246,69,422,304
217,247,69,421,302
218,247,70,421,304
219,246,72,422,303
220,246,74,421,304
221,245,73,422,304
222,245,73,423,304
223,245,72,424,304
224,244,72,424,302
225,245,72,423,300
226,246,71,424,301
227,248,70,423,302
228,249,70,420,300
229,249,68,420,297
230,247,70,420,297
231,249,69,422,297
232,248,70,422,294
233,247,70,424,291
234,248,70,425,290
235,247,71,425,290
236,246,70,424,289
237,246,71,426,290
238,246,70,426,291
239,246,70,427,292
240,246,70,427,293
241,245,72,428,295
242,244,73,429,296
243,246,72,426,293
244,244,68,426,294
245,244,72,425,296
246,245,73,426,295
247,245,72,425,297
248,246,72,425,294
249,245,73,425,294
250,245,73,424,294
251,245,72,422,296
252,243,73,424,291
253,244,73,425,291
254,245,72,424,291
255,245,71,426,292
256,246,69,425,290
257,246,68,424,289
258,245,67,427,286
259,247,67,424,286
260,246,64,421,285
261,245,65,421,286
262,244,66,425,285
263,246,64,423,286
264,242,66,422,287
265,242,65,422,287
266,245,67,423,290
267,245,72,423,293
268,246,78,423,295
269,246,77,425,300
270,245,77,424,308
271,247,74,421,311
272,248,76,425,317
273,248,77,431,323
274,251,79,442,326
275,251,87,443,326
276,252,89,443,325
277,253,88,435,325
278,249,80,429,321
279,245,82,426,319
280,245,78,426,319
281,244,77,425,318
282,245,80,425,316
283,246,76,425,315
284,246,77,424,318
285,245,76,425,317
286,246,77,424,316
287,245,77,426,314
288,245,77,426,318
289,245,79,426,318
290,245,80,426,319
291,246,80,425,319
292,246,79,425,320
293,245,79,424,319
294,244,78,424,320
295,243,77,424,320
296,245,77,420,319
297,247,77,420,317
298,246,76,418,314
299,247,76,418,310
300,246,75,420,310
301,247,75,419,307
302,246,76,419,308
303,246,76,417,308
304,246,76,418,308
305,247,74,419,308
306,248,75,415,307
307,247,74,416,308
308,247,73,419,308
309,246,73,419,309
310,246,73,420,309
311,246,73,420,309
312,246,71,421,310
313,248,72,419,308
314,248,72,419,306
315,249,73,414,307
316,249,72,413,307
317,247,71,417,308
318,247,72,418,309
319,246,72,421,308
320,245,72,422,309
321,245,73,423,308
322,245,72,423,308
323,244,71,421,307
324,245,68,419,305
325,247,68,418,304
326,247,68,417,304
327,246,67,419,303
328,245,68,420,305
329,245,68,420,303
330,244,69,420,303
331,243,70,420,303
332,245,71,420,303
333,247,70,421,301
334,247,70,421,300
335,246,70,423,299
336,245,69,422,299
337,245,68,422,301
338,246,69,422,301
339,247,70,421,303
340,244,68,423,307
341,246,72,423,310
342,248,72,422,312
343,244,72,422,320
344,243,72,427,319
345,244,74,427,320
346,244,74,427,320
347,243,74,424,320
348,246,73,419,320
349,245,73,420,316
350,246,74,420,311
351,246,71,421,308
352,245,71,419,306
353,244,69,420,306
354,247,72,420,302
355,244,72,419,300
356,243,69,417,297
357,245,69,419,296
358,243,68,421,296
359,247,68,417,297
360,244,69,419,301
361,244,73,419,306
362,245,73,421,309
363,243,74,425,317
364,245,73,425,319
365,243,77,424,318
366,243,77,424,319
367,244,75,426,319
368,243,73,427,320
369,244,73,423,315
370,245,71,423,310
371,245,73,421,308
372,244,76,422,309
373,243,76,421,309
374,244,75,422,308
375,245,75,421,308
376,243,76,421,307
377,245,75,421,308
378,244,74,421,308
379,245,74,421,308
380,245,74,421,308
381,245,73,421,307
382,245,74,421,307
383,245,74,420,306
384,246,73,423,307
385,246,73,424,307
386,245,73,424,307
387,245,72,424,307
388,245,71,424,307
389,246,71,423,307
390,245,72,422,308
391,245,72,422,308
392,245,72,422,309
393,245,72,421,309
394,245,73,421,310
395,245,71,419,310
396,247,71,418,313
397,247,72,418,311
398,246,72,419,312
399,246,72,419,310
400,245,73,419,308
401,246,72,420,306
402,248,71,417,306
403,246,73,418,304
404,244,68,418,304
405,244,70,419,305
406,242,72,416,301
407,244,69,414,302
408,245,68,417,302
409,244,70,417,303
410,243,69,417,305
411,244,69,417,305
412,242,69,418,306
413,242,68,419,307
414,244,68,418,306
415,245,68,419,307
416,244,67,420,305
417,245,67,419,305
418,245,69,419,305
419,244,67,419,306
420,243,70,421,305
421,241,72,421,303
422,238,71,419,300
423,238,72,411,300
424,238,73,413,300
425,235,74,413,302
426,234,75,409,304
427,234,75,411,305
428,234,78,410,306
429,234,81,413,307
430,235,80,417,309
431,240,81,422,308
432,241,78,425,311
433,241,78,425,312
434,242,79,425,313
435,243,76,424,316
436,244,76,424,319
437,244,78,422,316
438,242,79,423,316
439,242,76,424,314
440,241,75,425,313
441,241,75,421,311
442,238,79,422,309
443,235,80,423,311
444,236,79,421,314
445,234,77,424,315
446,234,77,424,314
447,237,76,425,315
448,238,74,421,315
449,240,73,418,316
450,240,74,419,316
451,242,76,421,317
452,240,71,427,319
453,239,74,427,320
454,241,74,426,320
455,241,75,429,320
456,239,78,430,319
457,240,79,427,316
458,240,79,426,316
459,239,80,424,316
460,238,78,423,316
461,238,78,427,317
462,236,76,428,315
463,235,80,427,313
464,239,77,424,312
465,241,77,427,312
466,243,75,428,313
467,243,80,428,313
468,243,79,425,320
469,245,77,424,316
470,231,57,464,376
471,229,62,457,387
472,229,62,457,387
473,229,62,457,387
474,229,62,457,387
475,229,62,457,387
476,229,62,457,387
477,243,74,453,309
478,239,73,453,322
479,247,73,434,317
480,242,73,433,323
481,241,71,435,326
482,240,75,422,320
483,235,69,431,329
484,233,73,428,321
485,232,77,426,317
486,229,72,426,325
487,229,76,421,322
488,226,74,415,330
489,225,75,417,326
490,225,70,412,338
491,227,68,399,329
492,226,61,408,327
493,224,62,414,327
494,222,71,412,305
495,220,80,404,299
496,217,81,398,302
497,217,90,396,300
498,216,85,395,299
499,213,87,392,296
500,211,88,390,294
501,210,82,390,291
502,208,79,387,291
503,206,85,388,290
504,205,78,387,289
505,205,84,387,290
506,203,79,387,289
507,204,85,384,289
508,202,81,384,287
509,202,80,384,286
510,203,79,384,286
511,203,81,383,286
512,204,77,383,286
513,207,71,385,287
514,207,76,387,286
515,210,78,387,288
516,217,75,389,289
517,218,78,391,289
518,217,78,392,289
519,220,76,392,290
520,223,75,393,293
521,223,74,396,295
522,224,70,397,294
523,226,74,395,295
524,225,74,394,296
525,226,76,395,297
526,227,79,396,299
527,229,78,397,299
528,233,76,395,300
529,233,80,398,302
530,234,79,402,304
531,235,75,405,304
532,235,77,405,304
533,237,80,405,303
534,235,83,403,302
535,233,78,403,300
536,234,74,404,298
537,235,73,406,298
538,234,72,406,298
539,234,74,405,299
540,233,74,406,302
541,235,75,406,302
542,234,76,408,304
543,234,77,411,307
544,235,76,411,309
545,239,73,414,309
546,237,75,416,307
547,237,74,415,308
548,239,70,418,305
549,240,70,422,306
550,241,72,422,306
551,242,72,422,308
552,245,68,423,309
553,244,69,422,309
