frame,sx,sy,ex,ey
0,205,68,402,333
1,205,68,402,334
2,204,69,402,334
3,204,69,401,335
4,204,67,402,334
5,204,67,402,335
6,204,68,402,334
7,204,67,402,334
8,204,67,402,334
9,204,67,402,335
10,205,67,403,335
11,203,67,402,335
12,204,68,403,335
13,204,68,403,335
14,204,67,402,336
15,204,68,402,336
16,204,68,402,336
17,204,68,402,336
18,204,69,402,337
19,204,69,402,337
20,204,70,403,337
21,204,69,403,337
22,204,69,403,336
23,204,70,403,338
24,203,70,402,338
25,203,70,402,339
26,203,70,402,338
27,203,70,402,339
28,204,70,402,339
29,204,70,401,338
30,204,71,401,339
31,204,70,401,338
32,204,70,401,341
33,204,71,400,343
34,204,70,399,345
35,204,69,400,346
36,203,68,401,348
37,204,67,402,346
38,204,66,400,344
39,204,66,400,340
40,203,64,402,339
41,204,64,404,338
42,204,65,405,336
43,204,65,405,335
44,205,66,406,335
45,206,66,406,334
46,206,66,406,334
47,206,67,402,333
48,206,67,403,332
49,207,69,402,330
50,207,68,404,334
51,207,68,404,334
52,206,67,404,334
53,206,69,404,329
54,206,68,402,330
55,207,68,403,332
56,207,67,405,344
57,207,69,405,341
58,206,69,405,338
59,206,69,405,336
60,206,68,405,335
61,206,69,405,334
62,207,68,405,335
63,206,68,402,329
64,205,67,402,330
65,205,68,402,331
66,206,67,402,331
67,206,67,402,333
68,206,66,402,337
69,206,65,403,338
70,206,65,402,337
71,205,64,402,336
72,206,66,401,332
73,206,66,399,331
74,205,66,399,332
75,205,66,400,333
76,206,67,402,331
77,205,67,402,331
78,207,67,405,335
79,207,67,405,335
80,207,67,406,335
81,207,67,405,336
82,207,68,405,335
83,207,68,405,335
84,206,69,404,330
85,207,69,406,333
86,206,69,404,327
87,206,70,404,328
88,205,68,403,329
89,206,68,402,330
90,206,67,403,338
91,205,67,402,338
92,204,69,403,336
93,202,68,403,337
94,202,67,401,339
95,201,67,401,339
96,200,68,399,337
97,200,67,398,336
98,200,67,399,336
99,200,66,399,337
100,201,68,400,336
101,202,68,401,338
102,202,69,402,337
103,204,68,403,336
104,205,69,403,340
105,206,69,405,342
106,208,70,407,342
107,210,71,406,343
108,211,71,409,345
109,213,69,412,348
110,214,69,417,346
111,217,71,421,345
112,221,72,420,343
113,220,72,419,344
114,220,72,418,345
115,223,73,419,344
116,225,74,420,345
117,226,76,421,345
118,226,75,421,344
119,225,76,422,344
120,224,78,423,344
121,225,80,422,345
122,226,84,424,343
123,227,82,426,342
124,228,85,428,341
125,231,81,428,340
126,233,81,428,341
127,232,80,430,338
128,234,84,431,336
129,235,81,432,336
130,235,79,433,334
131,236,83,431,333
132,238,79,430,333
133,238,80,431,334
134,236,77,433,335
135,237,81,431,336
136,237,81,433,337
137,237,82,431,337
138,238,83,431,336
139,234,81,435,336
140,238,80,434,336
141,235,79,435,336
142,230,75,435,336
143,234,80,435,334
144,235,79,434,334
145,236,79,434,333
146,236,80,432,333
147,238,80,432,334
148,238,80,432,335
149,238,81,432,335
150,236,79,431,335
151,235,80,432,335
152,236,82,431,335
153,237,82,430,334
154,237,82,430,335
155,237,82,430,335
156,237,81,430,336
157,237,82,430,336
158,237,83,431,335
159,236,83,431,335
160,235,83,431,335
161,234,83,430,334
162,233,82,428,335
163,232,82,429,334
164,232,83,428,335
165,232,87,430,334
166,233,85,428,334
167,231,85,428,334
168,230,85,426,333
169,230,87,426,333
170,230,85,425,334
171,230,86,426,334
172,230,86,426,334
173,229,86,426,334
174,229,85,427,335
175,228,86,427,335
176,228,88,425,335
177,228,89,425,335
178,229,89,424,335
179,228,86,424,336
180,229,88,424,336
181,228,87,423,336
182,227,85,423,336
183,227,86,423,336
184,226,85,422,337
185,226,84,421,336
186,225,84,421,337
187,224,82,421,338
188,224,82,421,339
189,224,82,421,339
190,223,82,421,339
191,223,82,421,339
192,224,81,421,339
193,224,80,421,339
194,224,80,421,340
195,223,80,421,340
196,223,79,421,341
197,222,79,421,342
198,222,81,421,342
199,222,81,421,343
200,221,80,421,343
201,220,79,421,343
202,220,77,421,344
203,219,78,421,344
204,220,76,421,344
205,220,78,421,345
206,220,78,421,346
207,221,78,420,346
208,222,79,419,346
209,221,78,420,346
210,222,78,420,346
211,222,78,420,347
212,222,77,420,347
213,222,77,420,347
214,221,77,420,348
215,221,77,420,348
216,221,75,419,349
217,221,76,418,349
218,221,77,417,348
