frame,sx,sy,ex,ey
0,262,111,424,354
1,263,110,429,354
2,264,110,429,355
3,264,110,429,355
4,265,109,428,355
5,264,109,428,354
6,265,110,427,354
7,264,110,428,354
8,263,112,426,354
9,263,113,426,353
10,262,114,427,353
11,262,116,427,352
12,263,117,426,353
13,263,116,427,353
14,262,116,427,353
15,262,116,426,353
16,261,116,426,353
17,261,117,426,353
18,262,116,425,354
19,262,116,425,355
20,262,116,425,355
21,262,115,425,356
22,263,115,425,356
23,265,115,426,356
24,267,115,426,356
25,267,115,427,357
26,267,115,427,357
27,268,115,427,357
28,268,115,427,357
29,268,115,427,356
30,267,116,427,355
31,266,115,427,353
32,267,116,427,353
33,267,116,427,351
34,267,116,427,351
35,266,115,427,350
36,266,116,427,350
37,266,115,427,349
38,267,116,426,348
39,265,115,426,348
40,264,116,425,348
41,264,116,425,348
42,262,116,425,348
43,262,116,424,347
44,262,117,424,347
45,263,118,422,347
46,261,118,423,347
47,261,119,423,347
48,261,118,422,346
49,261,118,422,345
50,260,118,423,345
51,258,117,423,345
52,259,117,424,345
53,258,116,424,345
54,259,116,423,345
55,259,115,423,345
56,260,115,423,346
57,260,115,423,345
58,259,116,422,345
59,258,116,422,345
60,258,116,422,347
61,258,116,423,346
62,257,115,422,345
63,256,115,423,345
64,256,115,422,345
65,256,115,422,346
66,257,115,422,347
67,257,115,422,347
68,257,115,422,347
69,257,115,422,348
70,257,114,422,348
71,257,114,422,346
72,259,116,422,346
73,259,116,422,346
74,257,115,422,345
75,258,114,423,345
76,259,114,428,342
77,261,111,429,345
78,265,107,436,346
79,267,108,442,345
80,276,110,439,342
81,280,111,439,338
82,284,107,447,339
83,290,107,450,344
84,297,107,456,342
85,295,103,457,339
86,299,104,462,339
87,304,104,468,341
88,307,104,468,339
89,308,103,475,336
90,310,109,480,332
91,314,112,483,331
92,315,108,483,329
93,314,105,485,329
94,315,105,485,328
95,315,106,486,328
96,316,105,486,329
97,317,104,486,329
98,316,102,485,329
99,317,103,485,329
100,316,104,485,328
101,315,102,484,328
102,314,102,485,329
