frame,sx,sy,ex,ey
0,313,87,473,324
1,313,89,474,324
2,313,89,473,323
3,313,89,473,324
4,313,88,474,323
5,312,87,475,323
6,312,86,476,324
7,312,86,475,323
8,313,86,475,322
9,315,87,472,320
10,316,85,473,320
11,316,86,473,320
12,315,85,474,321
13,315,88,470,323
14,315,87,470,323
15,316,85,470,324
16,315,84,472,321
17,313,86,470,320
18,312,85,470,320
19,312,84,470,320
20,312,84,469,319
21,311,83,469,321
22,311,83,468,322
23,311,86,468,322
24,312,82,466,323
25,313,84,467,326
26,312,86,466,327
27,313,84,466,328
28,312,86,469,327
29,311,86,469,328
30,309,87,468,326
31,307,89,471,325
32,307,90,467,324
33,309,90,464,324
34,309,90,467,324
35,309,91,465,324
36,310,89,464,323
37,310,91,464,322
38,309,89,464,322
39,310,88,466,323
40,309,87,468,323
41,309,90,465,323
42,310,91,469,323
43,312,94,473,322
44,315,97,484,322
45,320,108,489,324
46,334,106,503,326
47,344,112,514,337
48,356,125,527,344
49,360,144,545,352
50,365,147,550,357
51,375,150,557,358
52,382,148,556,357
53,383,148,558,358
54,381,148,556,356
55,379,149,553,358
56,372,148,548,360
57,366,148,545,356
58,363,136,533,354
59,353,129,522,349
60,341,120,514,348
61,338,114,509,350
62,336,112,497,345
63,330,112,491,340
64,322,107,490,335
65,319,102,486,334
66,316,102,483,333
67,315,97,478,332
68,314,95,473,331
69,315,95,469,330
70,316,94,471,328
71,315,95,473,328
72,313,97,473,328
73,313,95,473,328
74,313,94,475,328
75,316,98,484,327
76,321,101,490,330
77,328,103,501,331
78,332,106,510,330
79,340,110,517,333
80,346,106,521,337
81,352,104,525,337
82,356,101,530,337
83,363,107,536,342
84,365,107,541,345
85,368,108,545,344
86,367,108,545,345
87,369,111,549,347
88,374,115,551,349
89,378,117,547,350
90,382,117,550,351
91,384,118,553,352
92,384,118,556,351
93,386,118,551,351
94,385,115,552,350
95,382,114,554,348
96,378,112,552,347
97,378,111,549,346
98,376,106,548,344
99,374,104,546,338
100,370,100,541,331
101,369,96,537,330
102,368,92,537,330
103,368,89,532,330
104,366,85,528,330
105,365,87,528,327
106,362,85,525,325
107,363,84,529,325
108,363,81,529,326
109,363,83,527,326
110,364,83,525,327
111,363,87,524,328
112,359,90,522,327
113,359,93,526,326
114,356,96,525,325
115,354,99,523,324
116,354,98,515,326
117,348,97,513,325
118,344,95,508,326
119,337,93,504,324
120,334,91,494,325
121,326,90,488,321
122,322,94,484,316
123,319,92,481,319
124,318,89,476,318
125,315,90,470,319
126,311,89,471,323
127,311,92,470,325
128,312,91,471,325
129,312,91,468,326
130,311,92,467,326
131,313,93,467,326
132,312,93,465,326
133,312,93,467,326
134,313,94,467,326
135,315,92,468,326
136,315,93,471,326
137,315,93,471,327
138,314,94,475,328
139,315,95,475,328
140,316,93,478,329
141,318,94,479,328
142,317,95,476,328
143,317,95,475,330
144,316,98,477,330
145,317,98,477,333
146,317,99,477,334
147,317,100,478,334
148,318,100,480,335
149,318,100,479,336
150,318,100,480,336
151,318,100,481,333
152,317,101,486,331
153,319,102,487,332
154,328,102,495,332
155,332,101,498,330
156,335,98,500,328
157,343,99,509,330
158,349,102,515,329
159,353,102,519,327
160,352,96,524,327
161,355,96,527,327
162,355,98,526,327
163,356,98,525,329
164,357,97,526,330
165,356,97,523,331
166,355,98,524,331
167,359,99,526,331
168,362,98,526,334
169,363,101,529,335
170,363,100,532,336
171,366,101,533,335
172,370,100,534,335
173,370,101,536,335
174,369,101,535,335
175,369,100,535,335
176,370,101,532,333
177,369,98,532,333
178,367,96,531,332
179,367,95,531,331
180,367,95,532,327
181,367,95,531,326
182,366,94,531,326
183,366,93,529,325
184,364,94,529,325
185,362,94,521,323
186,364,94,522,323
187,362,97,522,322
188,359,95,521,323
189,357,96,520,322
190,357,98,518,321
191,357,97,516,321
192,357,100,514,321
193,357,99,516,323
194,353,98,511,322
195,349,100,507,323
196,344,96,503,325
197,339,98,499,327
198,335,95,497,329
199,334,92,493,330
200,334,93,495,330
201,332,96,495,330
202,329,98,495,328
203,329,98,495,329
204,331,101,496,330
205,329,102,496,332
206,330,105,495,335
207,329,104,497,336
208,330,103,498,335
209,334,103,496,335
210,335,103,497,333
211,335,101,497,334
212,337,103,499,332
213,339,107,505,333
214,340,110,510,333
215,346,111,516,335
216,347,108,521,334
217,352,106,522,333
218,360,102,522,333
219,363,100,528,333
220,367,98,530,334
221,373,95,527,332
222,373,95,528,331
223,372,95,531,331
224,370,97,532,330
225,368,99,531,329
226,368,99,532,330
227,370,99,532,329
228,372,98,532,331
229,371,94,532,332
230,371,93,533,332
231,373,96,534,333
232,371,98,536,333
