frame,sx,sy,ex,ey
0,209,92,386,324
1,209,91,387,325
2,209,91,387,324
3,209,92,387,324
4,209,91,387,325
5,209,91,387,324
6,208,91,387,324
7,209,92,388,325
8,210,92,388,325
9,210,92,388,326
10,210,93,388,325
11,209,93,387,324
12,209,93,386,326
13,209,93,386,325
14,209,93,386,325
15,209,93,386,326
16,209,93,386,326
17,209,92,387,325
18,210,93,387,325
19,210,93,387,324
20,210,92,387,324
21,210,93,387,324
22,210,92,387,323
23,211,91,387,323
24,211,91,388,324
25,210,91,387,324
26,211,91,387,324
27,210,90,387,324
28,210,90,387,324
29,211,91,387,324
30,211,91,387,324
31,211,91,387,323
32,212,91,387,323
33,211,91,387,323
34,212,92,387,322
35,213,92,387,322
36,212,92,387,324
37,212,92,387,323
38,212,92,387,323
39,212,92,388,323
40,212,93,387,323
41,213,92,387,321
42,212,92,387,321
43,212,92,387,322
44,212,92,387,322
45,211,90,387,322
46,211,90,387,321
47,210,91,387,322
48,208,90,388,322
49,208,90,388,321
50,207,91,388,322
51,207,92,388,323
52,207,92,387,323
53,207,93,386,324
54,206,93,386,323
55,206,93,386,323
56,206,93,387,323
57,205,93,386,323
58,205,92,386,323
59,204,91,387,322
60,203,93,385,322
61,204,92,385,321
62,204,92,385,321
63,204,92,386,321
64,205,93,386,321
65,205,93,387,322
66,206,93,386,322
67,206,93,387,322
68,207,93,387,322
69,207,93,387,321
70,208,93,387,321
71,208,92,387,320
72,208,92,387,321
73,208,92,387,321
74,209,92,387,320
75,209,92,387,321
76,209,93,387,320
77,209,92,387,319
78,209,92,387,320
79,209,92,387,319
80,209,93,387,319
81,209,92,387,319
82,209,92,387,319
83,209,92,387,319
84,209,92,387,320
85,209,92,387,320
86,210,92,387,319
87,211,91,387,319
88,212,89,387,320
89,213,89,387,320
90,214,89,387,319
91,214,89,388,318
92,214,90,389,318
93,215,90,389,317
94,217,93,392,317
95,220,92,393,315
96,224,92,394,317
97,228,90,396,320
98,232,91,398,323
99,234,91,403,321
100,238,89,407,321
101,240,89,406,317
102,241,90,406,314
103,244,87,410,320
104,246,87,411,318
105,247,88,413,318
106,246,88,414,316
107,246,89,414,316
108,247,88,415,315
109,247,88,415,314
110,247,88,414,315
111,247,88,415,314
112,248,87,415,315
113,248,86,414,316
114,247,86,412,318
115,246,86,411,319
116,247,86,413,319
117,245,85,410,322
118,245,84,408,323
119,244,86,409,321
120,242,89,408,318
121,241,87,406,316
122,237,90,405,316
123,234,88,402,317
124,230,84,400,317
125,225,81,397,316
126,223,85,395,312
127,221,85,392,313
128,218,85,388,312
129,214,83,387,314
130,212,83,386,314
131,210,89,384,319
132,207,90,383,319
133,205,90,383,319
134,203,91,383,321
135,202,91,381,321
136,202,90,380,323
137,201,90,378,323
138,201,90,378,323
139,200,91,376,323
140,201,91,376,323
141,200,90,377,324
142,200,90,377,323
143,200,90,377,324
144,200,91,377,323
145,200,92,377,324
146,200,91,377,324
