frame,sx,sy,ex,ey
0,254,80,452,344
1,253,79,450,345
2,252,79,449,344
3,253,80,448,343
4,252,80,448,342
5,253,80,448,342
6,253,81,448,342
7,253,80,449,342
8,253,80,449,342
9,254,81,449,342
10,253,80,450,342
11,254,80,449,342
12,254,80,450,342
13,254,79,450,342
14,254,80,450,343
15,253,79,451,343
16,254,79,451,344
17,254,79,451,344
18,254,78,452,344
19,254,77,452,345
20,254,77,452,345
21,254,78,453,344
22,254,77,453,344
23,253,78,453,345
24,254,80,453,345
25,253,78,454,344
26,253,78,454,344
27,253,79,454,344
28,254,79,454,343
29,255,79,454,344
30,256,79,454,343
31,256,79,455,344
32,257,80,456,345
33,257,80,455,346
34,258,81,456,347
35,258,80,455,348
36,258,81,455,350
37,257,83,455,351
38,257,83,454,352
39,257,84,454,352
40,257,84,454,354
41,256,84,453,355
42,255,85,453,355
43,255,86,453,357
44,254,85,452,360
45,253,83,452,365
46,251,85,451,366
47,249,84,448,367
48,247,86,445,365
49,245,86,441,363
50,241,86,442,363
51,238,84,439,362
52,233,83,435,363
53,232,82,433,366
54,230,84,432,367
55,228,82,431,367
56,227,80,432,366
57,226,80,430,366
58,224,81,427,365
59,222,81,423,363
60,220,80,420,362
61,219,81,419,362
62,215,84,416,362
63,213,86,414,362
64,211,84,413,361
65,209,85,411,361
66,207,86,409,361
67,205,85,406,361
68,204,85,404,361
69,202,86,402,361
70,200,86,400,362
71,200,84,400,362
72,200,84,400,362
73,200,83,400,362
74,200,84,400,362
75,200,84,400,362
76,200,84,401,362
77,199,85,401,362
78,198,85,400,363
79,198,84,401,364
80,197,84,401,364
81,197,84,403,365
82,197,84,404,366
83,198,86,405,367
84,199,87,406,366
85,200,86,406,367
86,199,87,407,367
87,199,88,408,367
88,199,88,408,367
89,200,88,408,367
90,200,88,408,368
91,200,88,409,368
92,201,88,410,368
93,201,88,411,368
94,202,88,411,367
95,204,89,413,368
96,208,89,414,372
97,210,86,417,371
98,216,82,421,372
99,219,82,430,370
100,225,84,439,374
101,239,89,444,371
102,251,89,455,371
103,260,94,463,372
104,266,96,467,370
105,272,98,475,367
106,278,97,480,367
107,285,100,485,371
108,282,99,483,367
109,284,101,483,366
110,285,100,483,366
111,285,98,482,367
112,283,97,481,367
113,283,95,479,366
114,284,93,480,364
115,283,93,479,362
116,279,92,475,358
117,274,91,473,358
118,272,88,469,360
119,270,87,469,358
120,268,83,465,359
121,265,81,462,360
122,262,82,462,359
123,260,82,460,357
124,258,82,460,356
125,258,82,458,354
126,256,82,456,354
127,256,83,454,353
128,256,83,452,352
129,253,81,452,354
130,250,80,450,353
131,247,77,447,351
132,242,74,444,347
133,237,72,439,341
134,232,69,433,342
135,227,72,429,336
136,225,69,423,332
137,222,65,418,327
138,222,64,414,321
139,221,65,411,315
140,221,67,409,313
141,221,67,408,313
142,221,66,410,313
143,222,64,411,315
144,223,63,411,315
145,224,65,411,316
146,224,66,412,320
147,223,66,412,325
148,222,68,412,332
149,220,68,411,340
150,217,72,412,344
151,214,75,413,347
152,214,77,414,353
153,213,80,415,357
154,213,81,416,358
155,213,83,415,360
156,213,84,416,362
157,213,85,417,364
158,214,84,418,368
159,219,84,419,369
160,220,80,420,370
161,222,78,424,372
162,227,80,433,368
163,242,84,440,368
164,250,85,447,364
165,260,88,453,359
166,261,88,454,354
167,266,91,457,350
168,271,91,457,350
169,269,92,457,349
170,270,92,457,348
171,270,91,457,348
172,269,91,458,348
173,268,91,458,348
174,266,89,459,349
175,265,89,457,350
176,265,89,456,351
177,264,88,456,353
178,263,88,456,352
179,262,88,455,352
180,261,87,454,353
181,259,86,453,353
182,258,86,453,352
183,258,86,454,352
184,257,85,454,353
185,257,87,453,353
186,256,87,452,352
187,256,88,451,352
188,256,87,450,351
189,255,87,449,351
190,255,88,448,350
191,254,88,448,349
192,253,84,448,347
193,252,85,447,347
194,252,85,447,346
195,253,86,446,346
196,252,85,445,346
197,251,86,445,346
198,252,87,444,346
199,251,87,444,347
200,252,87,444,348
201,251,87,444,349
202,251,87,443,349
203,251,87,443,349
204,251,85,443,349
205,251,85,444,349
206,251,85,444,349
207,251,85,444,348
208,251,86,444,349
209,251,86,444,349
210,251,86,444,349
211,252,85,444,348
