frame,sx,sy,ex,ey
0,283,124,467,353
1,283,122,466,355
2,281,123,466,355
3,281,124,469,355
4,281,125,470,358
5,282,127,471,357
6,283,129,470,356
7,283,127,471,358
8,283,124,471,360
9,283,122,469,359
10,279,115,467,360
11,275,113,459,362
12,270,110,454,360
13,263,108,451,350
14,258,103,446,346
15,255,101,441,342
16,252,101,439,341
17,248,99,437,340
18,248,97,433,340
19,247,98,430,340
20,246,100,429,337
21,246,100,427,341
22,245,105,427,346
23,246,108,426,354
24,245,111,425,359
25,245,116,423,367
26,243,120,422,370
27,239,121,420,378
28,238,121,418,380
29,236,120,419,383
30,237,117,418,382
31,237,113,418,382
32,236,110,416,383
33,236,109,416,371
34,235,108,416,364
35,235,107,415,354
36,235,110,415,353
37,235,110,416,352
38,236,112,416,353
39,237,113,416,358
40,238,117,416,365
41,239,118,417,373
42,240,123,418,374
43,241,122,417,382
44,240,133,423,378
45,241,136,422,378
46,242,137,423,377
47,243,137,424,374
48,245,128,422,374
49,245,123,423,375
50,247,120,424,374
51,246,118,426,366
52,245,112,426,364
53,245,109,426,361
54,246,109,428,354
55,245,110,431,350
56,246,107,429,355
57,247,107,430,356
58,247,107,432,351
59,247,107,433,350
60,248,109,434,352
61,248,112,433,359
62,246,113,438,362
63,248,115,438,366
64,249,117,439,367
65,248,121,437,362
66,248,122,438,364
67,248,123,439,369
68,248,125,439,370
69,247,126,440,371
70,247,126,440,372
71,246,125,440,374
72,246,123,439,368
73,246,123,439,365
74,244,120,439,362
75,245,116,439,360
76,247,112,436,359
77,248,110,436,358
78,246,110,440,358
79,250,112,441,355
80,256,111,446,357
81,260,112,448,355
82,265,115,451,357
83,270,118,456,357
84,276,119,464,357
85,281,119,469,355
86,285,125,472,353
87,291,128,475,353
88,293,130,477,354
89,294,128,479,355
90,294,125,480,356
91,295,122,480,355
92,296,120,480,346
93,297,118,478,346
94,297,115,477,346
95,296,115,476,344
96,295,115,473,343
97,295,113,473,342
98,296,115,471,341
99,295,116,471,342
100,298,117,472,345
101,299,117,476,347
102,303,118,479,348
103,303,129,481,354
104,303,132,482,361
105,308,136,485,359
106,307,135,488,364
107,306,139,491,367
108,306,137,489,375
109,306,138,488,373
110,306,140,488,371
111,304,140,486,371
112,303,136,485,375
113,304,135,485,373
114,302,134,481,370
115,304,132,479,365
116,302,128,478,361
117,303,124,477,356
118,300,124,475,353
119,296,122,473,353
120,294,123,473,350
121,293,122,474,354
122,293,123,473,353
123,293,124,473,354
124,294,124,471,360
125,295,128,473,357
126,296,131,474,354
127,296,132,474,354
128,296,134,475,360
129,298,134,474,361
130,299,134,475,362
131,299,134,475,367
132,299,132,475,369
133,300,131,475,369
134,300,130,475,372
135,301,130,475,370
136,301,131,475,371
137,301,132,476,370
138,301,132,476,372
139,302,131,476,373
140,301,132,476,372
141,301,132,476,370
142,301,132,477,366
143,302,130,478,365
144,302,132,478,362
145,301,129,477,356
146,299,127,476,354
147,296,130,473,359
148,293,133,466,357
149,286,131,459,360
150,280,130,455,358
151,276,127,450,364
152,272,126,447,363
153,268,126,446,361
154,264,121,441,364
155,262,118,439,363
156,257,118,436,361
157,256,118,435,361
158,254,116,435,361
159,255,116,434,361
160,253,115,434,361
161,252,116,434,359
162,253,116,434,359
163,253,115,434,359
