frame,sx,sy,ex,ey
0,229,107,413,369
1,230,107,413,371
2,230,107,413,371
3,230,107,413,372
4,230,107,414,372
5,230,106,413,372
6,230,107,414,372
7,230,107,413,373
8,230,108,414,374
9,230,109,415,372
10,229,108,415,373
11,229,108,413,373
12,230,108,413,374
13,231,107,414,373
14,230,107,414,374
15,230,107,414,374
16,230,107,414,374
17,232,107,414,376
18,233,107,416,376
19,232,106,416,376
20,231,108,416,373
21,231,109,414,373
22,231,108,413,372
23,231,109,413,373
24,231,109,412,375
25,230,109,413,374
26,231,109,413,375
27,231,109,413,375
28,230,109,413,375
29,230,108,414,374
30,231,109,416,373
31,231,109,416,371
32,231,109,417,372
33,230,109,417,372
34,230,109,416,373
35,232,108,416,373
36,230,107,416,377
37,230,108,417,377
38,230,108,417,377
39,230,109,417,375
40,230,110,416,375
41,230,110,416,374
42,230,109,417,372
43,230,109,417,372
44,230,108,416,373
45,231,108,417,374
46,230,108,417,375
47,231,109,415,373
48,231,110,414,373
49,230,108,414,373
50,231,109,415,374
51,231,108,415,373
52,232,108,416,372
53,232,109,417,373
54,232,109,417,373
55,232,109,417,371
56,232,109,417,372
57,232,109,417,372
58,232,109,417,372
59,232,109,416,373
60,230,110,416,376
61,231,110,416,376
62,230,111,415,375
63,231,110,416,375
64,231,111,417,374
65,231,110,417,373
66,230,109,416,375
67,230,109,416,373
68,230,109,416,373
69,230,109,416,373
70,230,109,416,373
71,230,108,417,373
72,231,109,415,374
73,231,109,415,372
74,231,109,415,372
75,231,108,416,373
76,231,109,416,374
77,232,109,415,373
78,233,109,415,374
79,233,108,415,374
80,232,108,415,374
81,233,109,416,373
82,233,109,416,374
83,234,110,417,374
84,231,111,416,373
85,233,110,418,374
86,234,109,417,377
87,235,109,418,376
88,236,111,422,376
89,239,111,422,376
90,241,111,423,375
91,245,111,424,376
92,247,112,425,372
93,248,114,426,371
94,249,115,427,370
95,249,115,428,370
96,250,114,426,369
97,250,116,427,370
98,250,117,428,371
99,251,116,429,371
100,257,116,430,369
101,257,115,430,368
102,257,115,430,368
103,257,115,430,369
104,257,114,430,369
105,257,115,430,369
106,259,116,429,370
107,258,116,430,370
108,257,115,431,371
109,258,115,430,370
110,257,115,430,370
111,257,115,430,371
112,257,115,430,371
113,257,115,430,372
114,258,115,430,372
115,257,115,430,371
116,257,115,430,372
117,258,115,429,373
118,257,115,430,375
119,256,116,429,375
120,256,116,430,374
121,256,116,430,374
122,256,115,430,375
123,256,115,430,375
124,256,116,430,374
125,256,116,430,374
126,257,115,430,374
127,256,115,431,372
128,256,115,430,373
129,256,115,430,373
130,255,115,430,372
131,256,115,429,373
132,254,115,431,370
133,255,115,431,370
134,255,116,431,370
135,254,114,430,371
136,250,114,431,374
137,249,113,431,373
138,248,112,430,373
139,248,113,429,374
140,247,113,428,374
141,247,113,427,375
142,247,113,428,375
143,247,113,429,374
144,246,113,429,375
145,246,114,428,374
146,246,115,428,374
147,246,115,426,373
148,245,115,425,372
149,245,113,424,374
150,242,112,426,376
151,237,112,424,378
