frame,sx,sy,ex,ey
0,246,108,417,353
1,245,107,417,354
2,245,107,416,354
3,244,107,416,353
4,245,107,416,353
5,244,107,416,353
6,245,106,416,353
7,245,107,415,353
8,244,107,416,353
9,244,106,416,353
10,244,107,416,353
11,244,108,416,353
12,245,107,416,353
13,245,107,415,354
14,245,107,415,353
15,245,107,415,353
16,246,106,415,354
17,245,106,416,354
18,246,106,416,354
19,246,105,417,354
20,246,105,418,354
21,246,105,419,353
22,247,105,419,353
23,248,105,419,353
24,248,104,422,353
25,250,105,424,353
26,251,104,425,351
27,252,103,426,351
28,253,102,427,350
29,256,105,428,350
30,258,105,428,349
31,259,104,430,350
32,264,104,430,349
33,268,104,430,348
34,268,104,431,347
35,265,102,432,347
36,263,99,435,348
37,265,97,437,348
38,264,98,436,347
39,264,96,436,345
40,263,95,437,343
41,263,95,436,343
42,262,96,437,344
43,262,95,437,344
44,263,97,436,344
45,262,97,434,342
46,261,96,434,342
47,259,97,433,341
48,259,97,432,340
49,260,97,430,341
50,260,97,430,339
51,259,96,430,338
52,258,97,430,340
53,255,97,429,340
54,256,97,430,340
55,250,94,429,339
56,256,97,430,338
57,250,95,428,340
58,251,95,428,340
59,249,95,427,342
60,250,96,427,342
61,251,96,426,343
62,251,96,426,343
63,252,95,426,344
64,252,96,425,343
65,252,96,425,343
66,251,96,426,344
67,251,96,425,344
68,248,96,425,344
69,249,96,424,344
70,248,96,424,345
71,250,96,424,345
72,248,96,424,347
73,248,97,424,348
74,247,97,424,349
75,248,98,423,350
76,247,98,423,351
77,247,97,422,351
78,246,97,421,352
79,246,97,421,352
80,246,98,419,351
81,245,97,417,352
82,245,96,418,351
83,245,95,418,351
84,244,96,417,351
85,244,96,417,352
86,243,96,417,352
87,243,96,417,352
88,243,95,416,351
89,243,96,416,351
90,243,96,416,351
91,244,96,416,351
92,245,97,416,350
93,245,97,417,349
94,246,97,417,349
95,246,96,416,349
96,244,96,416,349
97,243,96,416,349
98,243,97,416,350
99,241,98,416,350
100,242,99,416,350
101,242,99,416,350
102,243,99,417,350
103,243,99,417,350
104,245,99,418,351
105,245,98,418,352
106,245,98,418,352
107,247,98,418,352
108,247,100,419,352
109,247,100,419,353
110,247,99,418,353
111,248,99,419,353
112,247,99,418,352
113,247,99,418,352
114,247,98,419,353
115,247,98,419,353
116,247,98,419,353
117,247,98,419,353
118,248,98,419,353
119,247,99,419,353
120,246,99,419,353
121,246,101,419,353
122,245,101,418,353
123,244,102,418,353
124,243,103,418,353
125,243,103,417,353
126,242,105,417,352
127,242,105,416,353
128,241,106,416,353
129,241,106,416,353
130,240,107,416,353
131,240,107,417,354
132,242,107,417,353
133,240,107,417,353
134,240,107,417,353
135,240,107,416,353
136,240,107,416,353
137,240,107,416,353
138,239,107,416,353
139,240,106,417,354
140,240,107,417,354
141,240,107,416,354
142,240,107,416,354
143,241,107,415,353
144,240,108,416,353
145,241,108,416,353
146,241,108,416,354
147,241,107,417,354
148,242,107,417,354
149,242,107,416,353
150,243,106,417,352
151,244,108,418,353
152,245,108,419,353
153,245,108,419,354
154,246,108,420,354
155,247,108,420,355
156,248,109,421,355
157,248,108,422,355
158,247,107,422,355
159,247,106,423,356
160,249,106,424,356
161,249,107,426,356
162,250,107,427,357
163,252,108,429,357
164,255,110,429,356
165,255,110,431,356
166,256,111,432,355
167,256,111,433,354
168,257,111,433,353
169,258,110,433,354
170,260,108,433,354
171,261,108,432,354
172,262,108,432,353
173,262,107,432,352
174,262,106,432,352
175,265,105,432,352
176,265,104,433,351
177,264,104,433,352
178,265,103,433,351
179,266,104,434,351
180,265,106,435,352
181,265,105,435,352
182,265,104,436,352
183,265,103,436,353
184,266,103,435,353
185,266,102,435,353
186,267,103,436,353
187,269,103,436,352
188,271,102,437,353
189,268,100,437,353
190,269,101,435,352
191,267,99,435,352
192,266,98,433,353
193,264,98,432,352
194,262,98,429,353
195,262,97,429,355
196,262,96,426,356
197,259,95,425,355
198,255,94,423,357
199,252,93,420,354
200,251,93,419,355
201,252,92,418,357
202,249,91,417,358
203,249,90,416,356
204,249,90,416,354
205,249,89,416,353
206,249,88,416,352
207,248,88,416,352
208,247,87,416,350
209,246,86,416,351
210,246,86,416,350
211,244,86,416,350
212,244,85,415,353
213,242,85,415,353
214,242,84,415,354
215,241,84,414,354
216,243,83,415,357
217,243,82,415,357
218,242,82,415,358
219,243,82,416,357
220,243,82,416,358
221,243,81,416,359
222,245,80,416,358
223,246,80,417,356
224,248,80,418,355
225,249,80,418,355
226,248,80,418,357
227,248,78,418,357
228,248,78,418,356
229,249,78,418,357
230,249,77,418,359
231,249,75,418,359
232,247,73,418,359
233,248,73,418,356
234,248,73,418,356
235,248,74,418,355
236,248,74,418,354
237,248,74,418,353
238,248,74,418,354
239,248,74,417,351
240,247,75,418,348
241,247,75,417,348
242,247,74,417,351
243,248,74,416,353
244,247,73,416,353
245,247,73,416,353
246,247,72,416,354
247,246,72,416,354
248,246,71,416,356
249,246,72,415,356
250,246,73,416,356
251,245,73,417,358
252,247,79,417,357
253,247,79,416,358
254,246,78,417,360
255,245,78,418,360
256,243,77,417,359
257,242,79,416,356
258,241,81,416,356
259,241,80,416,355
260,240,81,416,355
261,239,81,416,357
262,239,83,415,358
263,239,84,416,359
264,242,85,416,360
265,243,86,417,361
266,244,88,416,360
267,245,88,416,361
268,246,89,416,363
269,247,89,416,365
270,247,89,415,366
271,246,89,415,366
272,247,89,416,368
273,248,89,416,368
274,248,89,416,368
275,247,88,417,368
276,247,89,417,368
277,246,90,417,365
278,247,90,417,366
279,247,89,418,366
280,247,90,419,365
281,247,92,419,365
282,247,92,419,362
283,246,93,420,358
284,246,93,420,359
285,245,93,420,356
286,245,94,420,355
287,245,95,420,356
288,245,96,420,357
289,246,96,420,357
290,246,96,420,357
291,246,96,420,357
292,246,96,420,357
293,246,97,420,357
294,244,97,420,358
295,244,97,420,357
296,244,98,421,358
297,244,98,420,358
298,244,99,420,357
299,245,99,420,357
300,246,99,420,357
301,247,99,420,358
302,249,100,421,357
303,247,100,422,357
304,247,99,424,358
305,247,99,425,357
306,247,99,426,357
307,249,99,427,357
308,250,99,427,356
309,249,100,427,356
310,250,100,427,357
311,251,101,428,357
312,252,102,429,356
313,255,105,428,356
314,254,105,429,356
315,254,104,430,355
316,254,104,431,355
317,254,103,432,355
318,255,103,433,355
319,256,102,433,355
320,257,103,433,355
321,258,104,434,354
322,261,104,434,354
323,265,103,435,354
324,265,103,435,353
325,268,103,436,353
326,268,104,437,354
327,269,103,438,353
328,269,103,438,352
329,270,102,439,353
330,268,100,439,353
331,268,98,439,353
332,268,97,438,353
333,267,96,438,352
334,266,97,438,352
335,264,97,437,352
336,264,98,438,351
337,264,98,436,352
338,263,99,435,351
339,263,99,434,351
340,262,100,435,352
341,263,100,435,352
342,262,101,436,352
343,262,100,436,351
344,263,101,437,352
345,264,101,437,352
346,263,102,437,352
347,263,101,437,351
348,259,101,436,350
349,259,99,434,351
350,258,98,433,350
351,260,99,432,350
352,260,99,432,350
353,259,99,432,349
354,259,100,432,348
355,257,100,432,347
356,255,99,433,347
357,258,99,432,347
358,258,100,432,347
359,260,99,432,348
