frame,sx,sy,ex,ey
0,213,76,395,316
1,209,76,392,314
2,210,76,393,313
3,209,77,393,313
4,210,77,394,313
5,209,76,393,313
6,209,77,393,313
7,209,77,394,314
8,208,77,393,313
9,209,77,393,311
10,210,78,393,311
11,210,78,393,313
12,209,79,393,313
13,208,79,392,312
14,212,78,392,311
15,211,80,396,311
16,212,81,396,307
17,211,84,396,306
18,218,75,398,310
19,222,71,401,309
20,223,68,402,307
21,225,71,402,308
22,229,72,401,310
23,234,73,404,312
24,234,71,406,312
25,236,70,410,313
26,236,69,410,313
27,237,69,411,312
28,238,68,412,310
29,239,68,414,310
30,239,68,413,311
31,239,69,413,312
32,239,69,412,314
33,238,68,412,314
34,238,69,410,315
35,239,69,411,315
36,240,69,410,315
37,239,69,411,316
38,238,69,412,315
39,238,71,413,314
40,241,70,412,312
41,242,72,411,312
42,244,72,411,313
43,243,73,413,314
44,242,73,412,314
45,243,72,410,316
46,242,71,411,317
47,241,69,411,318
48,242,68,411,319
49,242,65,411,320
50,241,66,411,322
51,240,66,412,321
52,239,68,412,322
53,239,68,412,323
54,238,68,412,321
55,237,68,413,321
56,238,70,412,321
57,239,69,412,320
58,238,66,414,319
59,238,69,413,321
60,239,75,413,320
61,240,72,412,321
62,240,71,413,322
63,240,72,411,322
64,240,70,412,322
65,237,71,412,322
66,238,71,412,321
67,236,71,412,324
68,238,72,413,325
69,240,71,411,325
70,239,69,410,324
71,238,71,407,323
72,237,67,409,322
73,236,68,411,322
74,236,69,410,322
75,238,65,409,321
76,241,65,408,320
77,242,64,409,320
78,242,64,411,323
79,242,64,414,322
80,243,65,413,323
81,244,66,415,324
82,243,65,416,324
83,247,67,416,324
84,246,73,420,322
85,246,71,419,325
86,245,69,417,325
87,248,72,418,324
88,247,72,418,323
89,250,71,417,324
90,249,71,416,325
91,248,72,415,327
92,247,76,415,326
93,245,78,416,326
94,244,73,416,324
95,245,79,417,322
96,242,74,413,318
97,239,76,413,317
98,240,77,413,318
99,240,80,414,318
100,241,78,414,317
101,242,83,414,318
102,241,83,414,320
103,240,88,414,318
104,235,87,410,317
105,232,84,407,317
106,230,86,407,315
107,230,85,407,314
108,230,84,407,314
109,230,83,409,314
110,231,83,410,312
111,233,87,411,310
112,237,84,413,310
113,237,81,416,307
114,241,77,420,304
115,240,76,418,303
116,243,70,418,301
117,243,69,419,300
118,243,70,421,299
119,241,69,422,298
120,242,70,425,299
121,243,69,424,299
122,243,70,424,297
123,242,69,424,297
124,243,70,424,297
125,243,70,425,296
126,243,69,425,295
127,243,68,424,294
128,244,69,424,294
129,243,68,424,294
130,243,68,425,294
131,244,70,425,294
132,244,67,427,292
133,245,69,427,292
134,247,66,427,291
135,246,69,427,291
136,247,70,426,292
137,247,70,424,292
138,246,72,422,292
139,246,72,422,292
140,245,73,422,293
141,245,73,422,293
142,245,73,422,293
143,246,73,421,293
144,246,76,418,295
145,248,75,419,294
146,247,75,421,294
147,248,75,422,293
148,248,73,422,293
149,248,72,421,293
150,248,72,421,294
151,247,72,422,294
152,248,73,421,293
153,248,71,420,293
154,248,70,422,293
155,248,70,422,293
156,246,71,423,291
157,248,70,423,290
158,247,70,424,290
159,247,71,424,290
160,248,70,423,288
161,246,69,421,287
162,244,69,421,285
163,243,69,420,285
164,242,70,420,283
165,241,70,422,283
166,241,70,421,281
167,242,70,419,282
168,239,72,421,282
169,241,70,420,282
170,241,69,423,283
171,242,69,425,282
172,244,71,423,281
173,243,70,423,277
174,247,69,422,277
175,246,70,424,281
176,248,73,422,282
177,249,73,419,281
178,248,73,423,283
179,246,74,423,281
180,250,70,424,282
181,249,72,423,282
182,249,71,423,282
183,247,72,423,283
184,247,70,425,283
185,248,71,425,282
186,248,70,424,282
187,249,69,424,281
188,248,67,425,281
189,249,67,425,281
190,247,70,425,283
191,247,66,425,283
192,249,67,422,284
193,248,67,422,284
194,248,68,420,284
195,248,68,420,284
196,248,68,421,285
197,248,69,420,284
198,247,69,421,284
199,248,69,420,284
200,247,70,420,284
201,246,71,420,284
202,246,72,420,284
203,247,74,419,284
204,246,75,419,284
205,247,75,419,284
206,246,76,418,284
207,246,77,419,285
208,246,76,421,285
209,246,77,420,286
210,246,75,421,286
211,246,74,422,286
212,246,74,423,286
213,246,75,423,285
214,246,75,423,286
215,247,74,423,286
216,247,73,424,287
217,247,72,424,287
218,247,73,423,287
219,247,72,423,288
220,246,71,423,287
221,246,72,424,287
222,246,72,425,286
223,245,73,424,286
224,245,72,424,286
225,245,73,423,288
226,244,75,421,291
227,247,72,423,292
228,247,72,422,289
229,248,73,420,291
230,249,73,421,293
231,247,74,423,294
232,248,73,423,298
233,247,74,425,301
234,248,68,424,301
235,247,70,424,302
236,247,70,424,301
237,246,73,422,301
238,245,71,422,297
239,246,71,422,294
240,250,69,420,292
241,250,67,423,293
242,250,67,424,293
243,250,67,423,293
244,250,68,423,293
245,248,69,424,293
246,248,69,425,293
247,249,71,423,294
248,248,70,426,295
249,249,70,425,295
250,246,73,425,294
251,247,71,427,293
252,251,72,426,291
253,248,72,424,289
254,249,74,422,287
255,249,72,421,287
256,249,70,420,287
257,249,72,424,289
258,249,71,427,291
259,248,68,427,293
260,248,69,427,294
261,248,69,426,294
262,248,69,426,294
263,249,71,426,294
264,250,68,428,295
265,248,68,429,295
266,247,69,428,294
267,246,69,429,296
268,247,67,429,297
269,247,68,429,297
270,248,69,429,298
271,249,68,428,300
272,248,67,429,302
273,248,66,430,303
274,248,67,429,303
275,248,66,430,303
276,248,66,431,304
277,248,70,431,304
278,248,68,428,301
279,249,71,424,297
280,249,69,422,297
281,246,71,419,300
282,242,71,417,301
283,241,73,412,301
284,238,68,412,300
285,237,76,411,302
286,232,83,414,304
287,230,85,413,306
288,222,87,415,305
289,224,88,412,301
290,222,86,410,299
291,219,89,410,299
292,216,93,409,298
293,217,90,409,299
294,218,90,408,296
295,215,89,406,296
296,213,89,407,296
297,212,88,407,296
298,212,89,406,295
299,212,91,406,296
300,211,93,406,296
301,212,92,406,297
302,212,87,408,299
303,213,86,409,301
304,214,86,410,302
305,215,88,410,302
306,216,85,410,301
307,215,84,408,301
308,215,84,407,301
309,214,85,406,302
310,213,83,404,302
311,211,82,402,300
312,211,84,403,298
313,211,79,401,300
314,209,84,400,299
315,206,86,397,299
316,207,82,396,300
317,204,82,396,306
318,203,83,398,309
319,198,85,392,311
320,197,85,391,314
321,200,85,393,317
322,201,89,393,319
323,203,91,394,317
324,203,93,393,319
325,204,91,395,320
326,202,87,396,321
327,204,83,396,321
