frame,sx,sy,ex,ey
0,263,103,433,354
1,262,103,432,358
2,258,104,435,358
3,258,103,432,359
4,257,105,432,359
5,261,105,437,359
6,264,105,439,359
7,266,106,439,359
8,266,106,441,359
9,267,108,439,360
10,270,104,444,360
11,270,106,444,358
12,270,111,440,358
13,270,109,440,358
14,270,111,443,358
15,270,110,444,358
16,267,107,444,359
17,272,104,444,359
18,278,104,442,358
19,283,105,441,357
20,291,107,436,355
21,287,108,438,357
22,289,108,439,357
23,285,109,438,356
24,284,107,440,357
25,287,107,442,357
26,287,106,442,357
27,286,107,442,356
28,285,108,442,356
29,286,109,444,359
30,285,109,445,361
31,286,109,444,361
32,288,109,446,359
33,287,109,446,359
34,286,109,445,358
35,287,110,445,355
36,287,110,443,356
37,288,109,443,356
38,288,109,443,358
39,288,110,443,358
40,288,109,443,363
41,288,108,443,364
42,289,106,444,364
43,291,109,442,360
44,289,110,443,361
45,284,109,442,364
46,284,109,442,365
47,286,109,441,364
48,288,110,441,361
49,290,109,442,363
50,290,107,443,365
51,291,107,443,359
52,292,107,442,358
53,296,108,443,361
54,297,106,442,366
55,300,107,444,362
56,298,108,445,366
57,293,107,443,367
58,290,107,441,367
59,291,106,442,367
60,294,105,440,364
61,294,104,441,364
62,294,105,440,368
63,293,105,437,367
64,292,102,440,370
65,293,100,444,370
66,292,101,444,370
67,292,100,444,372
68,293,101,445,372
69,290,102,444,374
70,288,103,445,377
71,291,101,443,376
72,292,103,446,375
73,296,102,447,370
74,294,103,446,371
75,293,104,442,369
76,294,104,441,366
77,297,104,444,367
78,292,103,444,369
79,290,103,441,370
80,289,103,443,370
81,293,103,444,367
82,294,101,444,368
83,294,102,445,368
84,297,106,445,370
85,297,105,445,369
86,295,106,444,372
87,293,106,446,374
88,293,106,445,374
89,294,105,447,373
90,295,104,446,372
91,295,105,445,372
92,295,107,444,371
93,295,108,445,368
94,295,108,444,370
95,294,113,445,367
96,295,111,445,364
97,294,110,443,369
98,294,110,444,370
99,296,108,443,365
100,292,108,443,372
101,294,107,443,367
102,292,106,438,362
103,293,104,440,359
104,290,105,441,361
105,294,107,440,362
106,295,105,442,360
107,294,104,439,362
108,294,107,437,360
109,291,106,436,367
110,293,106,437,367
111,295,107,437,364
112,295,105,436,364
113,296,103,436,360
114,297,103,437,357
115,295,104,436,360
116,297,104,437,361
117,296,103,438,362
118,294,103,438,365
119,292,102,437,368
120,296,105,436,363
121,295,104,436,364
122,296,104,437,362
123,296,103,438,363
124,295,105,439,365
125,297,106,444,362
126,295,106,445,366
127,295,108,443,361
128,294,108,444,362
129,294,108,444,363
130,293,108,444,366
131,292,110,443,372
132,291,108,440,368
133,291,109,439,366
