frame,sx,sy,ex,ey
0,205,51,393,306
1,204,50,393,306
2,205,50,393,306
3,204,51,393,306
4,205,51,394,306
5,205,51,394,306
6,204,51,394,306
7,204,51,394,306
8,204,50,394,306
9,205,50,394,307
10,205,49,394,306
11,204,47,394,306
12,204,45,394,307
13,204,46,394,307
14,204,45,394,308
15,205,47,395,308
16,205,50,396,308
17,206,50,394,308
18,205,50,393,308
19,203,52,394,308
20,204,52,394,308
21,204,51,391,308
22,202,50,388,308
23,203,49,388,309
24,204,52,389,310
25,204,53,389,310
26,205,55,392,310
27,204,56,392,310
28,205,57,392,309
29,205,55,392,309
30,205,54,392,310
31,205,53,391,310
32,204,53,390,310
33,205,53,391,309
34,205,51,390,309
35,204,49,391,309
36,206,54,392,308
37,205,53,392,308
38,206,54,393,307
39,206,53,394,307
40,207,52,394,307
41,206,50,392,309
42,207,48,394,309
43,207,47,394,310
44,209,48,394,310
45,208,49,395,310
46,209,51,397,311
47,211,50,399,311
48,213,52,403,311
49,214,53,404,312
50,213,53,404,315
51,214,56,404,317
52,218,58,407,319
53,218,55,407,321
54,221,53,409,325
55,223,52,409,326
56,225,50,407,329
57,224,50,407,330
58,223,50,407,330
59,219,48,407,329
60,219,46,404,329
61,223,46,404,328
62,217,42,403,327
63,208,37,400,327
64,214,39,399,327
65,217,41,398,327
66,217,41,397,328
67,221,41,400,327
68,221,41,398,327
69,217,43,397,328
70,216,41,395,327
71,217,42,396,327
72,218,38,395,327
73,217,35,394,326
74,216,35,393,326
75,209,29,397,326
76,208,28,398,326
77,205,23,396,326
78,203,24,393,324
79,202,23,388,323
80,200,21,386,320
81,201,19,385,316
82,199,18,385,309
83,200,16,385,308
84,205,16,383,305
85,204,17,380,303
86,206,18,379,303
87,205,19,379,302
88,203,17,378,300
89,202,17,377,298
90,201,16,376,297
91,201,16,376,296
92,200,19,375,296
93,199,19,378,297
94,198,20,378,297
95,198,22,380,298
96,201,22,380,302
97,199,22,382,302
98,200,23,384,302
99,200,24,385,301
100,199,23,388,299
101,198,23,389,300
102,198,24,389,301
103,198,26,389,300
104,199,25,390,301
105,196,27,392,301
106,202,30,397,303
107,211,33,397,306
108,210,32,402,309
109,204,35,406,313
110,212,38,405,315
111,215,37,407,319
112,215,36,409,320
113,219,38,409,321
114,219,41,408,322
115,222,43,408,322
116,224,43,408,322
117,223,44,409,323
118,222,43,410,323
119,224,45,410,322
120,222,43,410,322
121,218,43,408,322
122,215,40,407,321
123,215,34,399,321
124,212,37,402,319
125,208,31,397,318
126,206,29,394,319
127,206,29,392,316
128,206,27,390,316
129,210,28,389,312
130,209,24,387,312
131,211,23,385,311
132,210,20,385,310
133,211,21,386,310
134,210,22,386,307
135,210,22,385,305
136,209,22,385,303
137,209,22,386,301
138,208,24,387,299
139,204,25,388,299
140,201,27,391,298
141,202,27,388,297
142,203,27,388,297
143,207,29,389,295
144,206,31,390,296
145,206,32,389,295
146,205,33,389,296
147,205,33,389,296
148,204,36,390,296
149,204,37,390,295
150,205,38,391,294
151,205,38,391,294
152,204,37,392,296
153,204,36,393,297
154,207,37,391,297
155,204,37,391,297
156,205,35,390,295
157,207,36,389,294
158,207,37,388,294
159,208,38,390,294
160,206,41,390,293
161,207,43,391,293
162,207,40,392,293
163,207,38,392,293
164,208,39,392,293
165,208,41,394,294
166,208,42,393,296
167,208,44,393,297
168,207,44,393,296
169,209,43,394,296
170,208,43,394,296
171,208,42,396,297
172,209,41,397,299
173,210,43,399,299
174,213,46,400,299
175,215,45,402,300
176,214,44,403,300
177,217,46,406,301
178,216,46,406,301
179,215,48,409,301
180,220,48,408,302
181,220,50,410,303
182,223,53,414,305
183,224,53,414,304
184,226,52,415,306
185,224,51,415,309
186,224,54,415,310
187,223,54,413,314
188,222,57,414,318
189,219,57,415,319
190,221,60,415,320
191,227,63,414,324
192,225,64,415,325
193,225,64,416,327
194,227,65,416,328
195,226,65,416,330
196,224,65,418,331
197,226,68,416,338
198,228,71,418,338
199,227,69,415,338
200,226,71,416,338
201,224,72,417,337
202,221,66,415,329
203,221,66,414,328
204,222,65,411,329
205,221,66,411,327
206,219,65,410,326
207,215,63,406,325
208,213,62,406,324
209,209,62,405,322
210,207,59,404,319
211,207,58,400,318
212,203,57,398,316
213,202,55,396,314
214,204,56,394,313
215,201,55,392,311
216,203,56,391,311
217,204,57,390,308
218,202,56,388,307
219,201,54,388,305
220,201,52,387,303
221,203,54,388,300
222,202,53,388,300
223,204,53,388,300
224,205,53,389,300
225,204,54,390,300
226,204,55,390,300
227,205,57,389,302
228,207,55,389,303
229,208,55,390,304
230,211,56,391,304
231,210,55,391,305
232,210,54,394,305
233,209,55,396,304
234,210,55,395,304
235,210,54,396,305
236,209,53,395,306
237,209,52,396,306
238,209,52,396,307
239,210,53,395,307
240,211,55,396,307
241,208,55,396,308
242,206,54,397,310
243,206,54,396,310
244,205,54,396,311
245,204,54,397,311
246,204,55,396,312
247,202,55,396,312
248,202,56,398,313
249,203,55,398,314
250,203,54,399,315
251,203,55,400,316
252,203,57,402,317
253,203,57,402,318
254,204,57,402,317
255,204,56,400,318
256,204,57,400,318
257,203,57,400,318
258,204,56,400,318
259,203,54,399,318
260,205,53,399,318
261,203,53,398,318
262,201,53,397,317
263,200,51,395,315
264,202,52,395,315
265,202,53,395,313
266,204,53,395,314
267,205,54,395,313
268,205,54,394,313
269,206,55,393,313
270,205,54,393,313
271,205,52,392,312
272,205,50,391,312
273,204,50,391,312
274,204,50,391,311
275,203,51,391,310
276,204,50,392,313
277,205,50,392,313
278,205,51,392,313
279,206,50,392,312
280,205,50,392,312
281,205,50,391,311
282,205,50,391,311
283,206,50,392,311
284,206,50,392,311
285,206,51,391,309
286,206,52,391,309
287,206,51,390,309
288,205,51,390,308
289,205,51,389,308
290,205,52,390,308
291,204,52,391,308
292,203,52,391,308
293,203,53,390,308
