frame,sx,sy,ex,ey
0,203,119,384,363
1,202,117,386,363
2,203,117,385,365
3,203,117,384,366
4,204,119,384,367
5,205,119,384,367
6,205,117,385,367
7,205,118,385,369
8,207,120,385,369
9,208,121,387,370
10,208,124,387,372
11,211,128,387,373
12,208,129,389,375
13,209,128,390,376
14,208,129,389,378
15,208,130,393,378
16,211,137,392,377
17,211,138,394,379
18,211,138,394,380
19,211,138,391,380
20,208,139,392,382
21,209,141,394,382
22,210,139,393,383
23,212,138,393,383
24,210,137,393,382
25,209,138,393,382
26,209,137,393,382
27,209,137,395,383
28,211,140,394,382
29,211,141,394,382
30,209,141,394,382
31,212,139,391,381
32,210,134,394,379
33,208,133,392,378
34,209,129,390,377
35,210,126,389,377
36,209,127,389,374
37,207,124,385,374
38,206,125,383,371
39,207,122,385,370
40,208,121,386,369
41,208,119,386,369
42,206,118,386,369
43,206,118,386,369
44,206,118,386,368
45,205,118,386,368
46,206,119,386,368
47,207,120,385,368
48,209,122,386,368
49,209,119,387,368
50,209,120,386,368
51,210,121,386,368
52,211,121,386,368
53,210,121,386,369
54,210,121,387,370
55,209,122,387,369
56,209,121,387,369
57,208,121,387,369
58,208,121,386,369
59,208,121,386,369
60,208,121,385,368
61,208,121,384,368
62,208,121,383,368
63,208,120,383,369
64,208,120,383,368
65,208,119,382,368
66,209,120,382,368
67,208,120,382,368
68,209,121,381,368
69,210,120,383,368
70,211,121,384,367
71,213,124,384,366
72,214,124,385,366
73,215,126,385,365
74,216,125,384,364
75,217,127,383,365
76,218,127,384,364
77,218,128,383,365
78,220,128,384,365
79,219,126,384,367
80,220,125,385,366
81,219,125,385,366
82,219,126,384,366
83,220,128,384,366
84,218,128,384,366
85,215,125,385,367
86,217,124,387,368
87,216,125,387,369
88,215,126,386,369
89,212,125,386,370
90,213,125,387,370
91,209,125,388,371
92,210,126,386,372
93,210,126,384,372
94,209,126,382,373
95,208,126,383,373
96,209,127,382,374
97,207,128,381,373
98,206,129,382,373
99,206,129,382,373
100,208,130,382,373
101,207,130,382,374
102,205,130,382,375
103,206,130,381,375
104,205,130,381,375
105,205,130,380,376
106,204,129,380,376
107,204,130,380,376
108,207,131,379,376
109,206,131,380,375
110,205,130,380,375
