frame,sx,sy,ex,ey
0,201,121,392,373
1,208,120,392,373
2,212,121,396,371
3,214,122,398,370
4,215,124,399,371
5,216,124,400,371
6,219,126,406,375
7,220,125,406,379
8,221,125,411,380
9,222,128,414,383
10,226,132,419,390
11,229,145,422,393
12,235,148,428,400
13,238,148,430,404
14,241,147,433,405
15,243,149,434,404
16,245,148,432,401
17,246,145,433,398
18,251,149,436,397
19,254,146,436,396
20,256,143,437,395
21,256,143,441,393
22,258,140,446,394
23,259,140,448,395
24,262,145,449,396
25,264,145,449,397
26,265,145,449,399
27,263,146,450,399
28,262,146,450,400
29,261,146,450,400
30,259,146,448,400
31,259,146,446,401
32,257,146,444,401
33,255,145,442,402
34,255,143,439,402
35,254,143,438,402
36,251,145,438,402
37,251,145,438,402
38,251,144,438,401
39,252,144,437,401
40,253,144,437,401
41,252,143,437,401
42,253,145,437,400
43,254,145,437,400
44,254,145,437,400
45,253,145,438,400
46,254,145,438,399
47,254,143,438,400
48,256,145,438,400
49,255,144,438,401
50,253,144,438,400
51,253,143,438,401
52,253,143,438,401
53,253,142,438,401
54,252,142,438,400
55,251,144,438,401
56,252,146,437,401
57,250,146,437,400
58,249,146,437,400
59,250,146,435,400
60,248,150,436,399
61,249,149,435,400
62,240,143,432,400
63,233,138,426,397
64,225,135,420,393
65,221,140,412,390
66,217,137,407,389
67,214,137,403,389
68,212,139,400,387
69,209,138,397,384
70,208,135,392,383
71,207,137,396,385
72,205,136,394,386
73,206,139,392,385
74,204,139,390,385
75,202,137,391,386
76,201,138,393,387
77,200,137,381,383
78,196,139,384,382
79,195,140,383,381
80,194,141,377,380
81,192,141,376,379
82,192,141,375,377
83,192,140,373,376
84,192,138,372,377
85,191,137,372,378
86,190,140,373,379
87,190,141,376,379
88,193,143,382,381
89,194,138,384,383
90,198,137,384,382
91,200,137,388,381
92,203,140,395,382
93,208,140,397,383
94,210,139,401,383
95,215,134,408,383
96,217,135,411,383
97,223,137,414,382
98,229,138,417,384
99,231,133,424,387
100,239,135,430,390
101,244,145,440,394
102,251,142,449,399
103,263,146,468,400
104,277,141,486,404
105,293,133,496,405
106,306,138,507,404
107,315,143,510,400
108,321,143,516,400
109,323,140,514,396
110,327,137,515,392
111,333,136,515,389
112,334,136,513,387
113,333,133,515,384
114,332,135,515,383
115,332,135,514,383
116,334,136,512,384
117,335,139,511,386
118,334,143,513,389
119,336,147,518,392
120,340,149,518,393
121,343,150,518,395
122,337,149,520,397
123,338,150,521,398
124,335,148,518,397
125,333,150,512,394
126,332,144,511,390
127,329,142,507,388
128,328,140,505,386
129,329,139,504,384
130,328,139,503,382
131,329,139,504,383
132,330,138,504,382
133,329,138,505,383
134,329,139,505,384
135,329,139,505,384
136,329,139,507,385
137,328,140,510,385
138,327,143,509,385
139,326,141,509,386
140,325,142,509,387
141,321,142,511,388
142,322,144,506,389
143,309,144,492,392
144,306,140,497,392
145,304,136,490,387
146,299,135,483,381
147,290,129,479,377
148,265,126,463,375
149,252,127,448,376
150,239,123,436,379
151,229,125,425,379
152,224,136,413,383
153,220,134,408,382
154,212,133,403,381
155,206,138,396,380
156,204,138,391,379
157,202,143,392,380
158,201,141,388,381
159,201,142,387,382
160,200,141,389,382
161,201,141,391,382
162,203,142,392,383
163,204,138,395,383
164,207,135,398,383
165,207,135,399,383
166,210,134,405,383
167,212,135,406,384
168,215,135,406,384
169,215,133,408,385
170,216,132,407,385
171,215,131,404,384
172,215,130,403,385
173,216,130,403,385
174,216,129,404,386
175,216,130,406,387
176,217,132,410,388
177,215,137,410,391
178,216,140,412,395
179,223,142,416,398
180,227,129,420,400
181,233,121,423,400
182,234,116,429,392
183,239,119,429,389
184,242,120,428,380
185,240,120,423,372
186,237,118,419,369
187,238,122,417,371
188,236,125,413,370
189,234,127,412,369
190,234,129,410,375
191,232,133,411,378
192,232,136,409,381
193,230,134,409,382
194,229,132,411,378
195,226,132,407,372
196,223,130,401,366
197,223,120,397,365
198,220,116,393,360
199,214,114,390,356
200,208,113,387,353
201,204,112,382,351
202,200,112,381,353
203,199,116,381,354
204,192,119,381,359
205,187,117,378,363
206,183,120,371,369
207,179,120,362,374
208,180,123,358,376
209,178,125,357,376
210,178,124,356,377
211,180,125,354,376
212,180,124,355,376
213,180,124,358,376
214,181,122,360,375
215,182,121,364,374
216,184,123,368,371
217,188,121,379,370
218,193,117,382,369
219,195,115,382,368
220,197,115,382,364
221,198,111,382,359
222,197,111,380,357
