frame,sx,sy,ex,ey
0,223,88,400,328
1,222,90,400,328
2,222,89,399,327
3,222,89,399,329
4,222,88,399,328
5,222,89,399,328
6,222,89,399,328
7,222,89,399,327
8,222,89,399,327
9,223,90,399,327
10,223,89,398,328
11,223,91,397,328
12,225,90,398,327
13,224,90,399,327
14,222,91,398,327
15,223,90,398,326
16,223,90,398,326
17,223,90,398,326
18,223,90,398,326
19,223,90,398,325
20,223,90,398,326
21,223,89,398,326
22,223,89,398,326
23,223,89,398,326
24,222,89,398,326
25,222,87,399,326
26,221,88,398,325
27,221,88,398,325
28,221,87,398,325
29,221,87,398,326
30,221,87,398,325
31,220,87,398,325
32,220,87,398,325
33,220,86,398,325
34,220,86,398,325
35,220,85,397,326
36,221,87,398,324
37,220,87,397,324
38,220,85,397,325
39,220,85,397,325
40,220,85,397,325
41,220,85,397,324
42,220,85,397,324
43,220,85,397,324
44,221,85,397,324
45,220,85,397,324
46,220,84,397,324
47,220,84,396,324
48,219,84,396,324
49,218,83,396,324
50,219,84,396,325
51,218,83,397,325
52,218,83,397,325
53,219,83,396,325
54,219,83,397,325
55,219,83,396,324
56,219,83,396,324
57,218,83,396,324
58,219,83,397,324
59,219,84,396,323
60,219,82,396,323
61,219,83,396,323
62,220,83,396,324
63,219,83,396,324
64,220,82,396,324
65,219,83,396,323
66,220,83,396,324
67,220,83,396,323
68,220,82,396,323
69,219,83,396,323
70,220,83,396,324
71,219,85,396,323
72,218,86,397,321
73,218,86,396,322
74,218,87,397,323
75,219,87,396,323
76,218,87,397,323
77,218,87,397,323
78,218,86,397,323
79,218,85,397,323
80,218,85,397,323
81,219,85,397,323
82,218,85,397,324
83,218,85,396,323
84,217,85,396,323
85,217,85,396,323
86,217,85,396,323
87,216,85,395,323
88,216,85,395,323
89,215,85,395,323
90,215,85,395,324
91,214,86,395,323
92,215,86,395,323
93,214,86,394,324
94,215,86,395,324
95,214,86,395,324
96,215,85,395,324
97,215,85,394,324
98,214,86,394,323
99,214,86,394,323
100,213,86,393,324
101,213,86,393,324
102,213,86,393,325
103,213,84,393,326
104,212,83,392,327
105,211,83,392,327
106,211,84,391,327
107,209,84,391,327
108,209,87,390,327
109,210,87,390,327
110,209,87,390,328
111,208,86,389,328
112,207,85,388,330
113,206,85,387,330
114,205,87,387,331
115,205,87,386,332
116,204,87,386,333
117,203,87,385,333
118,202,87,385,335
119,201,87,385,336
120,200,88,384,333
121,200,88,384,334
122,200,89,383,335
123,200,89,383,336
124,200,89,383,336
125,199,89,383,337
126,199,89,383,336
127,199,89,383,335
128,200,89,383,335
129,200,89,383,335
130,200,89,383,333
131,199,89,382,333
132,199,89,383,333
133,199,89,383,331
134,199,89,383,331
135,199,89,383,330
136,199,89,382,331
137,199,89,383,331
138,200,88,383,330
139,200,88,384,330
140,200,88,384,330
141,200,87,383,331
142,200,87,383,331
143,200,88,384,332
144,200,87,384,333
145,200,87,384,332
146,201,88,384,332
147,201,87,385,332
148,201,88,385,332
149,202,89,385,333
150,202,88,386,332
151,202,88,385,332
152,203,88,385,331
153,203,89,385,331
154,203,89,385,331
155,203,89,385,332
156,204,90,384,332
157,204,89,385,333
158,204,89,386,331
159,204,88,386,332
160,204,87,386,334
161,205,89,386,334
162,205,89,386,335
163,205,89,386,334
164,205,87,386,336
165,205,88,386,335
166,206,89,387,335
167,206,87,386,336
168,206,86,386,334
169,206,85,386,337
170,206,86,387,339
171,206,85,387,339
172,207,85,387,339
173,207,85,387,338
174,207,85,387,337
175,207,84,387,335
176,207,84,387,335
177,207,84,387,335
178,207,83,387,336
179,207,83,386,337
180,206,86,386,338
181,206,85,385,339
182,206,84,385,340
183,205,84,385,340
184,205,85,385,340
185,206,84,386,341
186,206,85,386,340
187,204,85,385,340
188,204,84,385,341
189,203,86,384,340
190,202,85,383,339
191,202,85,383,339
192,201,83,382,340
193,200,83,383,340
194,199,83,382,341
195,199,82,380,342
196,198,82,378,342
197,197,80,376,339
198,196,78,374,341
199,196,77,373,341
200,195,78,372,340
201,194,78,371,338
202,194,78,370,339
203,194,79,369,338
204,193,79,370,339
205,194,76,371,340
206,194,75,370,340
207,194,74,371,339
208,194,75,371,336
209,194,73,370,337
210,195,74,369,337
211,195,74,370,336
212,195,72,369,334
213,195,71,369,335
214,196,74,371,336
215,196,71,369,334
216,195,71,368,331
217,195,71,368,331
218,194,71,367,331
219,194,70,367,330
220,194,70,366,330
221,194,69,367,330
222,194,69,366,332
223,194,69,365,335
224,194,69,365,334
225,194,68,366,334
226,192,68,366,332
227,193,68,365,332
228,191,68,364,328
229,191,67,364,329
230,190,67,364,328
231,190,67,364,328
232,190,67,364,328
233,190,67,364,326
234,190,66,364,326
235,190,66,364,326
236,190,66,364,326
237,190,66,364,325
238,190,66,363,325
239,191,66,363,326
240,189,66,365,328
241,190,66,365,330
242,190,67,364,328
243,190,66,364,328
244,190,66,365,328
245,190,66,365,329
246,189,65,365,327
247,189,65,365,326
248,189,65,365,327
249,189,65,365,328
250,190,65,365,329
251,189,67,365,325
252,189,67,365,326
253,189,67,365,325
254,188,67,365,322
255,188,67,365,320
256,188,67,365,320
257,187,68,365,319
258,187,68,365,320
259,187,68,365,319
260,187,68,365,319
261,187,68,365,318
262,187,68,364,317
263,187,68,364,315
264,186,67,364,314
265,187,67,364,313
266,187,67,363,312
267,188,66,363,311
268,188,65,363,312
269,188,65,365,312
270,189,65,366,313
271,190,65,367,315
272,191,65,366,317
273,191,65,367,316
274,192,65,368,316
275,193,64,366,314
276,194,66,365,311
277,194,66,368,311
278,196,66,368,312
279,195,67,369,311
280,197,67,369,311
281,197,67,369,311
282,197,67,370,309
283,198,66,371,308
284,198,66,371,308
285,198,66,372,308
286,198,65,372,309
287,199,65,372,308
288,199,66,372,306
289,198,66,372,307
290,198,65,372,307
291,198,65,372,305
292,198,65,372,305
293,198,65,371,306
294,198,65,371,305
295,198,65,371,307
296,198,65,371,307
297,198,66,371,307
298,198,66,371,307
299,198,64,370,307
300,195,65,370,307
301,195,64,371,308
302,195,64,371,308
303,195,64,370,308
304,195,64,370,309
305,195,65,370,308
306,195,65,370,309
307,195,65,370,308
308,195,65,370,308
309,195,66,370,308
310,195,66,370,308
311,195,65,369,308
312,195,66,368,308
313,196,65,368,308
314,196,64,369,308
315,196,63,369,308
316,195,64,369,308
317,195,64,369,307
318,195,64,369,306
319,194,64,369,307
320,194,64,369,306
321,194,65,369,306
322,194,65,369,306
323,194,64,368,307
324,193,64,367,308
325,193,64,368,309
326,193,64,367,309
327,194,64,368,309
328,194,64,366,309
329,195,63,367,309
330,195,63,369,309
331,194,63,370,309
332,195,63,369,308
333,195,63,369,307
334,195,62,369,308
335,195,63,368,307
336,193,65,366,306
337,193,65,367,306
338,193,65,367,306
339,193,65,367,305
340,194,65,368,305
341,194,65,368,305
342,194,64,369,306
343,195,64,370,306
344,196,64,370,306
345,197,64,370,306
346,198,65,371,306
347,198,64,371,306
348,198,65,372,305
349,200,65,373,305
350,202,64,376,305
351,202,66,376,306
352,201,65,378,305
353,202,66,377,304
354,202,65,377,305
355,202,65,378,305
356,201,64,378,308
357,202,64,378,310
358,202,64,379,310
359,203,66,378,310
360,202,66,378,309
361,203,66,379,309
362,204,67,378,309
363,204,67,378,310
364,205,68,379,309
365,204,68,380,309
366,206,68,380,309
367,205,68,381,309
368,206,68,381,308
369,206,68,381,308
370,206,68,381,308
371,207,67,382,309
372,207,67,382,308
373,207,67,383,308
374,207,68,384,307
375,208,69,384,307
376,208,68,384,307
377,208,68,385,307
378,209,68,385,307
379,209,69,385,307
380,209,69,386,307
381,209,68,386,308
382,209,68,386,308
383,210,68,386,308
384,209,68,385,308
385,209,68,385,309
386,209,68,385,309
387,209,68,386,309
388,209,68,386,309
389,209,68,385,309
390,209,68,385,309
391,209,69,386,308
392,209,68,386,309
393,209,68,386,309
394,210,67,386,309
395,209,67,386,309
396,209,67,385,308
397,209,68,385,308
398,209,67,385,308
399,210,68,385,309
400,210,68,385,309
401,209,68,385,308
402,210,68,385,308
403,210,68,385,308
404,210,68,385,308
405,210,68,385,309
406,210,68,385,309
407,209,68,385,308
408,208,67,386,309
409,208,67,386,309
410,208,67,386,308
411,208,67,386,308
412,208,67,386,309
413,208,67,385,309
414,208,67,386,309
415,209,67,385,309
416,208,67,385,309
417,208,67,385,309
418,208,67,385,309
419,208,67,384,310
420,207,66,384,310
421,207,66,384,309
422,207,67,383,310
423,207,66,383,309
424,208,67,383,310
425,208,66,383,309
426,208,66,384,309
427,208,67,384,309
428,208,66,384,309
429,208,66,383,309
430,208,65,383,309
431,208,66,383,310
432,207,67,383,309
433,207,66,383,309
434,207,66,384,309
435,207,66,383,309
436,207,66,383,309
437,207,66,383,309
438,207,66,384,310
439,207,66,383,309
440,208,66,383,309
441,208,66,383,309
442,207,67,383,309
443,207,67,383,309
444,207,67,383,309
445,207,67,384,309
446,207,67,383,309
447,207,66,383,310
448,208,66,383,309
449,207,66,383,310
450,207,66,383,310
451,207,66,383,310
452,207,66,384,309
453,207,66,384,309
