frame,sx,sy,ex,ey
0,328,78,502,320
1,330,81,504,321
2,330,82,502,321
3,331,82,503,320
4,330,83,504,321
5,329,82,504,319
6,329,81,505,319
7,329,81,505,320
8,330,81,506,322
9,331,82,506,321
10,331,81,505,322
11,330,80,505,321
12,331,81,505,320
13,329,81,503,321
14,330,82,504,321
15,331,83,504,320
16,331,83,505,320
17,331,84,504,320
18,330,84,504,319
19,332,83,504,319
20,332,82,506,318
21,332,81,507,319
22,333,82,508,316
23,330,81,508,315
24,328,79,506,314
25,329,80,506,312
26,329,78,502,312
27,327,78,500,309
28,325,80,499,309
29,325,84,497,309
30,323,82,496,309
31,322,81,493,308
32,322,80,494,308
33,318,78,497,308
34,318,79,495,308
35,318,79,495,307
36,319,78,494,307
37,319,78,495,307
38,319,77,495,307
39,320,75,497,308
40,320,73,497,308
41,320,72,498,308
42,320,72,495,307
43,320,72,494,308
44,320,72,494,308
45,320,71,493,307
46,320,72,493,306
47,319,74,494,306
48,319,73,493,304
49,319,74,493,305
50,319,73,495,305
51,319,73,495,304
52,319,73,496,304
53,319,73,496,305
54,320,72,495,305
55,320,72,498,305
56,323,73,495,306
57,323,73,496,306
58,323,72,496,307
59,324,72,498,307
60,323,76,498,308
61,325,75,497,310
62,325,75,499,313
63,325,73,500,316
64,325,74,501,316
65,325,73,501,318
66,325,74,502,317
67,324,74,502,317
68,324,75,503,317
69,325,77,504,317
70,326,76,504,317
71,326,77,505,316
72,327,76,504,314
73,327,75,503,314
74,327,74,504,314
75,328,75,505,313
76,329,74,507,313
77,328,75,508,312
78,328,77,507,312
79,328,78,508,312
80,329,80,509,312
81,329,80,510,311
82,328,80,509,311
83,328,81,509,311
84,329,80,508,312
85,329,81,508,313
86,329,80,508,313
87,329,80,509,314
88,330,80,508,314
89,330,79,508,315
90,330,77,509,317
91,330,78,509,318
92,331,77,509,320
93,330,77,509,320
94,329,80,508,320
95,330,79,508,321
96,330,77,506,321
97,329,77,506,321
98,330,77,506,321
99,330,78,506,321
100,330,77,506,321
101,329,77,508,320
