frame,sx,sy,ex,ey
0,309,77,525,340
1,307,77,524,340
2,306,77,525,340
3,306,77,524,340
4,307,77,525,339
5,308,76,525,339
6,308,76,525,338
7,310,76,525,337
8,310,77,524,337
9,311,75,526,336
10,310,73,527,335
11,310,73,527,334
12,309,74,527,336
13,308,73,528,335
14,308,71,528,334
15,308,72,528,334
16,308,72,527,334
17,309,71,528,335
18,309,71,527,334
19,308,70,528,334
20,308,71,528,334
21,308,70,528,334
22,308,72,528,334
23,308,70,529,334
24,309,73,529,333
25,310,73,529,334
26,310,73,529,335
27,310,73,529,334
28,310,73,529,335
29,311,72,529,335
30,311,73,529,335
31,311,73,529,335
32,310,73,528,335
33,310,73,529,335
34,310,72,527,334
35,310,70,526,334
36,309,71,525,333
37,309,71,526,334
38,307,66,527,331
39,304,66,523,331
40,300,66,521,330
41,302,65,516,329
42,298,66,518,333
43,293,64,510,333
44,287,65,511,332
45,287,63,503,330
46,285,64,499,331
47,284,66,497,329
48,283,64,493,329
49,275,64,489,327
50,269,66,481,328
51,270,67,478,331
52,265,70,474,330
53,261,70,472,329
54,258,69,471,330
55,260,67,470,331
56,259,68,470,333
57,259,69,470,334
58,261,70,472,336
59,262,72,474,336
60,263,70,477,338
61,265,70,479,340
62,266,68,481,342
63,267,66,483,342
64,271,69,489,343
65,271,70,491,344
66,275,69,494,345
67,274,67,498,346
68,278,71,497,347
69,280,71,495,348
70,278,72,494,349
71,277,70,497,348
72,277,71,497,348
73,278,72,493,346
74,276,73,492,346
75,278,72,493,345
76,279,70,492,344
77,278,68,491,342
78,279,70,489,342
79,281,70,489,341
80,282,72,490,338
81,283,72,491,337
82,283,73,491,337
83,286,72,493,335
84,287,73,493,337
85,287,72,494,336
86,289,69,499,336
87,291,69,500,335
88,291,69,504,334
89,292,66,504,335
90,291,60,512,336
91,290,59,513,335
92,293,59,513,336
93,290,60,514,337
94,293,57,514,337
95,291,60,515,337
96,291,60,515,338
97,291,59,511,337
98,291,60,506,337
99,290,60,506,337
100,289,62,502,337
101,291,61,494,337
102,291,62,494,338
103,288,61,503,338
104,287,60,503,337
105,288,59,501,337
106,288,59,500,337
107,289,58,499,338
108,290,57,498,338
109,289,57,499,338
110,288,55,499,338
111,288,54,505,338
112,289,53,506,337
113,290,50,503,337
114,289,49,503,337
115,287,51,499,337
116,286,51,497,336
117,288,52,497,333
118,289,54,490,332
119,289,49,489,331
120,288,44,490,331
121,289,45,489,331
122,287,43,488,329
123,286,40,489,327
124,285,40,487,327
125,285,41,486,325
126,285,45,484,324
127,286,44,484,322
128,288,50,482,322
129,286,51,482,320
130,284,48,481,318
131,283,45,480,319
132,281,42,482,318
133,281,40,481,317
134,278,41,476,312
135,276,42,476,311
136,275,41,475,309
137,275,43,471,304
138,275,37,474,303
139,277,34,472,302
140,278,42,470,299
141,276,42,470,299
142,275,39,469,299
143,275,36,468,298
144,278,42,470,298
145,279,46,468,298
146,279,45,468,298
147,278,46,469,298
148,279,47,469,298
149,279,46,471,299
150,278,43,471,300
151,278,43,472,300
152,278,44,469,300
153,275,39,469,301
154,274,40,471,303
155,271,43,467,303
156,271,38,465,305
157,273,40,465,306
158,271,43,465,306
159,271,42,464,301
160,274,40,472,313
161,278,49,474,297
162,273,55,479,286
163,273,55,479,286
164,264,58,465,296
165,262,56,459,305
166,262,53,457,304
167,265,58,453,300
168,263,57,454,301
169,264,59,455,299
170,266,58,459,304
171,266,58,460,306
172,266,58,460,306
173,266,58,460,306
174,266,58,460,306
175,267,52,466,299
176,276,45,468,294
177,276,44,474,288
178,275,41,481,309
179,277,46,476,309
180,278,43,472,306
181,274,42,468,304
182,274,40,470,302
183,272,44,471,301
184,273,44,472,300
185,273,46,474,299
186,275,46,476,299
187,276,42,477,301
188,278,44,481,303
189,275,48,485,305
190,280,53,484,310
191,278,56,488,318
192,282,63,490,326
193,282,70,494,330
