frame,sx,sy,ex,ey
0,246,151,423,378
1,241,147,423,379
2,241,147,424,379
3,242,145,424,378
4,242,146,424,378
5,242,145,424,378
6,242,144,423,378
7,243,146,423,378
8,242,146,423,378
9,242,146,423,378
10,240,145,422,378
11,241,145,424,378
12,243,148,424,377
13,241,147,424,377
14,242,148,424,378
15,240,146,424,378
16,241,147,424,378
17,241,144,423,378
18,240,144,423,379
19,241,144,423,379
20,242,145,422,379
21,243,147,424,378
22,242,146,424,379
23,243,146,425,379
24,244,146,424,379
25,245,144,424,379
26,247,145,425,380
27,247,145,423,379
28,248,145,424,380
29,246,137,424,382
30,246,136,423,382
31,244,136,425,382
32,243,137,426,382
33,242,136,426,383
34,241,137,425,382
35,242,139,425,382
36,246,139,423,382
37,248,140,422,383
38,248,141,424,382
39,246,142,423,382
40,246,142,423,381
41,245,142,424,381
42,244,141,423,379
43,244,143,424,379
44,245,148,423,379
45,246,148,423,379
46,247,149,423,379
47,249,152,422,379
48,245,149,422,379
49,245,150,422,379
50,244,148,422,378
51,245,149,422,378
52,244,150,422,378
53,243,149,423,378
54,243,148,422,379
55,245,149,423,379
56,245,149,423,379
57,245,150,423,379
58,245,147,423,379
59,243,147,423,379
60,246,150,421,378
61,246,143,420,377
62,245,148,422,378
63,244,137,420,377
64,247,146,422,377
65,243,146,422,378
66,244,137,420,377
67,244,134,420,378
68,245,134,420,379
69,243,129,419,379
70,246,123,419,383
71,245,127,417,379
72,244,122,422,382
73,245,119,422,382
74,245,128,419,379
75,245,131,419,379
76,246,129,417,379
77,247,130,415,380
78,249,131,416,381
79,245,134,418,382
80,247,130,419,385
81,246,123,419,388
82,245,126,421,389
83,247,122,422,389
84,246,117,422,391
85,246,118,421,393
86,246,117,421,394
87,245,116,423,394
88,239,109,419,399
89,247,116,419,398
90,250,117,420,396
91,253,123,419,397
92,248,120,422,396
93,249,122,421,392
94,247,121,420,392
95,249,120,422,392
96,248,124,421,391
97,249,123,420,391
98,251,122,419,391
99,248,118,419,390
100,249,118,421,390
101,247,113,418,391
102,238,108,419,398
103,238,108,423,400
104,243,112,423,393
105,236,106,423,400
106,234,106,423,399
107,230,103,424,397
108,235,104,425,397
109,235,103,424,400
110,235,101,424,400
111,234,98,424,397
112,233,99,423,396
113,231,103,423,391
114,231,100,422,390
115,231,99,421,388
116,230,101,422,388
117,231,100,420,387
118,229,99,419,384
119,230,100,418,389
120,227,100,416,389
121,228,101,418,381
122,228,102,418,379
123,227,105,418,378
124,228,106,416,379
125,231,110,418,378
126,228,110,417,375
127,230,113,415,375
128,232,113,412,374
129,231,113,412,375
130,230,116,416,370
131,232,119,413,369
132,236,121,414,367
133,238,124,413,370
134,238,120,414,371
135,239,114,415,372
136,244,119,416,371
137,245,117,416,370
138,242,122,417,369
139,247,123,419,368
140,249,130,420,368
