frame,sx,sy,ex,ey,lx0,ly0,lx1,ly1,lx2,ly2,lx3,ly3,lx4,ly4
0,234,29,387,223,310.654,95.8613,374.614,93.5465,366.975,133.362,317.406,180.703,370.393,175.745
1,234,23,388,222,311.328,94.1623,375.329,94.1052,363.986,133.55,317.148,179.135,367.773,176.239
2,243,30,390,222,313.262,96.9959,376.542,99.2765,365.266,131.503,316.801,178.407,366.249,177.752
3,238,31,385,220,309.876,96.7969,373.254,95.3678,364.262,129.776,317.01,177.538,368.063,173.805
4,242,33,385,216,312.863,97.2306,375.124,94.7681,366.652,129.826,320.51,176.445,371.626,172.07
5,243,32,390,221,314.449,97.5099,375.586,96.5748,368.884,131.026,321.416,176.771,370.321,173.356
6,245,33,388,220,311.006,97.5939,371.522,96.5224,363.529,129.723,318.111,177.596,366.084,174.053
7,248,33,386,217,312.01,97.2348,371.419,96.7136,363.456,129.762,317.991,175.491,365.145,172.553
8,240,27,386,219,312.128,97.6892,372.981,92.1461,368.633,129.314,323.623,177.808,371.252,170.315
9,246,32,386,217,311.656,96.7802,371.561,96.6644,363.688,129.798,317.405,175.701,364.547,173.017
10,238,27,385,219,309.527,96.5573,371.706,92.0513,365.959,128.832,320.453,177.486,369.318,170.814
11,240,33,390,224,310.99,97.3653,377.306,96.3255,366.024,132.594,317.191,180.262,369.567,176.962
12,245,34,388,220,311.135,97.4125,371.489,97.0094,363.36,131.705,317.484,177.407,365.077,174.419
13,247,37,388,220,311.277,98.3895,369.567,100.238,361.008,133.107,315.408,176.76,361.904,175.7
14,237,28,384,218,309.649,96.3119,373.279,93.5951,365.992,129.786,317.21,176.15,369.637,170.989
15,235,25,388,222,311.79,95.469,373.846,92.132,367.783,132.029,318.572,178.518,369.434,172.827
16,236,23,386,222,312.063,94.8244,375.995,92.2817,367.198,130.846,320.264,180.62,370.556,175.572
17,239,31,385,223,310.564,95.8559,373.634,94.1309,365.776,130.82,318.882,179.153,367.479,174.955
18,244,33,390,221,315.546,98.4556,378.309,99.7924,366.825,132.621,320.562,179.796,368.417,178.447
19,242,36,389,223,306.8,98.0618,372.365,98.0708,358.947,133.527,313.023,180.175,363.34,177.771
20,242,31,389,221,313.906,98.398,378.905,96.3367,367.659,133.188,321.247,179.021,372.192,174.825
21,235,30,387,223,309.329,94.5576,376.194,95.6245,364.468,132.235,313.164,178.569,366.897,176.873
22,242,32,389,221,314.014,98.2767,375.992,98.5857,367.075,134.599,318.779,178.719,369.84,176.285
23,237,25,386,223,307.738,96.1068,374.629,90.7477,366.508,134.29,317.97,182.777,371.532,175.631
24,242,30,390,220,309.815,96.1635,373.358,95.4431,363.663,129.652,315.298,176.562,365.68,173.557
25,246,37,387,219,314.565,98.5144,378.817,96.8877,367.081,132.022,321.111,179.278,372.655,175.475
26,235,29,387,221,310.802,95.7629,375.524,93.8151,366.871,136.285,316.223,181.07,368.653,176.676
27,242,33,388,220,314.762,98.0645,376.67,98.2598,367.563,133.714,319.543,179.024,370.78,176.478
28,234,28,386,223,312.627,96.3093,376.507,94.9321,368.514,136.033,317.52,181.947,369.343,177.929
29,245,33,389,220,314.29,98.3183,379.291,98.1692,367.294,133.162,320.755,180.104,371.253,177.611
30,243,32,389,220,314.657,98.0561,376.713,97.9218,367.566,134.344,319.776,178.537,370.303,175.707
31,245,34,389,219,313.968,97.4954,376.738,97.4211,366.198,132.576,318.428,177.485,369.53,174.966
32,242,32,389,220,315.16,98.5632,376.735,98.3743,368.459,134.584,320.661,178.994,371.082,175.988
33,241,32,387,219,313.666,97.1268,375.322,97.1179,367.969,132.03,319.235,177.655,368.947,174.848
34,243,33,390,222,313.161,98.8088,376.277,98.0861,365.744,134.573,318.179,179.272,370.295,176.194
35,243,29,390,223,314.197,96.3825,376.932,93.1847,370.382,130.941,323.274,179.135,372.599,173.794
36,246,36,389,224,315.011,99.9705,375.726,100.526,367.006,133.229,321.478,180.6,369.063,178.453
37,241,31,393,230,311.459,99.4077,372.819,99.9584,364.223,136.68,319.381,183.486,366.822,181.288
38,244,33,390,222,310.797,98.2775,373.255,97.5684,363.244,131.452,317.976,179.376,368.071,176.124
39,249,37,390,222,312.095,100.145,370.766,99.3869,361.462,132.826,319.567,178.022,365.398,174.879
40,251,35,387,218,315.945,99.3734,372.872,99.1534,365.386,131.399,321.191,175.463,366.635,172.655
41,248,36,390,225,317.37,102.771,374.743,101.875,367.543,136.236,323.01,179.902,367.553,176.574
42,248,37,391,225,317.53,103.791,375.113,101.813,367.991,136.636,324.127,180.418,369.043,176.232
43,246,37,390,224,313.818,101.655,374.604,102.512,365.129,133.664,319.824,179.591,367.988,177.897
44,248,36,392,223,318.857,103.763,376.1,102.459,368.945,136.659,324.58,179.229,370.801,175.528
45,248,37,389,221,314.908,100.7,371.987,101.46,364.49,132.965,319.666,176.699,364.834,174.731
46,245,36,388,220,313.568,100.826,372.282,100.609,364.054,132.199,318.494,177.159,365.234,174.507
47,239,28,386,220,310.581,96.5603,374.813,93.5444,366.306,132.195,318.401,179.947,371.528,174.88
48,247,35,388,222,315.76,100.259,375.985,98.9888,368.551,131.594,323.438,180.467,370.899,176.717
49,242,35,386,219,306.528,97.8501,368.216,97.1534,358.853,130.636,312.864,176.077,360.862,172.946
50,248,34,388,220,314.649,100.458,373.441,98.3681,367.094,132.005,323.454,179.009,369.198,174.513
51,248,36,387,219,313.455,97.7709,374.211,97.4093,364.611,129.156,319.499,177.892,368.651,175.118
52,243,32,388,220,312.442,98.8554,371.433,98.0677,363.9,131.194,318.294,175.959,364.74,172.605
53,239,28,383,217,308.664,96.2904,375.513,91.7879,366.1,129.006,318.081,180.163,371.767,173.857
54,239,31,382,220,309.589,97.5507,376.166,94.1243,365.653,131.62,317.889,182.463,371.974,177.512
55,236,28,384,219,306.632,96.2239,373.663,94.2919,362.146,134.965,313.103,181.008,366.593,176.942
56,247,26,386,214,313.45,95.1424,371.472,92.8593,365.843,129.059,321.06,173.386,366.384,168.923
57,235,27,384,219,307.793,96.0334,374.553,95.2079,363.098,135.184,313.263,180.54,366.929,177.355
58,246,34,390,223,313.252,99.261,371.649,100.746,363.691,132.638,319.335,178.533,365.534,177.256
59,246,33,386,222,313.323,98.923,369.725,98.8397,365.177,130.536,320.94,176.915,365.397,173.971
60,247,33,389,220,315.848,100.174,374.005,100.571,366.978,131.412,321.335,176.672,368.056,174.358
61,236,29,383,221,308.811,98.7512,375.694,92.6698,367.881,132.119,320.217,183.592,374.176,175.588
62,244,36,389,223,314.721,101.588,373.231,101.884,365.388,134.324,319.739,178.477,365.935,176.096
63,238,29,382,219,310.15,98.2706,375.141,91.9752,368.61,131.411,321.828,182.608,374.409,174.301
64,248,37,391,221,318.073,102.922,376.514,102.62,367.852,135.468,322.864,178.361,369.628,175.57
65,236,28,384,220,307.199,96.4538,374.438,95.6034,362.636,135.118,313.005,181.179,366.646,177.989
66,246,36,391,224,313.925,101.26,375.538,102.167,365.346,134.159,319.795,179.9,368.481,178.31
