frame,sx,sy,ex,ey
0,256,38,393,199
1,257,36,393,198
2,255,34,392,197
3,252,31,391,198
4,255,34,389,197
5,252,32,386,196
6,249,30,383,194
7,246,28,380,192
8,245,23,378,193
9,244,22,374,194
10,242,21,374,196
11,243,16,372,195
12,243,14,372,196
13,241,14,373,194
14,240,14,373,194
15,241,14,374,194
16,244,15,375,193
17,244,17,376,193
18,242,17,377,194
19,241,21,381,195
20,243,20,381,197
21,244,26,382,197
22,246,27,384,198
23,251,30,385,199
24,255,31,389,199
25,256,32,389,201
26,256,33,391,201
27,257,33,391,201
28,257,33,391,200
29,255,32,390,199
30,254,28,389,199
31,255,28,387,199
32,254,28,386,198
33,253,29,386,199
34,254,29,388,198
35,256,29,390,199
36,252,28,388,201
37,256,32,391,199
38,257,32,390,200
39,257,34,392,201
40,256,34,394,204
41,257,36,395,203
42,257,35,394,204
43,259,35,394,203
44,259,36,395,201
45,257,36,393,200
46,258,36,394,199
47,257,35,392,199
48,256,33,393,199
49,256,34,391,199
50,257,34,391,199
51,258,33,392,200
52,257,34,393,201
53,257,35,393,202
54,258,36,395,202
55,259,36,394,204
56,259,39,395,204
57,259,40,395,204
58,258,39,396,204
59,258,40,396,203
60,258,37,394,204
61,259,38,394,204
62,260,39,394,204
63,260,38,394,203
64,260,39,395,203
65,260,39,394,203
66,259,39,394,203
67,259,39,394,203
68,259,38,394,203
69,259,39,395,203
70,259,39,395,203
71,258,39,394,204
72,257,37,393,204
73,257,37,393,206
74,257,37,393,207
75,258,36,394,209
76,257,36,393,211
77,258,38,393,210
78,256,39,390,210
79,255,38,387,208
80,253,41,385,208
81,253,39,384,209
82,250,35,385,209
83,248,36,384,208
84,246,36,384,209
85,247,37,385,209
86,247,38,387,208
87,248,37,387,208
88,250,36,387,207
89,252,32,391,208
90,251,29,391,207
91,254,29,390,205
92,255,33,393,204
93,256,34,394,201
94,256,34,394,199
95,257,35,394,200
96,258,36,395,200
97,258,37,394,201
98,257,37,395,201
99,260,37,395,202
100,259,41,395,202
101,259,38,395,204
102,258,37,395,203
103,258,37,394,205
104,259,36,395,204
105,259,36,394,202
106,257,34,393,200
107,256,36,393,198
108,258,38,394,196
109,256,37,391,196
110,255,37,389,195
111,254,37,388,194
112,253,33,388,197
113,253,31,389,198
114,254,34,388,197
115,256,35,392,197
116,258,37,393,198
117,259,38,394,198
118,260,39,398,197
119,260,36,398,196
120,262,35,398,196
121,264,35,400,198
